,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-31,21-008,PHO,HOME,SAS,L (-30),1,28:26,.405,.333,0.0,19.9,8.2,28.2,1.7,0.0,16.8,17.8,82,119,5.4,-6.2
1,2018-11-30,21-038,PHO,HOME,ORL,L (-14),1,28:55,.409,.409,3.7,12.8,7.9,12.1,1.8,0.0,0.0,17.9,93,107,5.7,-4.0
2,2018-12-04,21-042,PHO,HOME,SAC,L (-17),1,26:17,.375,.375,0.0,14.0,6.4,5.6,0.0,3.0,20.0,15.6,66,123,-0.1,-15.6
3,2018-12-06,21-044,PHO,AWAY,POR,L (-22),1,27:48,.423,.423,6.4,12.0,8.9,6.5,1.7,3.0,13.3,22.9,80,108,4.2,-6.6
4,2019-01-25,21-094,PHO,AWAY,DEN,L (-37),1,30:38,.583,.583,0.0,9.6,5.1,23.0,0.0,0.0,14.3,10.7,107,136,5.5,-7.3
5,2019-01-27,21-096,PHO,AWAY,LAL,L (-14),1,21:36,.333,.333,5.3,5.7,5.5,22.6,0.0,3.4,14.3,13.5,88,127,2.6,-8.2
6,2019-01-29,21-098,PHO,AWAY,SAS,L (-2),1,19:28,.625,.625,0.0,15.1,10.0,11.5,0.0,0.0,33.3,13.9,92,128,2.9,-7.8
7,2019-02-02,21-102,PHO,HOME,ATL,L (-6),1,31:17,.643,.643,0.0,10.7,5.1,43.4,0.0,0.0,0.0,9.4,162,124,13.1,1.4
8,2019-02-04,21-104,PHO,HOME,HOU,L (-8),1,18:16,.333,.333,0.0,12.8,6.5,18.6,2.7,0.0,57.1,16.9,48,121,-0.4,-12.4
9,2019-02-06,21-106,PHO,AWAY,UTA,L (-28),1,33:08,.333,.333,0.0,10.6,5.5,18.1,0.0,0.0,40.0,13.7,55,125,-0.5,-12.3
10,2019-02-08,21-108,PHO,HOME,GSW,L (-10),1,20:30,.233,.167,0.0,6.2,2.4,25.5,2.3,0.0,0.0,12.0,82,116,2.1,-6.5
11,2019-04-01,21-160,PHO,HOME,CLE,W (+9),1,13:07,1.000,1.000,0.0,6.9,4.2,0.0,0.0,0.0,50.0,20.8,73,120,1.6,-9.6
12,2019-04-03,21-162,PHO,HOME,UTA,L (-21),1,25:07,.656,.636,0.0,6.6,2.5,12.5,0.0,4.2,14.9,24.1,111,126,9.3,0.5
13,2019-04-05,21-164,PHO,HOME,NOP,W (+7),1,23:18,.500,.500,0.0,4.7,2.3,15.4,2.1,0.0,12.5,15.1,104,122,5.7,-7.7
14,2019-04-07,21-166,PHO,AWAY,HOU,L (-36),1,25:18,.551,.500,4.0,8.2,6.1,22.6,1.8,0.0,8.4,19.6,116,143,10.3,-4.2
15,2019-04-09,21-168,PHO,AWAY,DAL,L (-11),1,26:24,.799,.750,0.0,3.6,1.8,16.8,3.4,0.0,30.4,15.7,111,116,8.2,-1.5
