,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,25-060,SAC,HOME,UTA,L (-6),1,38:25,.652,.667,5.7,16.9,10.8,13.7,1.2,4.8,0.0,19.7,140,114,22.6,8.8
1,2018-10-19,25-062,SAC,AWAY,NOP,L (-20),1,25:57,.653,.643,7.5,22.0,14.2,5.5,0.0,0.0,6.1,25.1,127,134,14.4,-1.9
2,2018-10-21,25-064,SAC,AWAY,OKC,W (+11),1,22:12,.547,.545,19.2,12.5,15.6,11.7,2.0,0.0,7.8,23.1,122,110,10.8,-1.8
3,2018-10-23,25-066,SAC,AWAY,DEN,L (-14),1,23:33,.698,.714,14.2,13.6,13.9,17.6,2.0,0.0,0.0,14.5,159,125,13.4,5.5
4,2018-10-24,25-067,SAC,HOME,MEM,W (+5),1,35:18,.463,.429,13.3,12.4,12.8,10.1,2.8,0.0,11.0,22.2,101,94,12.4,-0.1
5,2018-10-26,25-069,SAC,HOME,WAS,W (+4),1,32:44,.482,.467,8.6,26.7,17.0,30.4,2.7,0.0,14.5,24.6,106,100,16.1,3.8
6,2018-10-29,25-072,SAC,AWAY,MIA,W (+10),1,33:48,.647,.647,5.9,31.2,18.8,4.4,0.0,2.7,0.0,23.8,134,102,21.8,3.7
7,2018-10-30,25-073,SAC,AWAY,ORL,W (+8),1,29:47,.418,.400,7.2,26.9,17.9,5.1,1.6,0.0,5.6,25.9,88,94,8.7,-5.4
8,2018-11-01,25-075,SAC,AWAY,ATL,W (+31),1,25:07,.711,.750,4.4,20.8,12.9,0.0,5.1,0.0,19.2,15.8,105,96,10.4,-1.1
9,2018-11-04,25-078,SAC,AWAY,MIL,L (-35),1,18:37,.532,.667,4.8,16.8,10.3,7.0,2.4,13.2,34.7,18.6,75,123,2.8,-8.1
10,2018-11-07,25-081,SAC,HOME,TOR,L (-9),1,33:29,.698,.667,0.0,30.2,13.7,20.7,1.4,2.7,5.5,23.5,133,108,22.2,10.3
11,2018-11-09,25-083,SAC,HOME,MIN,W (+11),1,28:36,.704,.719,10.3,6.5,8.3,6.8,0.0,0.0,5.3,26.3,135,111,17.8,5.2
12,2018-11-10,25-084,SAC,HOME,LAL,L (-15),1,25:56,.429,.429,13.5,27.4,20.4,0.0,1.8,3.0,22.2,27.8,75,90,5.5,-4.5
13,2018-11-12,25-086,SAC,HOME,SAS,W (+5),1,32:11,.437,.429,0.0,41.3,22.0,13.1,1.5,0.0,0.0,21.5,97,99,11.0,-2.3
14,2018-11-16,25-090,SAC,AWAY,MEM,L (-8),1,34:49,.533,.556,13.8,13.1,13.5,9.2,4.2,0.0,16.2,15.2,107,109,10.3,-1.0
15,2018-11-17,25-091,SAC,AWAY,HOU,L (-20),1,18:11,.152,.111,11.0,24.7,16.5,18.3,0.0,7.8,9.2,23.7,59,126,0.0,-13.5
16,2018-11-19,25-093,SAC,HOME,OKC,W (+4),1,31:06,.302,.286,11.4,26.6,19.3,19.9,0.0,0.0,11.8,20.9,84,103,7.3,-5.0
17,2018-11-21,25-095,SAC,AWAY,UTA,W (+9),1,34:17,.686,.733,0.0,18.8,10.4,4.4,2.8,0.0,0.0,21.7,134,107,18.1,4.7
18,2018-11-24,25-098,SAC,AWAY,GSW,L (-1),1,19:53,.304,.333,8.8,10.5,9.6,6.9,2.4,4.5,0.0,20.3,79,112,2.9,-9.1
19,2018-11-25,25-099,SAC,HOME,UTA,L (-21),1,23:05,.436,.333,0.0,19.8,9.8,11.6,0.0,3.4,12.7,14.2,89,125,3.7,-6.7
20,2018-11-29,25-103,SAC,HOME,LAC,L (-12),1,30:28,.576,.615,6.8,31.5,18.3,4.7,1.6,0.0,16.9,23.6,100,129,10.8,-5.0
21,2018-12-01,25-105,SAC,HOME,IND,W (+1),1,33:33,.576,.615,17.2,26.4,21.1,14.5,1.3,0.0,16.9,20.9,111,104,15.5,1.3
22,2018-12-04,25-108,SAC,AWAY,PHO,W (+17),1,18:41,.600,.600,6.6,16.8,12.1,34.4,10.2,0.0,28.6,16.2,115,87,9.2,8.9
23,2018-12-07,25-111,SAC,AWAY,CLE,W (+19),1,26:57,.850,1.000,9.4,22.3,15.3,11.3,3.7,0.0,14.5,11.1,153,109,12.2,4.6
24,2018-12-08,25-112,SAC,AWAY,IND,L (-10),1,30:34,.470,.429,9.6,20.5,14.9,11.0,1.6,5.1,11.8,24.2,97,107,11.9,-0.8
25,2018-12-10,25-114,SAC,AWAY,CHI,W (+19),1,27:27,.481,.455,16.3,53.8,34.1,16.8,5.3,0.0,8.0,19.7,114,79,14.6,3.7
26,2018-12-12,25-116,SAC,HOME,MIN,W (+11),1,29:43,.540,.556,9.0,23.6,16.8,11.6,1.6,4.6,7.2,20.5,121,123,12.4,-3.4
27,2018-12-14,25-118,SAC,HOME,GSW,L (-5),1,33:22,.694,.636,5.5,25.9,15.5,12.4,0.0,2.6,0.0,19.0,150,114,20.8,4.7
28,2018-12-16,25-120,SAC,AWAY,DAL,W (+7),1,32:11,.510,.400,9.3,14.3,11.9,11.2,1.4,2.4,7.8,16.4,119,108,11.0,-0.4
29,2018-12-17,25-121,SAC,AWAY,MIN,L (-27),1,7:11,.568,,0.0,0.0,0.0,17.6,6.3,0.0,0.0,5.1,150,116,1.9,1.8
30,2018-12-19,25-123,SAC,HOME,OKC,L (-19),1,31:43,.658,.667,2.6,17.8,9.7,20.2,2.8,0.0,16.8,14.9,115,116,13.6,1.5
31,2018-12-21,25-125,SAC,HOME,MEM,W (+3),1,36:41,.581,.556,8.2,34.4,19.8,19.8,1.4,0.0,0.0,12.3,141,106,16.2,3.8
32,2018-12-23,25-127,SAC,HOME,NOP,W (+5),1,35:17,.530,.526,9.4,35.4,21.4,9.6,3.8,2.0,4.6,24.0,112,99,21.9,5.4
33,2018-12-26,25-130,SAC,AWAY,LAC,L (-9),1,22:54,.619,.625,0.0,23.3,11.3,5.4,0.0,6.2,10.1,16.8,113,121,8.4,-1.9
34,2018-12-27,25-131,SAC,HOME,LAL,W (+1),1,34:12,.598,.600,2.6,27.4,13.4,21.7,0.0,2.2,5.9,19.1,127,112,16.4,2.8
35,2018-12-30,25-134,SAC,AWAY,LAL,L (-7),1,32:59,.527,.500,6.2,30.3,18.4,7.5,0.0,8.1,16.1,16.0,102,111,11.5,-2.0
36,2019-01-01,25-136,SAC,HOME,POR,L (-5),1,32:34,.168,.143,13.6,19.9,16.4,12.0,1.5,0.0,0.0,18.2,65,104,3.6,-7.3
37,2019-01-03,25-138,SAC,HOME,DEN,L (-4),1,29:57,.553,.500,0.0,22.9,11.1,13.0,0.0,0.0,7.8,19.6,111,121,8.9,-3.4
38,2019-01-05,25-140,SAC,HOME,GSW,L (-4),1,31:32,.474,.462,15.5,29.7,22.0,24.8,3.2,0.0,6.3,21.6,125,126,16.4,0.6
39,2019-01-07,25-142,SAC,HOME,ORL,W (+16),1,17:41,.463,.455,10.9,46.1,29.0,17.3,0.0,0.0,14.4,32.5,91,91,7.6,-3.2
40,2019-01-08,25-143,SAC,AWAY,PHO,L (-4),1,31:25,.517,.545,3.8,22.9,13.4,15.9,4.4,7.3,0.0,18.8,120,100,16.6,5.6
41,2019-01-10,25-145,SAC,HOME,DET,W (+10),1,25:03,.554,.500,24.6,38.3,31.9,27.8,0.0,8.7,19.2,26.3,116,96,14.7,4.5
