,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,25-086,SAS,HOME,MIN,W (+4),1,30:02,.506,.450,3.1,6.8,4.9,9.5,3.3,0.0,15.5,17.5,103,111,6.3,-2.5
1,2018-10-20,25-089,SAS,AWAY,POR,L (-13),1,27:11,.654,.654,0.0,10.7,4.1,16.9,0.0,0.0,0.0,20.5,137,134,12.6,5.1
2,2018-10-22,25-091,SAS,AWAY,LAL,W (+1),1,37:05,.571,.571,2.9,5.7,4.3,3.5,1.2,0.0,6.7,17.5,108,127,9.0,-5.8
3,2018-10-24,25-093,SAS,HOME,IND,L (-20),1,31:05,.663,.600,0.0,8.6,3.6,22.6,0.0,0.0,8.1,17.4,137,128,11.6,3.9
4,2018-10-27,25-096,SAS,HOME,LAL,W (+4),1,30:40,.656,.650,0.0,3.6,1.7,4.5,3.1,0.0,14.1,19.4,114,104,10.4,1.2
5,2018-10-29,25-098,SAS,HOME,DAL,W (+5),1,29:35,.545,.545,0.0,0.0,0.0,5.4,1.6,0.0,15.4,19.9,86,104,4.8,-6.2
6,2018-10-31,25-100,SAS,AWAY,PHO,W (+30),1,22:15,.470,.429,0.0,4.5,2.6,38.2,2.1,0.0,11.8,16.8,112,91,8.1,3.3
7,2018-11-03,25-103,SAS,HOME,NOP,W (+14),1,23:20,.415,.375,0.0,5.0,2.3,5.3,8.2,0.0,19.2,19.3,69,84,5.2,-1.1
8,2018-11-04,25-104,SAS,HOME,ORL,L (-7),1,25:59,.484,.462,0.0,4.2,2.1,12.8,0.0,0.0,6.9,24.3,97,128,5.0,-8.2
9,2018-11-07,25-107,SAS,AWAY,MIA,L (-7),1,31:52,.466,.417,0.0,3.0,1.4,18.1,1.6,0.0,0.0,17.3,105,105,7.0,-0.8
10,2018-11-10,25-110,SAS,HOME,HOU,W (+7),1,29:44,.568,.591,3.8,12.2,8.5,0.0,0.0,0.0,8.0,19.9,103,102,7.0,0.6
11,2018-11-12,25-112,SAS,AWAY,SAC,L (-5),1,29:01,.455,.455,0.0,0.0,0.0,21.1,1.7,0.0,8.3,18.2,95,110,5.5,-2.6
12,2018-11-14,25-114,SAS,AWAY,PHO,L (-20),1,27:43,.658,.611,0.0,4.9,2.1,6.2,0.0,0.0,9.2,16.9,127,126,7.9,-0.8
13,2018-11-15,25-115,SAS,AWAY,LAC,L (-5),1,33:17,.751,.750,0.0,3.7,1.5,8.5,0.0,0.0,0.0,13.8,158,124,13.3,5.6
