,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 17, 2018",2018,10,17,7:30p,True,CLE,W,False,116,104,1,0,W 1
1,"Fri, Oct 19, 2018",2018,10,19,8:00p,True,BOS,W,False,113,101,2,0,W 2
2,"Sat, Oct 20, 2018",2018,10,20,7:00p,False,WAS,W,False,117,113,3,0,W 3
3,"Mon, Oct 22, 2018",2018,10,22,7:30p,True,CHO,W,False,127,106,4,0,W 4
4,"Wed, Oct 24, 2018",2018,10,24,7:30p,True,MIN,W,False,112,105,5,0,W 5
5,"Fri, Oct 26, 2018",2018,10,26,7:30p,True,DAL,W,False,116,107,6,0,W 6
6,"Mon, Oct 29, 2018",2018,10,29,8:00p,False,MIL,L,False,109,124,6,1,L 1
7,"Tue, Oct 30, 2018",2018,10,30,7:30p,True,PHI,W,False,129,112,7,1,W 1
8,"Fri, Nov 2, 2018",2018,11,2,10:00p,False,PHO,W,False,107,98,8,1,W 2
9,"Sun, Nov 4, 2018",2018,11,4,9:30p,False,LAL,W,False,121,107,9,1,W 3
10,"Mon, Nov 5, 2018",2018,11,5,9:00p,False,UTA,W,False,124,111,10,1,W 4
11,"Wed, Nov 7, 2018",2018,11,7,10:00p,False,SAC,W,False,114,105,11,1,W 5
12,"Sat, Nov 10, 2018",2018,11,10,3:00p,True,NYK,W,False,128,112,12,1,W 6
13,"Mon, Nov 12, 2018",2018,11,12,7:30p,True,NOP,L,False,110,126,12,2,L 1
14,"Wed, Nov 14, 2018",2018,11,14,7:30p,True,DET,L,False,104,106,12,3,L 2
15,"Fri, Nov 16, 2018",2018,11,16,7:00p,False,BOS,L,True,116,123,12,4,L 3
16,"Sat, Nov 17, 2018",2018,11,17,8:00p,False,CHI,W,False,122,83,13,4,W 1
17,"Tue, Nov 20, 2018",2018,11,20,7:00p,False,ORL,W,False,93,91,14,4,W 2
18,"Wed, Nov 21, 2018",2018,11,21,7:30p,False,ATL,W,False,124,108,15,4,W 3
19,"Fri, Nov 23, 2018",2018,11,23,7:30p,True,WAS,W,False,125,107,16,4,W 4
21,"Sun, Nov 25, 2018",2018,11,25,6:00p,True,MIA,W,False,125,115,17,4,W 5
22,"Tue, Nov 27, 2018",2018,11,27,8:00p,False,MEM,W,False,122,114,18,4,W 6
23,"Thu, Nov 29, 2018",2018,11,29,8:00p,True,GSW,W,True,131,128,19,4,W 7
24,"Sat, Dec 1, 2018",2018,12,1,8:00p,False,CLE,W,False,106,95,20,4,W 8
25,"Mon, Dec 3, 2018",2018,12,3,7:30p,True,DEN,L,False,103,106,20,5,L 1
26,"Wed, Dec 5, 2018",2018,12,5,8:00p,True,PHI,W,False,113,102,21,5,W 1
27,"Fri, Dec 7, 2018",2018,12,7,7:30p,False,BRK,L,True,105,106,21,6,L 1
28,"Sun, Dec 9, 2018",2018,12,9,6:00p,True,MIL,L,False,99,104,21,7,L 2
29,"Tue, Dec 11, 2018",2018,12,11,10:30p,False,LAC,W,False,123,99,22,7,W 1
30,"Wed, Dec 12, 2018",2018,12,12,10:30p,False,GSW,W,False,113,93,23,7,W 2
31,"Fri, Dec 14, 2018",2018,12,14,10:00p,False,POR,L,False,122,128,23,8,L 1
32,"Sun, Dec 16, 2018",2018,12,16,8:00p,False,DEN,L,False,86,95,23,9,L 2
33,"Wed, Dec 19, 2018",2018,12,19,7:30p,True,IND,W,False,99,96,24,9,W 1
34,"Fri, Dec 21, 2018",2018,12,21,7:00p,True,CLE,W,False,126,110,25,9,W 2
35,"Sat, Dec 22, 2018",2018,12,22,7:30p,False,PHI,L,False,101,126,25,10,L 1
36,"Wed, Dec 26, 2018",2018,12,26,7:30p,False,MIA,W,False,106,104,26,10,W 1
37,"Fri, Dec 28, 2018",2018,12,28,7:00p,False,ORL,L,False,87,116,26,11,L 1
38,"Sun, Dec 30, 2018",2018,12,30,6:00p,True,CHI,W,False,95,89,27,11,W 1
39,"Tue, Jan 1, 2019",2019,1,1,7:30p,True,UTA,W,False,122,116,28,11,W 2
40,"Thu, Jan 3, 2019",2019,1,3,8:00p,False,SAS,L,False,107,125,28,12,L 1
42,"Sat, Jan 5, 2019",2019,1,5,8:30p,False,MIL,W,False,123,116,29,12,W 1
43,"Sun, Jan 6, 2019",2019,1,6,7:30p,True,IND,W,False,121,105,30,12,W 2
44,"Tue, Jan 8, 2019",2019,1,8,7:30p,True,ATL,W,False,104,101,31,12,W 3
45,"Fri, Jan 11, 2019",2019,1,11,7:30p,True,BRK,W,False,122,105,32,12,W 4
46,"Sun, Jan 13, 2019",2019,1,13,1:00p,False,WAS,W,True,140,138,33,12,W 5
47,"Wed, Jan 16, 2019",2019,1,16,8:00p,False,BOS,L,False,108,117,33,13,L 1
48,"Thu, Jan 17, 2019",2019,1,17,7:30p,True,PHO,W,False,111,109,34,13,W 1
49,"Sat, Jan 19, 2019",2019,1,19,7:30p,True,MEM,W,False,119,90,35,13,W 2
50,"Tue, Jan 22, 2019",2019,1,22,7:00p,True,SAC,W,False,120,105,36,13,W 3
51,"Wed, Jan 23, 2019",2019,1,23,7:00p,False,IND,L,False,106,110,36,14,L 1
52,"Fri, Jan 25, 2019",2019,1,25,8:00p,False,HOU,L,False,119,121,36,15,L 2
53,"Sun, Jan 27, 2019",2019,1,27,7:00p,False,DAL,W,False,123,120,37,15,W 1
54,"Thu, Jan 31, 2019",2019,1,31,8:00p,True,MIL,L,False,92,105,37,16,L 1
55,"Sun, Feb 3, 2019",2019,2,3,3:00p,True,LAC,W,False,121,103,38,16,W 1
56,"Tue, Feb 5, 2019",2019,2,5,8:00p,False,PHI,W,False,119,107,39,16,W 2
57,"Thu, Feb 7, 2019",2019,2,7,7:30p,False,ATL,W,False,119,101,40,16,W 3
58,"Sat, Feb 9, 2019",2019,2,9,7:30p,False,NYK,W,False,104,99,41,16,W 4
59,"Mon, Feb 11, 2019",2019,2,11,7:30p,True,BRK,W,False,127,125,42,16,W 5
60,"Wed, Feb 13, 2019",2019,2,13,7:30p,True,WAS,W,False,129,120,43,16,W 6
61,"Fri, Feb 22, 2019",2019,2,22,7:00p,True,SAS,W,False,120,117,44,16,W 7
63,"Sun, Feb 24, 2019",2019,2,24,3:30p,True,ORL,L,False,98,113,44,17,L 1
64,"Tue, Feb 26, 2019",2019,2,26,8:00p,True,BOS,W,False,118,95,45,17,W 1
65,"Fri, Mar 1, 2019",2019,3,1,8:00p,True,POR,W,False,119,117,46,17,W 2
66,"Sun, Mar 3, 2019",2019,3,3,6:00p,False,DET,L,True,107,112,46,18,L 1
67,"Tue, Mar 5, 2019",2019,3,5,8:00p,True,HOU,L,False,95,107,46,19,L 2
68,"Fri, Mar 8, 2019",2019,3,8,8:00p,False,NOP,W,False,127,104,47,19,W 1
69,"Sun, Mar 10, 2019",2019,3,10,3:30p,False,MIA,W,False,125,104,48,19,W 2
70,"Mon, Mar 11, 2019",2019,3,11,7:00p,False,CLE,L,False,101,126,48,20,L 1
71,"Thu, Mar 14, 2019",2019,3,14,8:00p,True,LAL,W,False,111,98,49,20,W 1
72,"Sun, Mar 17, 2019",2019,3,17,4:00p,False,DET,L,False,107,110,49,21,L 1
73,"Mon, Mar 18, 2019",2019,3,18,7:30p,True,NYK,W,False,128,92,50,21,W 1
74,"Wed, Mar 20, 2019",2019,3,20,9:30p,False,OKC,W,True,123,114,51,21,W 2
75,"Fri, Mar 22, 2019",2019,3,22,7:30p,True,OKC,L,False,109,116,51,22,L 1
76,"Sun, Mar 24, 2019",2019,3,24,6:00p,True,CHO,L,False,114,115,51,23,L 2
77,"Tue, Mar 26, 2019",2019,3,26,7:30p,True,CHI,W,False,112,103,52,23,W 1
78,"Thu, Mar 28, 2019",2019,3,28,7:30p,False,NYK,W,False,117,92,53,23,W 2
79,"Sat, Mar 30, 2019",2019,3,30,8:00p,False,CHI,W,False,124,101,54,23,W 3
80,"Mon, Apr 1, 2019",2019,4,1,7:30p,True,ORL,W,False,121,109,55,23,W 4
81,"Wed, Apr 3, 2019",2019,4,3,7:30p,False,BRK,W,False,115,105,56,23,W 5
82,"Fri, Apr 5, 2019",2019,4,5,7:00p,False,CHO,L,False,111,113,56,24,L 1
84,"Sun, Apr 7, 2019",2019,4,7,12:00p,True,MIA,W,True,117,109,57,24,W 1
85,"Tue, Apr 9, 2019",2019,4,9,8:00p,False,MIN,W,False,120,100,58,24,W 2
