,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-17,27-094,UTA,AWAY,SAC,W (+6),1,23:33,.781,.875,5.5,37.1,22.6,7.6,0.0,2.7,14.8,24.4,132,110,15.7,6.5
1,2018-10-19,27-096,UTA,HOME,GSW,L (-1),1,20:58,.425,.400,20.3,6.4,14.1,0.0,4.4,0.0,40.5,19.2,73,118,1.8,-13.0
2,2018-10-22,27-099,UTA,HOME,MEM,L (-8),1,25:24,.337,.273,16.4,12.1,14.2,8.1,0.0,6.7,14.4,24.5,76,97,4.1,-6.5
3,2018-10-24,27-101,UTA,AWAY,HOU,W (+11),1,22:32,.680,.600,6.3,31.1,20.8,0.0,2.2,9.1,14.5,13.5,122,82,8.3,4.6
4,2018-10-27,27-104,UTA,AWAY,NOP,W (+21),1,18:36,.460,.400,14.7,26.9,21.8,0.0,0.0,8.5,8.4,26.1,95,98,5.9,-9.1
5,2018-10-31,27-108,UTA,AWAY,MIN,L (-3),1,22:51,.549,.500,27.2,12.0,21.2,0.0,0.0,0.0,7.3,23.3,129,130,10.8,-6.0
6,2018-11-02,27-110,UTA,HOME,MEM,L (-10),1,23:09,.607,.611,20.7,10.9,15.9,8.1,0.0,8.5,0.0,20.1,140,120,11.6,4.7
7,2018-11-03,27-111,UTA,AWAY,DEN,L (-15),1,18:56,.575,.600,15.2,13.3,14.4,14.3,0.0,4.6,0.0,25.6,120,112,10.7,5.8
8,2018-11-05,27-113,UTA,HOME,TOR,L (-13),1,23:15,.709,.667,21.5,29.5,24.9,6.9,6.2,7.8,11.4,15.6,142,108,16.3,8.9
9,2018-11-07,27-115,UTA,HOME,DAL,W (+15),1,24:42,.604,.611,17.3,10.0,13.9,0.0,3.9,11.9,8.5,20.5,120,97,13.6,4.6
10,2018-11-09,27-117,UTA,HOME,BOS,W (+8),1,21:39,.972,1.100,28.6,10.6,18.2,6.9,0.0,0.0,0.0,15.0,201,123,14.6,8.9
11,2018-11-12,27-120,UTA,AWAY,MEM,W (+8),1,27:45,1.020,1.000,11.0,19.7,15.2,20.7,3.7,3.1,25.4,12.4,154,87,15.3,14.9
12,2018-11-14,27-122,UTA,AWAY,DAL,L (-50),1,21:56,.500,.500,4.2,20.5,10.4,0.0,2.2,8.9,11.1,17.8,85,113,5.8,-1.1
13,2018-11-16,27-124,UTA,AWAY,PHI,L (-6),1,24:46,.851,1.000,14.2,14.9,14.5,0.0,1.9,3.3,0.0,12.6,175,111,14.2,8.9
14,2018-11-17,27-125,UTA,AWAY,BOS,W (+12),1,23:33,.579,.667,5.0,25.5,16.8,7.6,2.1,3.5,0.0,17.0,120,84,10.6,6.6
15,2018-11-19,27-127,UTA,AWAY,IND,L (-27),1,26:44,.363,.333,0.0,24.5,13.5,5.5,0.0,5.3,12.7,14.3,68,124,3.3,-9.1
16,2018-11-21,27-129,UTA,HOME,SAC,L (-9),1,21:37,.571,.571,29.9,26.4,28.3,7.6,2.3,6.9,30.0,19.9,108,113,10.4,-0.8
17,2018-11-23,27-131,UTA,AWAY,LAL,L (-7),1,23:39,.714,.714,8.3,5.2,6.9,35.5,0.0,0.0,0.0,12.7,152,95,11.2,10.8
18,2018-11-26,27-134,UTA,HOME,IND,L (-33),1,23:50,.658,.667,9.0,37.8,20.9,0.0,0.0,3.1,16.8,22.7,104,124,9.8,-2.9
19,2018-11-28,27-136,UTA,AWAY,BRK,W (+10),1,24:34,.750,.750,4.7,32.6,20.4,0.0,0.0,3.5,0.0,10.6,152,85,9.3,5.6
20,2018-11-30,27-138,UTA,AWAY,CHO,W (+8),1,19:06,.694,.667,13.6,23.9,19.1,12.9,0.0,0.0,0.0,10.5,169,116,8.3,2.8
21,2018-12-04,27-142,UTA,HOME,SAS,W (+34),1,23:21,.799,.714,6.9,18.7,13.9,10.1,2.0,3.0,31.3,23.9,114,101,10.9,-1.9
22,2018-12-09,27-147,UTA,AWAY,SAS,L (-13),1,24:28,.500,.500,8.7,30.2,18.7,5.6,4.1,5.2,60.0,9.1,63,104,4.5,-3.8
23,2018-12-10,27-148,UTA,AWAY,OKC,L (-9),1,27:55,.564,.625,4.1,7.5,5.9,10.0,1.6,2.7,0.0,15.6,122,117,10.8,1.9
24,2018-12-15,27-153,UTA,AWAY,ORL,L (-7),1,24:55,.563,.500,14.0,22.0,17.1,30.6,0.0,0.0,13.9,37.4,104,106,13.8,4.5
25,2018-12-19,27-157,UTA,HOME,GSW,W (+5),1,25:54,.761,.714,15.4,17.8,16.7,6.7,0.0,2.9,27.6,17.0,116,102,11.4,1.7
26,2018-12-21,27-159,UTA,AWAY,POR,W (+30),1,23:57,.644,.667,5.7,12.3,9.5,5.1,0.0,7.3,0.0,14.5,136,95,9.1,2.1
27,2018-12-22,27-160,UTA,HOME,OKC,L (-1),1,27:43,.504,.500,6.5,12.4,9.1,17.4,1.7,5.4,5.9,25.7,102,102,13.3,4.1
28,2018-12-25,27-163,UTA,HOME,POR,W (+21),1,18:53,.595,.600,25.4,29.9,27.9,13.2,0.0,0.0,0.0,13.6,154,97,9.1,5.4
29,2018-12-27,27-165,UTA,HOME,PHI,L (-17),1,18:51,.420,.333,5.1,37.3,19.6,8.4,0.0,5.0,29.6,15.1,73,114,1.8,-8.9
30,2018-12-29,27-167,UTA,HOME,NYK,W (+32),1,24:35,.750,.750,13.9,25.8,20.6,14.2,1.9,3.6,0.0,13.4,176,92,15.6,12.6
31,2019-01-01,27-170,UTA,AWAY,TOR,L (-6),1,27:26,.677,.667,20.2,14.6,17.9,0.0,0.0,5.6,0.0,23.9,149,121,19.5,6.5
32,2019-01-04,27-173,UTA,AWAY,CLE,W (+26),1,24:56,.506,.444,14.4,8.4,11.2,0.0,2.1,9.5,0.0,18.5,121,91,11.1,0.6
33,2019-01-05,27-174,UTA,AWAY,DET,W (+5),1,28:15,.587,.438,3.7,17.0,9.9,15.0,1.7,6.0,0.0,17.4,133,102,13.8,6.3
34,2019-01-07,27-176,UTA,AWAY,MIL,L (-12),1,27:23,.432,.462,7.5,19.5,13.3,6.9,1.8,7.2,6.7,23.5,90,107,9.4,0.0
35,2019-01-09,27-178,UTA,HOME,ORL,W (+13),1,20:55,.800,.800,0.0,14.6,8.1,7.2,2.4,0.0,28.6,15.6,105,95,5.1,-0.3
36,2019-01-11,27-180,UTA,HOME,LAL,W (+18),1,25:43,.537,.400,13.8,25.5,20.2,6.1,0.0,2.5,0.0,20.7,131,87,15.3,4.1
37,2019-01-12,27-181,UTA,HOME,CHI,W (+8),1,28:16,.500,.500,7.2,19.6,13.7,0.0,3.4,2.4,11.1,13.6,98,97,8.5,-3.5
38,2019-01-14,27-183,UTA,HOME,DET,W (+6),1,23:39,.446,.444,13.8,20.7,17.5,8.9,2.1,0.0,8.2,21.9,97,94,7.6,-0.9
39,2019-01-16,27-185,UTA,AWAY,LAC,W (+20),1,22:20,.628,.714,5.7,37.9,24.1,12.9,0.0,0.0,10.2,18.2,119,105,10.7,2.5
40,2019-01-18,27-187,UTA,HOME,CLE,W (+16),1,22:44,.470,.364,16.2,32.1,24.8,0.0,2.1,3.4,7.3,26.3,103,91,10.4,-4.9
41,2019-01-21,27-190,UTA,HOME,POR,L (-5),1,24:03,.622,.429,12.0,28.5,19.5,13.3,0.0,8.3,17.2,19.4,122,104,12.5,6.4
42,2019-01-23,27-192,UTA,HOME,DEN,W (+6),1,5:21,,,0.0,44.9,19.9,0.0,0.0,0.0,,0.0,0,108,0.2,-8.2
43,2019-01-25,27-194,UTA,HOME,MIN,W (+4),1,22:47,.658,.611,7.8,19.6,13.0,0.0,0.0,3.3,0.0,17.9,142,108,10.4,1.0
44,2019-01-27,27-196,UTA,AWAY,MIN,W (+14),1,26:56,.652,.688,9.9,45.8,27.6,4.8,1.8,4.3,10.6,15.9,122,109,12.1,1.4
45,2019-01-30,27-199,UTA,AWAY,POR,L (-27),1,24:20,.545,.545,9.2,15.2,12.0,7.5,2.0,0.0,0.0,19.7,117,133,10.3,-1.3
46,2019-02-01,27-201,UTA,HOME,ATL,W (+16),1,26:38,.788,.750,29.3,0.0,13.9,20.5,1.7,6.9,10.1,15.5,167,105,19.9,12.5
47,2019-02-06,27-206,UTA,HOME,PHO,W (+28),1,23:00,.589,.545,0.0,16.5,7.9,0.0,4.3,7.2,7.8,24.2,109,83,10.8,1.0
48,2019-02-09,27-209,UTA,HOME,SAS,W (+20),1,19:03,.451,.400,12.6,42.0,28.6,6.8,5.1,0.0,14.1,32.6,92,95,8.9,-4.1
49,2019-02-12,27-212,UTA,AWAY,GSW,L (-7),1,24:48,.505,.500,4.6,24.7,15.2,13.2,0.0,16.1,7.2,23.9,101,103,11.1,4.9
50,2019-02-22,27-222,UTA,AWAY,OKC,L (-1),1,31:38,.940,.909,7.8,25.7,17.6,10.9,0.0,7.4,19.0,20.3,150,116,23.8,10.7
51,2019-02-23,27-223,UTA,HOME,DAL,W (+16),1,24:35,.375,.375,9.3,33.2,22.6,5.6,0.0,6.4,11.1,16.5,87,106,6.4,-5.5
52,2019-02-27,27-227,UTA,HOME,LAC,W (+6),1,22:29,.509,.455,17.1,28.2,22.8,7.8,2.1,9.4,7.3,24.1,113,92,13.4,5.1
53,2019-02-28,27-228,UTA,AWAY,DEN,W (+7),1,29:32,.713,.571,10.0,26.0,18.1,16.0,1.6,0.0,0.0,15.6,166,100,18.1,9.2
54,2019-03-02,27-230,UTA,HOME,MIL,W (+4),1,31:39,.836,.833,14.6,36.5,25.8,0.0,1.5,8.0,12.7,19.8,149,96,25.1,10.2
55,2019-03-04,27-232,UTA,HOME,NOP,L (-3),1,23:42,.680,.600,9.0,8.8,8.9,6.6,0.0,5.3,20.3,25.7,112,117,11.3,-0.6
56,2019-03-06,27-234,UTA,AWAY,NOP,W (+10),1,24:50,.916,.864,9.0,13.5,11.2,6.8,1.8,5.9,12.8,25.7,156,95,23.5,16.4
57,2019-03-08,27-236,UTA,AWAY,MEM,L (-10),1,22:23,.300,.300,19.1,5.5,12.8,0.0,6.8,6.3,16.7,12.3,89,108,5.2,-4.8
58,2019-03-11,27-239,UTA,HOME,OKC,L (-9),1,21:53,.425,.400,12.4,15.3,13.7,15.9,2.3,3.8,25.4,15.9,87,99,4.0,-5.1
59,2019-03-13,27-241,UTA,AWAY,PHO,W (+17),1,25:46,.605,.607,13.3,16.6,15.0,48.1,1.9,3.0,6.3,26.2,135,97,19.5,17.1
60,2019-03-14,27-242,UTA,HOME,MIN,W (+20),1,26:50,.660,.667,20.8,24.4,22.6,0.0,1.8,5.3,0.0,20.6,146,98,18.3,5.7
61,2019-03-16,27-244,UTA,HOME,BRK,W (+16),1,22:08,.497,.400,17.0,29.9,23.9,7.2,0.0,11.0,7.1,25.5,114,86,13.8,6.4
62,2019-03-18,27-246,UTA,AWAY,WAS,W (+21),1,12:02,.500,.500,11.1,30.7,21.3,19.4,0.0,7.4,0.0,14.4,130,94,5.7,6.4
63,2019-03-20,27-248,UTA,AWAY,NYK,W (+21),1,25:49,.868,1.000,4.8,18.1,11.6,4.6,0.0,6.8,0.0,10.1,181,115,10.8,0.4
64,2019-03-21,27-249,UTA,AWAY,ATL,L (-3),1,27:27,.663,.600,18.2,39.7,28.5,5.4,3.4,3.7,15.0,19.3,128,105,18.3,6.4
65,2019-03-23,27-251,UTA,AWAY,CHI,W (+31),1,22:02,.623,.600,14.2,11.5,12.7,6.6,0.0,0.0,16.1,24.1,114,90,9.3,-1.6
66,2019-03-25,27-253,UTA,HOME,PHO,W (+33),1,24:53,.692,.692,20.9,18.4,19.5,31.5,0.0,7.3,0.0,22.8,159,95,20.6,15.0
67,2019-03-27,27-255,UTA,HOME,LAL,W (+15),1,23:18,.622,.692,15.5,11.4,13.1,0.0,2.1,2.9,5.9,32.0,115,97,14.6,2.3
68,2019-03-29,27-257,UTA,HOME,WAS,W (+4),1,9:16,1.000,1.000,13.6,21.6,18.1,0.0,0.0,0.0,0.0,13.8,206,121,6.4,7.3
69,2019-04-09,27-268,UTA,HOME,DEN,W (+10),1,22:27,.601,.583,17.3,20.4,18.9,8.2,2.2,0.0,18.4,32.3,106,108,10.8,-3.1
