,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2018-10-18,28-042,WAS,HOME,MIA,L (-1),1,35:49,.637,.594,3.4,4.9,4.2,46.5,1.3,8.6,12.8,28.0,125,114,24.0,10.3
1,2018-10-20,28-044,WAS,HOME,TOR,L (-4),1,34:23,.576,.438,5.9,6.6,6.3,30.8,5.5,2.4,15.6,31.5,113,111,21.1,4.9
2,2018-10-22,28-046,WAS,AWAY,POR,W (+1),1,41:16,.336,.263,0.0,8.7,4.1,29.2,1.1,1.9,14.4,27.2,76,107,7.9,-6.8
3,2018-10-24,28-048,WAS,AWAY,GSW,L (-22),1,27:16,.472,.458,0.0,9.5,4.3,31.8,0.0,0.0,22.5,26.6,86,139,5.4,-10.9
4,2018-10-26,28-050,WAS,AWAY,SAC,L (-4),1,36:35,.553,.475,3.0,2.6,2.8,37.2,3.6,6.8,7.8,28.6,117,103,22.5,7.8
5,2018-10-28,28-052,WAS,AWAY,LAC,L (-32),1,27:37,.422,.400,3.0,7.7,5.1,36.1,6.5,0.0,4.5,31.5,95,118,14.6,5.5
6,2018-10-30,28-054,WAS,AWAY,MEM,L (-12),1,34:23,.733,.733,3.8,14.7,9.3,50.3,4.4,0.0,37.5,32.6,92,109,14.7,1.0
7,2018-11-02,28-057,WAS,HOME,OKC,L (-23),1,33:54,.684,.692,0.0,9.1,4.2,39.0,1.4,0.0,33.5,26.4,99,133,12.4,-4.0
8,2018-11-04,28-059,WAS,HOME,NYK,W (+13),1,37:53,.681,.656,0.0,5.4,2.6,36.1,6.5,0.0,17.3,25.8,120,94,24.1,10.4
9,2018-11-06,28-061,WAS,AWAY,DAL,L (-19),1,41:02,.510,.450,2.6,9.5,5.7,42.3,3.6,2.4,7.8,28.2,109,119,21.5,4.1
10,2018-11-09,28-064,WAS,AWAY,ORL,L (-9),1,42:20,.434,.429,0.0,20.4,10.4,42.8,2.3,2.1,12.1,26.0,100,115,16.9,-1.6
11,2018-11-10,28-065,WAS,AWAY,MIA,W (+6),1,40:57,.584,.525,0.0,5.1,2.7,35.8,1.2,2.1,7.7,26.5,137,116,22.2,6.5
12,2018-11-12,28-067,WAS,HOME,ORL,W (+8),1,33:03,.675,.667,0.0,13.8,7.7,53.9,1.5,2.5,9.7,28.8,139,116,24.4,9.4
13,2018-11-14,28-069,WAS,HOME,CLE,W (+24),1,21:24,.383,.350,10.0,16.4,13.0,54.2,4.3,4.0,22.3,24.8,99,87,8.9,1.4
14,2018-11-16,28-071,WAS,HOME,BRK,L (-11),1,37:55,.385,.342,0.0,2.6,1.3,30.1,1.3,2.2,12.6,26.2,84,118,7.0,-5.4
15,2018-11-18,28-073,WAS,HOME,POR,L (-10),1,31:16,.517,.548,3.0,7.1,4.8,16.7,0.0,8.2,4.1,32.0,101,114,16.2,5.8
16,2018-11-20,28-075,WAS,HOME,LAC,W (+7),1,40:52,.528,.479,0.0,11.7,5.3,31.9,2.3,3.8,3.4,29.5,116,113,24.0,5.1
17,2018-11-23,28-078,WAS,AWAY,TOR,L (-18),1,32:00,.423,.423,2.9,7.0,4.8,50.8,1.5,5.6,35.0,24.9,77,125,7.9,-4.8
18,2018-11-24,28-079,WAS,HOME,NOP,W (+10),1,34:28,.539,.531,0.0,20.7,11.1,28.0,1.3,0.0,19.7,31.0,98,110,15.3,-6.2
19,2018-11-26,28-081,WAS,HOME,HOU,W (+4),1,40:08,.624,.583,0.0,8.4,4.6,44.2,0.0,5.4,14.8,38.5,121,128,26.6,3.3
20,2018-11-28,28-083,WAS,AWAY,NOP,L (-21),1,25:50,.543,.500,3.1,17.3,9.1,43.6,0.0,0.0,20.4,30.9,101,122,10.7,-3.6
21,2018-11-30,28-085,WAS,AWAY,PHI,L (-25),1,25:23,.346,.300,3.9,7.4,5.7,45.0,5.4,0.0,11.2,29.3,81,114,8.5,-0.8
