,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,25-360,MIN,AWAY,BRK,W (+1),1,34:35,.335,.308,6.1,12.3,9.2,15.4,1.3,0.0,0.0,15.4,95,111,7.1,-3.2
1,2019-10-25,25-362,MIN,AWAY,CHO,W (+22),1,22:59,.676,.625,4.5,4.4,4.4,0.0,0.0,0.0,10.1,17.2,124,105,7.6,-2.5
2,2019-10-27,25-364,MIN,HOME,MIA,W (+7),1,19:56,.000,.000,5.0,6.2,5.5,12.3,4.6,0.0,0.0,9.9,42,102,0.9,-6.0
3,2019-10-30,26-002,MIN,AWAY,PHI,L (-22),1,21:00,.444,.200,0.0,20.8,10.2,0.0,4.3,0.0,12.9,15.5,82,104,4.3,-3.5
4,2019-11-02,26-005,MIN,AWAY,WAS,W (+22),1,14:16,.333,.333,0.0,19.4,11.7,7.6,0.0,0.0,0.0,16.5,74,101,0.2,-14.5
5,2019-11-04,26-007,MIN,HOME,MIL,L (-28),1,22:57,.300,.300,3.5,4.6,4.0,12.0,3.8,0.0,0.0,8.2,89,120,3.9,-2.7
6,2019-11-08,26-011,MIN,HOME,GSW,W (+6),1,32:46,.571,.571,2.9,6.2,4.5,7.8,2.8,0.0,30.0,11.4,91,105,6.0,-3.2
7,2019-11-10,26-013,MIN,HOME,DEN,L (-2),1,35:01,.467,.286,7.8,2.9,5.5,0.0,1.4,0.0,0.0,11.8,115,101,7.1,-3.4
8,2019-11-11,26-014,MIN,AWAY,DET,W (+6),1,24:05,.591,.591,15.7,13.0,14.2,18.1,0.0,0.0,0.0,19.3,144,119,10.8,-0.5
9,2019-11-13,26-016,MIN,HOME,SAS,W (+15),1,26:33,.225,.250,0.0,7.7,3.8,4.2,0.0,0.0,18.4,8.5,50,119,-1.3,-12.8
10,2019-11-15,26-018,MIN,HOME,WAS,L (-21),1,23:00,.286,.286,4.4,17.8,11.1,11.0,1.9,0.0,12.5,13.7,71,123,2.0,-9.6
11,2019-11-16,26-019,MIN,HOME,HOU,L (-20),1,27:46,.383,.350,12.6,11.0,11.8,0.0,0.0,0.0,0.0,18.1,99,134,4.2,-10.8
12,2019-11-18,26-021,MIN,AWAY,UTA,W (+10),1,24:53,.000,.000,0.0,10.0,5.6,0.0,0.0,0.0,20.0,8.6,0,103,-5.3,-16.5
13,2019-11-20,26-023,MIN,HOME,UTA,L (-8),1,19:05,.444,.444,5.0,19.3,12.3,0.0,0.0,0.0,10.0,22.6,88,111,3.4,-4.8
14,2019-11-25,26-028,MIN,AWAY,ATL,W (+12),1,22:56,.700,.700,0.0,19.9,9.4,6.0,0.0,3.4,16.7,10.6,115,109,4.3,-4.9
15,2019-11-27,26-030,MIN,AWAY,SAS,W (+12),1,13:25,.300,.300,0.0,13.3,7.2,0.0,0.0,0.0,0.0,16.6,60,105,0.5,-11.2
16,2019-12-01,26-034,MIN,HOME,MEM,L (-8),1,21:37,.444,.200,9.3,12.1,10.8,0.0,0.0,0.0,12.9,14.8,97,116,3.0,-9.6
17,2019-12-18,26-051,MIN,HOME,NOP,L (-8),1,22:12,.563,.625,3.9,25.7,13.2,0.0,2.2,0.0,0.0,16.4,112,104,7.6,2.7
18,2019-12-26,26-059,MIN,AWAY,SAC,W (+1),1,39:59,.654,.583,8.9,2.2,5.5,0.0,0.0,0.0,0.0,7.7,147,103,7.5,-2.2
19,2019-12-28,26-061,MIN,HOME,CLE,L (-6),1,24:45,.436,.333,0.0,4.8,1.9,6.2,1.9,0.0,22.5,7.2,78,99,1.1,-8.4
