,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-12,33-188,BRK,AWAY,UTA,L (-5),1,29:43,.536,.438,3.6,0.0,1.8,8.9,0.0,2.4,9.7,14.2,114,121,6.6,-1.6
1,2019-11-14,33-190,BRK,AWAY,DEN,L (-8),1,25:06,.295,.227,7.0,6.6,6.8,0.0,0.0,0.0,7.8,22.6,65,108,0.7,-9.9
2,2019-11-16,33-192,BRK,AWAY,CHI,W (+6),1,23:47,.466,.417,4.6,7.8,6.3,0.0,1.9,3.9,7.2,24.0,86,107,5.2,-7.7
3,2019-11-18,33-194,BRK,HOME,IND,L (-29),1,32:15,.479,.500,0.0,17.5,8.7,18.6,0.0,4.4,0.0,15.0,99,114,8.7,0.3
4,2019-11-20,33-196,BRK,HOME,CHO,W (+10),1,30:30,.254,.214,0.0,13.1,6.7,9.1,0.0,3.3,20.2,13.5,55,97,-0.8,-9.9
5,2019-11-22,33-198,BRK,HOME,SAC,W (+19),1,34:33,.648,.615,0.0,9.9,5.1,17.0,2.8,0.0,12.6,19.6,129,98,14.2,4.6
6,2019-11-24,33-200,BRK,AWAY,NYK,W (+2),1,35:59,.636,.667,0.0,0.0,0.0,0.0,2.9,0.0,0.0,12.2,119,111,8.1,0.6
7,2019-11-25,33-201,BRK,AWAY,CLE,W (+2),1,36:29,.500,.500,0.0,13.7,7.1,9.9,1.4,2.1,22.2,11.0,89,113,5.4,-8.4
8,2019-11-27,33-203,BRK,AWAY,BOS,L (-11),1,30:39,.786,.786,0.0,6.8,3.4,17.1,1.6,2.5,12.5,22.1,125,125,17.4,9.5
9,2019-11-29,33-205,BRK,HOME,BOS,W (+5),1,37:22,.676,.688,0.0,12.4,6.6,23.7,1.3,2.0,10.1,10.9,143,106,13.5,5.3
10,2019-12-01,33-207,BRK,HOME,MIA,L (-3),1,34:10,.292,.292,3.2,12.8,8.5,19.6,0.0,0.0,7.7,16.6,80,115,3.7,-8.1
11,2019-12-04,33-210,BRK,AWAY,ATL,W (+12),1,34:25,.821,.813,3.2,9.5,6.3,11.6,0.0,0.0,10.8,20.8,156,119,19.5,5.3
12,2019-12-06,33-212,BRK,AWAY,CHO,W (+7),1,32:52,.444,.444,0.0,6.6,3.5,15.5,1.6,3.4,30.8,17.2,79,114,3.2,-9.7
13,2019-12-08,33-214,BRK,HOME,DEN,W (+3),1,33:30,.500,.500,7.2,12.7,10.1,13.7,1.5,0.0,6.3,21.2,107,107,11.6,2.0
14,2019-12-11,33-217,BRK,HOME,CHO,L (-5),1,31:59,.500,.500,3.1,3.0,3.0,19.7,1.6,0.0,8.3,15.7,115,126,8.7,-1.3
15,2019-12-14,33-220,BRK,AWAY,TOR,L (-8),1,31:53,.394,.368,0.0,10.8,5.5,10.0,0.0,0.0,16.4,28.5,71,106,2.5,-8.8
16,2019-12-15,33-221,BRK,HOME,PHI,W (+20),1,29:10,.945,.917,0.0,0.0,0.0,18.1,0.0,0.0,0.0,9.6,199,95,12.4,10.0
17,2019-12-17,33-223,BRK,AWAY,NOP,W (+7),1,39:29,.228,.179,2.8,8.4,6.0,18.0,0.0,0.0,6.1,18.7,63,102,1.6,-9.3
18,2019-12-19,33-225,BRK,AWAY,SAS,L (-13),1,34:22,.363,.250,0.0,7.8,4.5,8.7,4.0,0.0,17.9,20.5,68,112,3.5,-7.2
19,2019-12-21,33-227,BRK,HOME,ATL,W (+10),1,39:49,.629,.632,4.8,7.7,6.4,10.7,1.1,2.1,4.8,19.8,128,105,19.9,4.7
20,2019-12-26,33-232,BRK,HOME,NYK,L (-12),1,29:47,.322,.300,5.8,20.9,13.2,9.1,0.0,0.0,0.0,16.4,77,98,4.6,-3.6
21,2019-12-28,33-234,BRK,AWAY,HOU,L (-10),1,27:46,.111,.111,0.0,6.4,3.4,14.7,1.7,2.9,10.0,14.9,38,106,-0.9,-10.0
22,2019-12-30,33-236,BRK,AWAY,MIN,L (-7),1,40:34,.310,.219,0.0,8.4,4.4,18.1,0.0,2.2,10.1,20.3,70,107,2.8,-9.6
23,2020-01-04,33-241,BRK,HOME,TOR,L (-19),1,30:10,.505,.500,4.7,13.5,9.8,18.6,1.6,0.0,7.8,19.3,104,125,9.5,-0.7
24,2020-01-06,33-243,BRK,AWAY,ORL,L (-12),1,29:16,.296,.192,2.7,3.6,3.1,22.8,1.6,0.0,16.5,25.7,64,105,1.3,-9.1
25,2020-01-20,33-257,BRK,HOME,PHI,L (-6),1,19:49,.250,.250,0.0,15.8,8.1,6.6,2.4,0.0,20.0,10.3,56,113,1.2,-6.3
26,2020-01-25,33-262,BRK,AWAY,DET,W (+10),1,22:12,.340,.300,0.0,20.6,11.2,0.0,0.0,0.0,0.0,12.2,75,109,1.6,-7.8
27,2020-01-26,33-263,BRK,AWAY,NYK,L (-13),1,33:43,.458,.458,0.0,10.4,5.2,15.1,1.5,2.0,0.0,16.3,101,116,8.1,-1.1
28,2020-01-29,33-266,BRK,HOME,DET,W (+10),1,24:20,.727,.667,0.0,5.2,2.5,26.6,0.0,0.0,12.7,14.5,145,124,9.0,2.2
29,2020-01-31,33-268,BRK,HOME,CHI,W (+15),1,26:02,.527,.550,0.0,8.6,4.9,0.0,1.8,0.0,8.7,19.0,90,120,5.0,-9.7
30,2020-02-01,33-269,BRK,AWAY,WAS,L (-6),1,36:30,.589,.571,2.9,8.9,6.3,4.2,1.3,1.9,6.5,17.2,116,113,11.7,0.7
31,2020-08-04,34-088,BRK,AWAY,MIL,W (+3),1,26:24,.633,.633,0.0,21.6,9.5,24.0,0.0,9.8,0.0,23.3,125,106,17.0,11.9
32,2020-08-07,34-091,BRK,HOME,SAC,W (+13),1,25:07,.761,.714,0.0,3.8,2.0,16.7,3.9,3.9,11.3,15.8,138,105,12.0,6.9
33,2020-08-09,34-093,BRK,AWAY,LAC,W (+9),1,36:46,.620,.571,0.0,16.3,9.2,6.7,1.3,0.0,0.0,18.3,131,120,14.6,-1.0
34,2020-08-13,34-097,BRK,HOME,POR,L (-1),1,36:54,.638,.550,3.3,24.4,14.8,10.9,0.0,0.0,0.0,12.9,155,128,15.0,0.9
