,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-09,23-197,CHI,HOME,HOU,L (-23),1,23:13,.650,.650,0.0,18.8,8.2,0.0,3.9,10.6,9.1,18.8,109,101,10.4,4.8
1,2019-11-12,23-200,CHI,HOME,NYK,W (+18),1,20:57,.608,.625,0.0,13.7,8.2,6.3,0.0,0.0,25.8,15.6,95,104,3.0,-5.8
2,2019-11-14,23-202,CHI,AWAY,MIL,L (-9),1,21:11,.436,.333,0.0,30.5,15.4,20.3,2.0,0.0,0.0,12.6,112,106,7.8,2.1
3,2019-11-16,23-204,CHI,HOME,BRK,L (-6),1,23:28,.578,.333,0.0,18.6,8.5,7.3,0.0,0.0,17.4,18.4,109,112,6.7,-3.0
4,2019-11-18,23-206,CHI,HOME,MIL,L (-14),1,21:17,.394,.313,0.0,25.1,11.5,13.1,2.2,0.0,25.3,22.9,69,111,3.1,-6.2
5,2019-11-27,23-215,CHI,AWAY,GSW,L (-14),1,2:07,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,0.0,-10.7
6,2020-02-02,23-282,CHI,AWAY,TOR,L (-27),1,27:36,.501,.423,13.6,4.8,10.0,6.6,1.8,0.0,10.5,28.1,107,137,9.9,-5.4
7,2020-02-06,23-286,CHI,HOME,NOP,L (-6),1,31:37,.457,.429,6.5,24.0,14.3,4.1,2.9,0.0,14.6,26.4,87,116,9.5,-8.2
8,2020-02-09,23-289,CHI,AWAY,PHI,L (-7),1,31:09,.253,.278,7.2,17.9,12.5,15.4,1.6,0.0,0.0,13.4,92,120,4.2,-5.1
9,2020-02-11,23-291,CHI,AWAY,WAS,L (-12),1,28:32,.349,.375,0.0,15.6,7.6,4.5,0.0,3.0,0.0,18.3,77,121,2.8,-11.3
