,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-20,26-045,CHI,HOME,DET,W (+20),1,26:17,.582,.625,7.9,29.9,19.9,34.8,5.5,3.7,13.4,23.3,115,74,16.7,13.8
1,2019-11-22,26-047,CHI,HOME,MIA,L (-8),1,23:09,.512,.375,0.0,11.5,4.9,23.8,4.3,5.1,0.0,18.1,129,113,10.1,4.6
2,2019-11-23,26-048,CHI,AWAY,CHO,W (+1),1,13:42,,,0.0,9.7,4.3,24.4,0.0,0.0,,0.0,251,125,1.6,-5.4
3,2019-11-25,26-050,CHI,HOME,POR,L (-23),1,23:26,.255,.300,8.2,9.8,8.9,18.1,0.0,3.3,25.4,14.4,65,120,1.5,-8.0
4,2020-02-29,26-146,CHI,AWAY,NYK,L (-10),1,13:22,1.250,1.250,7.8,0.0,4.3,10.6,3.8,0.0,33.3,10.1,152,134,5.0,0.5
5,2020-03-02,26-148,CHI,HOME,DAL,W (+2),1,15:45,.205,.000,0.0,15.6,7.1,6.9,6.1,7.3,17.0,15.5,49,95,2.2,-3.5
6,2020-03-04,26-150,CHI,AWAY,MIN,L (-7),1,28:38,.799,.813,4.0,8.2,6.1,9.2,3.4,4.4,8.6,17.9,149,116,16.2,8.6
7,2020-03-06,26-152,CHI,HOME,IND,L (-6),1,33:59,.840,.821,2.7,11.2,6.2,20.7,4.3,5.3,0.0,17.4,175,103,26.0,19.7
8,2020-03-08,26-154,CHI,AWAY,BRK,L (-3),1,35:43,.333,.333,5.4,26.0,13.3,11.5,5.2,4.0,10.0,12.2,82,99,7.5,-3.3
9,2020-03-10,26-156,CHI,HOME,CLE,W (+5),1,29:42,.508,.429,16.2,23.7,20.0,17.4,1.7,8.7,0.0,11.4,148,100,12.8,6.0
