,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-01-08,31-201,CHI,AWAY,NOP,L (-15),1,34:44,.533,.531,8.6,10.1,9.3,8.8,4.1,0.0,10.6,23.0,106,121,13.4,0.1
1,2020-01-24,31-217,CHI,HOME,SAC,L (-17),1,29:24,.563,.500,7.6,23.3,15.4,13.3,1.7,3.3,10.1,15.5,112,101,10.5,2.5
2,2020-01-25,31-218,CHI,AWAY,CLE,W (+12),1,34:44,.557,.556,0.0,10.4,5.2,7.5,4.3,2.6,16.8,15.7,97,107,9.1,-4.3
3,2020-01-27,31-220,CHI,HOME,SAS,W (+1),1,29:00,.547,.545,3.4,27.6,15.4,9.8,0.0,0.0,0.0,18.1,123,116,9.8,-2.8
4,2020-01-29,31-222,CHI,AWAY,IND,L (-9),1,35:53,.673,.682,0.0,7.2,3.7,8.5,1.5,0.0,20.2,20.1,103,117,9.5,-2.8
5,2020-01-31,31-224,CHI,AWAY,BRK,L (-15),1,30:49,.589,.591,0.0,9.7,4.2,19.1,1.5,0.0,14.4,19.6,110,132,10.3,-2.5
6,2020-02-02,31-226,CHI,AWAY,TOR,L (-27),1,29:48,.844,.875,6.3,22.4,13.0,7.9,3.4,0.0,24.3,22.5,111,129,15.0,4.1
7,2020-02-06,31-230,CHI,HOME,NOP,L (-6),1,31:05,.550,.550,3.3,20.3,10.9,4.0,4.4,0.0,23.1,17.0,88,113,8.5,-3.7
8,2020-02-09,31-233,CHI,AWAY,PHI,L (-7),1,36:51,.455,.455,12.1,18.2,15.1,0.0,1.3,0.0,15.4,14.9,95,121,6.7,-7.6
9,2020-02-11,31-235,CHI,AWAY,WAS,L (-12),1,32:57,.417,.417,3.2,13.6,8.3,3.8,1.4,5.1,33.3,22.2,60,117,0.6,-13.4
10,2020-02-20,31-244,CHI,HOME,CHO,L (-10),1,35:53,.611,.611,11.4,26.8,17.9,5.7,5.8,2.9,14.3,25.9,107,101,19.5,7.0
11,2020-02-22,31-246,CHI,HOME,PHO,L (-8),1,31:00,.591,.591,7.6,10.6,9.1,11.0,6.2,5.5,15.4,17.2,112,103,12.8,8.2
12,2020-02-23,31-247,CHI,HOME,WAS,W (+9),1,30:24,.751,.750,0.0,27.9,13.3,9.8,4.5,0.0,11.5,22.9,133,107,18.6,7.3
13,2020-02-25,31-249,CHI,HOME,OKC,L (-2),1,29:47,.500,.500,7.5,4.9,6.4,13.7,1.7,0.0,0.0,11.5,139,133,8.3,0.8
14,2020-02-29,31-253,CHI,AWAY,NYK,L (-10),1,31:35,.625,.625,3.3,8.2,5.5,9.5,8.1,0.0,14.3,19.9,113,123,13.9,2.4
15,2020-03-02,31-255,CHI,HOME,DAL,W (+2),1,35:41,.450,.417,8.6,20.7,14.1,14.4,1.4,0.0,7.0,16.7,108,109,11.1,-1.1
