,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-25,23-055,DAL,AWAY,NOP,W (+7),1,28:45,.636,.636,13.9,13.6,13.8,9.5,0.0,0.0,0.0,15.9,148,119,14.1,3.2
1,2019-10-27,23-057,DAL,HOME,POR,L (-2),1,26:31,.311,.250,0.0,8.8,3.9,10.3,0.0,0.0,0.0,9.5,83,119,1.4,-9.9
2,2019-11-03,23-064,DAL,AWAY,CLE,W (+20),1,30:19,.636,.636,4.0,3.0,3.4,23.5,0.0,0.0,8.3,16.9,140,120,11.7,-0.7
3,2019-12-16,23-107,DAL,AWAY,MIL,W (+4),1,32:20,.604,.500,3.3,7.5,5.7,46.6,1.4,0.0,15.7,16.6,135,114,15.8,5.3
4,2019-12-18,23-109,DAL,HOME,BOS,L (-6),1,31:19,.385,.385,3.1,20.0,11.2,60.5,0.0,0.0,18.8,23.4,95,118,9.7,-2.5
5,2019-12-20,23-111,DAL,AWAY,PHI,W (+19),1,24:38,.583,.556,0.0,11.2,6.2,41.0,1.9,3.5,17.5,20.5,120,98,11.8,5.3
6,2019-12-22,23-113,DAL,AWAY,TOR,L (-3),1,34:25,.685,.643,2.7,7.9,5.4,52.6,1.4,0.0,11.5,20.3,139,113,19.7,8.8
7,2019-12-31,23-122,DAL,AWAY,OKC,L (-5),1,23:11,.389,.389,3.8,4.1,3.9,7.7,0.0,0.0,10.0,18.0,84,120,1.4,-9.8
8,2020-02-01,23-154,DAL,HOME,ATL,W (+23),1,27:17,.602,.591,3.5,10.0,6.8,61.5,0.0,0.0,4.3,37.5,131,108,22.2,8.1
9,2020-02-03,23-156,DAL,AWAY,IND,W (+9),1,30:30,.461,.375,0.0,13.4,6.9,15.1,0.0,0.0,29.1,20.0,79,113,3.1,-11.1
10,2020-02-05,23-158,DAL,HOME,MEM,L (-14),1,32:46,.617,.536,0.0,7.3,3.1,34.9,0.0,0.0,11.0,23.5,124,131,15.0,2.2
11,2020-02-07,23-160,DAL,AWAY,WAS,L (-1),1,31:18,.689,.650,0.0,14.6,7.0,18.7,0.0,0.0,15.5,17.4,128,127,12.0,-2.7
12,2020-02-08,23-161,DAL,AWAY,CHO,W (+16),1,27:16,.547,.500,0.0,15.0,8.3,19.1,0.0,0.0,20.2,25.7,102,115,6.7,-8.5
13,2020-02-10,23-163,DAL,HOME,UTA,L (-4),1,25:34,.508,.429,4.8,5.9,5.3,33.8,0.0,0.0,0.0,14.3,135,133,9.1,-1.7
14,2020-02-12,23-165,DAL,HOME,SAC,W (+19),1,14:14,.625,.625,0.0,0.0,0.0,16.3,0.0,0.0,33.3,19.2,89,117,2.0,-9.2
15,2020-02-22,23-175,DAL,AWAY,ATL,L (-4),1,0:12,.694,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,140,90,0.9,67.8
