,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-11,31-038,DET,HOME,MIN,L (-6),1,19:54,.231,.231,5.2,12.7,8.6,38.0,4.8,4.4,0.0,27.3,81,113,5.6,-3.8
1,2020-01-15,31-103,DET,AWAY,BOS,W (+13),1,28:44,.846,.846,0.0,7.6,4.3,35.0,0.0,3.0,18.8,27.5,138,116,19.8,6.6
2,2020-01-18,31-106,DET,AWAY,ATL,W (+33),1,26:19,.755,.735,0.0,9.1,5.0,56.4,1.8,0.0,5.3,30.2,163,106,26.4,12.2
3,2020-01-20,31-108,DET,AWAY,WAS,L (-6),1,34:17,.444,.405,0.0,15.6,6.6,10.4,2.8,0.0,7.8,31.3,89,105,10.9,-2.9
4,2020-01-22,31-110,DET,HOME,SAC,W (+21),1,30:07,.548,.471,0.0,16.8,10.3,66.8,0.0,0.0,4.7,30.7,128,105,19.8,0.8
5,2020-01-24,31-112,DET,HOME,MEM,L (-13),1,33:10,.493,.476,5.7,4.1,5.0,47.2,1.5,0.0,11.8,32.8,103,130,15.8,-0.9
6,2020-01-25,31-113,DET,HOME,BRK,L (-10),1,36:59,.558,.500,2.5,8.8,5.4,30.0,2.8,0.0,4.0,30.1,123,117,22.0,10.4
7,2020-01-29,31-117,DET,AWAY,BRK,L (-10),1,30:47,.674,.633,0.0,23.4,12.0,27.9,0.0,0.0,10.9,25.7,129,131,18.4,2.7
8,2020-01-31,31-119,DET,HOME,TOR,L (-13),1,29:50,.639,.625,0.0,0.0,0.0,35.7,0.0,0.0,5.7,25.8,124,118,14.5,6.1
9,2020-02-02,31-121,DET,HOME,DEN,W (+5),1,12:52,.258,.333,9.4,0.0,4.6,18.8,0.0,0.0,20.5,17.4,75,130,0.6,-14.2
10,2020-02-20,31-139,DET,HOME,MIL,L (-20),1,23:07,.400,.400,0.0,0.0,0.0,30.2,0.0,3.5,11.8,31.8,82,126,5.4,-8.1
11,2020-02-23,31-142,DET,AWAY,POR,L (-3),1,27:40,.444,.406,0.0,8.3,4.1,19.6,0.0,0.0,22.9,35.9,77,124,3.9,-13.9
12,2020-02-25,31-144,DET,AWAY,DEN,L (-17),1,27:01,.585,.464,4.0,5.9,4.8,39.8,3.9,0.0,19.0,35.3,110,122,14.3,3.6
13,2020-02-28,31-147,DET,AWAY,PHO,W (+2),1,30:08,.646,.646,7.4,6.1,6.9,31.7,3.4,3.1,11.1,40.2,117,117,24.4,10.5
14,2020-03-01,31-149,DET,AWAY,SAC,L (-6),1,9:23,.765,.700,0.0,29.5,16.5,58.0,0.0,0.0,14.5,33.7,135,109,7.6,12.3
