,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,27-347,DET,AWAY,IND,W (+9),1,31:53,.714,.714,0.0,6.7,3.7,8.6,0.0,0.0,12.5,10.9,128,115,6.1,-1.8
1,2019-10-24,27-348,DET,HOME,ATL,L (-17),1,33:36,.563,.563,3.3,3.8,3.5,9.3,0.0,2.6,0.0,10.6,125,125,6.9,-1.9
2,2019-10-26,27-350,DET,HOME,PHI,L (-6),1,24:57,.375,.375,0.0,5.3,2.6,29.5,3.5,0.0,0.0,6.7,125,106,5.9,4.0
3,2019-10-28,27-352,DET,HOME,IND,W (+2),1,22:19,.667,.667,0.0,8.3,4.6,7.0,0.0,0.0,14.3,14.3,113,106,4.9,1.9
4,2019-10-30,27-354,DET,AWAY,TOR,L (-12),1,18:49,.429,.429,6.1,0.0,3.4,14.2,0.0,0.0,0.0,15.1,110,125,4.0,-1.9
5,2019-11-01,27-356,DET,AWAY,CHI,L (-6),1,27:20,.510,.400,0.0,0.0,0.0,9.4,1.7,0.0,0.0,9.3,122,118,4.9,-4.8
6,2019-11-02,27-357,DET,HOME,BRK,W (+4),1,30:36,.556,.556,3.6,10.2,7.1,0.0,1.5,2.6,0.0,12.6,111,107,8.2,-0.1
7,2019-11-04,27-359,DET,AWAY,WAS,L (-16),1,33:51,.393,.393,0.0,3.4,1.7,0.0,0.0,0.0,0.0,17.9,90,127,3.1,-9.3
8,2019-11-06,27-361,DET,HOME,NYK,W (+20),1,32:23,1.333,1.333,0.0,3.7,2.0,9.7,1.5,0.0,0.0,12.6,261,108,22.8,15.9
9,2019-11-08,27-363,DET,AWAY,IND,L (-6),1,33:10,.550,.550,6.6,0.0,3.4,8.7,1.5,0.0,16.7,15.9,101,121,6.2,-4.0
10,2019-11-11,28-001,DET,HOME,MIN,L (-6),1,30:59,1.015,1.000,0.0,4.1,1.8,14.9,1.6,0.0,20.2,13.3,153,125,13.3,5.1
11,2019-11-12,28-002,DET,AWAY,MIA,L (-9),1,23:38,.429,.429,0.0,6.3,2.7,6.8,0.0,0.0,0.0,12.9,91,128,2.9,-6.9
12,2019-11-15,28-005,DET,AWAY,CHO,L (-3),1,8:36,,,0.0,11.4,6.7,0.0,0.0,0.0,,0.0,0,117,-0.1,-8.1
13,2019-12-01,28-021,DET,HOME,SAS,W (+34),1,17:20,.500,.500,0.0,6.0,3.4,6.0,0.0,0.0,0.0,12.5,119,107,2.1,-7.7
14,2019-12-03,28-023,DET,AWAY,CLE,W (+33),1,22:01,.500,.500,0.0,13.6,7.6,0.0,0.0,0.0,0.0,4.0,103,106,0.3,-12.2
15,2019-12-04,28-024,DET,HOME,MIL,L (-24),1,26:45,.583,.583,0.0,4.4,1.9,10.7,0.0,0.0,0.0,9.5,122,129,4.5,-4.9
16,2019-12-06,28-026,DET,HOME,IND,W (+7),1,25:53,.833,.833,0.0,8.8,4.4,0.0,0.0,0.0,0.0,4.8,171,111,3.9,-2.0
17,2019-12-09,28-029,DET,AWAY,NOP,W (+2),1,23:37,.600,.600,0.0,13.3,6.7,6.4,2.0,0.0,16.7,10.6,105,102,4.5,1.4
18,2019-12-12,28-032,DET,HOME,DAL,L (-11),1,28:19,.857,.857,0.0,4.2,2.0,0.0,0.0,0.0,0.0,11.2,152,133,8.2,-0.1
19,2019-12-14,28-034,DET,AWAY,HOU,W (+8),1,32:26,.856,.786,0.0,13.5,7.3,0.0,1.4,2.6,0.0,11.1,172,102,14.5,6.0
20,2019-12-16,28-036,DET,HOME,WAS,L (-14),1,26:04,.563,.500,0.0,0.0,0.0,15.6,0.0,0.0,0.0,14.2,135,138,7.7,-3.3
21,2019-12-18,28-038,DET,HOME,TOR,L (-13),1,26:20,.278,.278,0.0,14.6,7.7,15.5,1.8,0.0,0.0,14.7,76,114,3.0,-5.2
22,2019-12-20,28-040,DET,AWAY,BOS,L (-21),1,31:44,.438,.438,0.0,8.0,3.5,0.0,1.5,0.0,11.1,11.6,77,117,2.8,-6.9
23,2019-12-21,28-041,DET,HOME,CHI,L (-12),1,31:42,.917,.917,3.7,0.0,2.0,8.9,3.1,3.6,0.0,8.4,175,127,13.2,5.7
24,2019-12-23,28-043,DET,HOME,PHI,L (-16),1,31:36,.667,.667,0.0,7.4,3.9,0.0,0.0,0.0,25.0,11.6,87,139,3.2,-9.4
25,2019-12-26,28-046,DET,HOME,WAS,W (+30),1,22:36,.506,.444,0.0,0.0,0.0,5.4,0.0,0.0,9.2,20.7,104,115,3.4,-11.3
26,2019-12-28,28-048,DET,AWAY,SAS,L (-27),1,19:29,.375,.375,0.0,6.7,2.7,6.6,2.4,0.0,0.0,8.6,88,134,1.8,-8.4
27,2019-12-30,28-050,DET,AWAY,UTA,L (-23),1,28:12,.667,.667,0.0,8.1,3.8,0.0,0.0,3.0,0.0,4.8,133,115,2.0,-6.3
28,2020-01-02,28-053,DET,AWAY,LAC,L (-14),1,24:48,.700,.700,0.0,4.4,2.0,6.8,0.0,0.0,0.0,16.1,141,127,10.0,2.6
29,2020-01-04,28-055,DET,AWAY,GSW,W (+7),1,21:33,.872,.833,0.0,0.0,0.0,17.3,0.0,0.0,0.0,6.9,189,119,6.4,1.5
30,2020-01-05,28-056,DET,AWAY,LAL,L (-7),1,13:07,.000,.000,0.0,7.6,3.9,12.6,0.0,0.0,0.0,10.0,19,111,-1.5,-13.4
31,2020-01-07,28-058,DET,AWAY,CLE,W (+2),1,30:39,.900,.900,0.0,15.3,7.3,10.1,0.0,0.0,0.0,14.3,174,123,16.4,6.2
32,2020-01-09,28-060,DET,HOME,CLE,L (-3),1,35:36,.550,.550,0.0,4.0,1.8,11.0,0.0,0.0,0.0,12.4,136,123,6.8,-5.2
33,2020-01-11,28-062,DET,HOME,CHI,L (-9),1,30:42,.667,.667,0.0,4.0,2.0,10.0,1.7,3.3,33.3,12.9,90,117,5.0,-1.9
34,2020-01-13,28-064,DET,HOME,NOP,L (-7),1,28:25,.000,.000,0.0,6.8,3.6,9.3,1.7,0.0,0.0,6.3,26,109,-0.6,-12.2
35,2020-01-15,28-066,DET,AWAY,BOS,W (+13),1,29:31,.500,.500,0.0,11.1,6.3,11.2,1.7,0.0,0.0,10.0,114,112,5.8,-2.2
36,2020-01-18,28-069,DET,AWAY,ATL,W (+33),1,19:09,1.163,1.167,0.0,6.3,3.4,0.0,2.5,12.7,0.0,7.6,236,97,10.5,13.4
37,2020-01-20,28-071,DET,AWAY,WAS,L (-6),1,29:14,.810,.778,0.0,4.6,1.9,0.0,0.0,0.0,0.0,14.1,161,113,11.6,4.6
38,2020-01-22,28-073,DET,HOME,SAC,W (+21),1,33:10,1.000,1.000,0.0,7.6,4.7,4.0,0.0,0.0,0.0,4.0,189,109,5.9,0.3
39,2020-01-29,28-080,DET,AWAY,BRK,L (-10),1,24:51,.375,.375,0.0,14.5,7.4,15.2,0.0,4.2,0.0,13.9,98,129,4.9,-2.7
40,2020-01-31,28-082,DET,HOME,TOR,L (-13),1,31:06,.291,.167,0.0,15.8,7.1,23.3,3.3,2.7,8.8,16.0,78,106,5.0,-2.1
41,2020-02-02,28-084,DET,HOME,DEN,W (+5),1,36:58,.825,.786,0.0,6.2,3.2,20.4,0.0,0.0,20.2,12.3,141,128,12.1,2.2
42,2020-02-03,28-085,DET,AWAY,MEM,L (-14),1,29:22,.143,.143,0.0,0.0,0.0,20.2,1.7,0.0,12.5,11.3,51,102,0.3,-7.8
43,2020-02-05,28-087,DET,HOME,PHO,W (+8),1,34:32,.350,.350,0.0,7.9,3.5,10.0,1.5,0.0,0.0,12.9,95,122,4.5,-9.1
44,2020-02-07,28-089,DET,AWAY,OKC,L (-7),1,33:04,.450,.450,0.0,4.5,1.8,22.5,0.0,0.0,0.0,13.6,118,128,7.0,-2.4
45,2020-02-08,28-090,DET,HOME,NYK,L (-3),1,34:23,.750,.750,0.0,0.0,0.0,15.5,0.0,0.0,27.3,16.7,106,118,5.9,-5.3
46,2020-02-10,28-092,DET,HOME,CHO,L (-11),1,33:45,.300,.300,0.0,6.2,2.9,20.6,1.6,0.0,0.0,6.5,104,104,3.1,-3.0
47,2020-02-12,28-094,DET,AWAY,ORL,L (-4),1,32:38,1.000,1.000,3.5,6.9,5.2,26.8,0.0,2.7,0.0,11.0,200,114,17.5,13.0
48,2020-02-20,28-102,DET,HOME,MIL,L (-20),1,22:05,.776,.750,0.0,0.0,0.0,13.9,2.1,0.0,13.4,14.6,135,124,8.4,3.3
49,2020-02-23,28-105,DET,AWAY,POR,L (-3),1,24:56,.375,.375,0.0,13.8,6.8,0.0,2.1,0.0,20.0,9.1,62,118,1.5,-8.2
50,2020-02-25,28-107,DET,AWAY,DEN,L (-17),1,32:16,.714,.714,3.4,14.9,8.0,38.5,1.6,0.0,0.0,9.8,171,126,13.0,7.2
51,2020-02-28,28-110,DET,AWAY,PHO,W (+2),1,29:51,.554,.400,0.0,6.2,2.3,15.8,0.0,0.0,13.7,11.0,121,126,5.2,-8.1
52,2020-03-01,28-112,DET,AWAY,SAC,L (-6),1,38:21,.581,.500,0.0,9.6,5.4,25.7,1.3,2.2,0.0,12.4,139,115,13.2,4.5
53,2020-03-04,28-115,DET,HOME,OKC,L (-7),1,32:10,.500,.500,0.0,15.4,6.5,24.2,3.1,2.9,16.7,8.2,123,115,7.9,1.4
54,2020-03-07,28-118,DET,HOME,UTA,L (-6),1,31:25,.667,.667,0.0,4.1,2.0,8.6,0.0,0.0,14.3,10.0,118,128,4.9,-3.7
55,2020-03-08,28-119,DET,AWAY,NYK,L (-12),1,28:34,.212,.167,3.9,15.6,9.8,18.5,0.0,2.7,9.6,17.4,58,110,1.0,-10.3
