,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-27,22-117,GSW,AWAY,OKC,L (-28),1,23:10,.519,.429,7.7,11.8,9.3,26.1,8.1,0.0,23.7,21.9,92,105,9.4,2.3
1,2019-12-31,22-182,GSW,AWAY,SAS,L (-4),1,33:57,.509,.500,15.0,20.8,17.7,19.9,1.5,2.4,30.4,13.8,108,113,9.9,-3.8
2,2020-01-02,22-184,GSW,AWAY,MIN,L (-15),1,22:20,.436,.500,10.2,20.3,15.8,40.5,0.0,4.1,0.0,14.5,115,104,8.1,4.9
3,2020-01-24,22-206,GSW,HOME,IND,L (-11),1,21:29,1.105,1.100,5.9,12.4,9.1,7.8,4.5,7.6,25.4,15.7,149,116,14.1,9.6
4,2020-01-28,22-210,GSW,AWAY,PHI,L (-11),1,31:07,.638,.600,3.2,17.1,9.2,11.1,0.0,0.0,0.0,16.6,132,115,12.5,-0.2
5,2020-01-30,22-212,GSW,AWAY,BOS,L (-15),1,23:00,.654,.667,5.2,10.2,7.7,8.5,4.1,3.9,0.0,13.5,133,113,10.3,2.3
6,2020-02-01,22-214,GSW,AWAY,CLE,W (+19),1,24:55,.455,.455,13.4,16.4,15.0,15.1,1.9,15.1,8.3,21.1,110,107,12.1,-3.6
7,2020-02-03,22-216,GSW,AWAY,WAS,W (+8),1,25:40,.962,1.000,8.3,16.5,11.8,5.6,0.0,6.1,12.9,12.7,169,113,13.3,1.3
8,2020-02-05,22-218,GSW,AWAY,BRK,L (-41),1,28:25,.383,.350,2.9,24.7,11.9,0.0,0.0,7.7,8.7,17.4,73,123,5.0,-9.8
9,2020-02-08,22-221,GSW,HOME,LAL,L (-5),1,27:19,.842,.833,8.2,33.2,19.8,7.1,1.6,6.6,0.0,23.2,166,113,25.7,11.9
10,2020-02-10,22-223,GSW,HOME,MIA,L (-12),1,26:43,.609,.500,12.2,26.3,19.0,0.0,3.6,3.3,6.7,25.1,122,107,15.6,3.0
11,2020-02-12,22-225,GSW,AWAY,PHO,L (-6),1,31:06,.660,.636,8.6,36.7,23.7,16.4,0.0,8.6,18.0,23.9,115,106,16.7,1.7
12,2020-02-20,22-233,GSW,HOME,HOU,L (-30),1,17:52,.563,.500,6.6,30.7,17.7,16.2,0.0,7.5,10.1,23.0,118,137,8.6,-2.4
13,2020-02-25,22-238,GSW,HOME,SAC,L (-18),1,25:21,.831,.800,4.4,55.0,25.6,28.6,0.0,0.0,7.3,24.5,155,116,19.7,13.1
14,2020-02-27,22-240,GSW,HOME,LAL,L (-30),1,23:04,.400,.400,10.2,26.0,18.0,27.9,0.0,3.3,16.7,11.3,99,110,5.1,-2.7
15,2020-02-29,22-242,GSW,AWAY,PHO,W (+16),1,25:41,.578,.500,8.3,29.7,18.9,15.8,5.7,3.5,17.4,19.4,114,87,12.5,2.7
16,2020-03-01,22-243,GSW,HOME,WAS,L (-14),1,30:13,.750,.750,6.8,44.8,24.0,9.8,0.0,6.1,38.5,17.1,92,121,10.1,-4.9
17,2020-03-03,22-245,GSW,AWAY,DEN,W (+16),1,24:52,.621,.583,4.9,15.8,11.0,6.8,4.1,2.9,7.2,26.1,115,98,13.5,0.8
18,2020-03-05,22-247,GSW,HOME,TOR,L (-8),1,29:56,.511,.429,16.0,27.4,21.1,21.1,1.5,7.5,5.7,22.8,121,109,18.2,4.5
19,2020-03-07,22-249,GSW,HOME,PHI,W (+4),1,32:41,.689,.667,11.9,26.4,19.3,33.4,1.6,2.9,0.0,14.0,165,119,19.8,11.1
20,2020-03-10,22-252,GSW,HOME,LAC,L (-24),1,27:09,.740,.600,13.3,29.5,21.6,11.2,0.0,0.0,12.9,13.7,149,135,11.9,-1.0
