,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,27-146,IND,HOME,DET,L (-9),1,25:52,.406,.364,4.1,15.5,9.2,16.6,1.9,0.0,14.0,23.2,84,120,4.6,-8.1
1,2019-10-30,27-153,IND,AWAY,BRK,W (+10),1,34:10,.629,.658,9.0,11.7,10.4,0.0,1.4,0.0,9.1,27.0,114,109,16.4,2.9
2,2019-11-01,27-155,IND,HOME,CLE,W (+7),1,34:51,.671,.577,2.5,25.8,13.4,4.7,2.6,2.5,6.0,19.4,133,87,19.3,8.2
3,2019-11-03,27-157,IND,HOME,CHI,W (+13),1,31:45,.552,.167,0.0,20.2,10.0,19.6,1.5,8.2,9.1,14.7,125,87,13.4,5.9
4,2019-11-05,27-159,IND,AWAY,CHO,L (-2),1,37:58,.474,.474,0.0,15.2,8.7,7.0,2.6,0.0,0.0,23.0,103,113,12.4,-2.3
5,2019-11-23,27-177,IND,HOME,ORL,W (+5),1,28:17,.549,.455,0.0,20.2,11.3,4.9,1.7,2.8,13.6,23.8,100,106,9.4,-4.5
6,2019-11-25,27-179,IND,HOME,MEM,W (+12),1,30:55,.594,.594,0.0,13.8,7.1,16.1,1.6,0.0,5.9,23.7,122,116,14.2,0.7
7,2019-11-27,27-181,IND,HOME,UTA,W (+19),1,31:48,.567,.533,3.7,25.8,14.7,23.0,0.0,3.0,5.9,22.1,127,104,16.2,7.4
8,2019-11-29,27-183,IND,HOME,ATL,W (+1),1,40:26,.630,.600,0.0,9.1,4.4,9.6,0.0,0.0,5.9,18.5,121,105,13.6,0.5
9,2019-11-30,27-184,IND,AWAY,PHI,L (-3),1,33:48,.644,.611,0.0,17.8,9.0,20.3,1.4,2.6,25.6,21.0,106,118,11.9,1.8
10,2019-12-02,27-186,IND,AWAY,MEM,W (+13),1,32:28,.631,.591,0.0,23.5,12.6,12.6,3.0,0.0,14.4,18.7,113,100,13.5,2.9
11,2019-12-04,27-188,IND,AWAY,OKC,W (+7),1,31:14,.591,.591,3.8,8.5,6.1,4.7,1.7,2.6,0.0,16.5,130,111,10.2,4.2
12,2019-12-06,27-190,IND,AWAY,DET,L (-7),1,33:45,.551,.500,3.4,13.5,8.5,17.6,2.9,0.0,8.4,16.4,113,111,11.5,1.3
13,2019-12-07,27-191,IND,AWAY,NYK,W (+1),1,34:20,.421,.400,0.0,10.8,5.9,8.2,1.4,0.0,6.1,21.5,82,108,6.3,-6.6
14,2019-12-09,27-193,IND,HOME,LAC,L (-11),1,23:38,.423,.458,6.9,7.7,7.3,0.0,1.9,0.0,12.3,26.9,79,107,4.2,-3.9
15,2019-12-11,27-195,IND,HOME,BOS,W (+5),1,22:45,.338,.250,0.0,0.0,0.0,11.5,0.0,4.1,10.1,18.8,72,121,1.5,-11.0
16,2019-12-13,27-197,IND,AWAY,ATL,W (+10),1,26:56,.619,.563,0.0,13.7,7.4,18.3,0.0,0.0,10.1,15.6,120,99,9.2,2.3
17,2019-12-15,27-199,IND,HOME,CHO,W (+22),1,24:41,.455,.389,4.1,16.2,10.9,5.7,6.1,6.6,16.8,21.8,82,76,8.8,3.8
18,2019-12-17,27-201,IND,HOME,LAL,W (+3),1,14:59,.400,.400,0.0,7.3,3.8,0.0,10.4,0.0,37.5,24.2,49,95,0.4,-10.6
19,2019-12-23,27-207,IND,HOME,TOR,W (+5),1,35:18,.607,.556,2.9,6.8,4.7,15.4,5.8,0.0,16.8,15.4,116,106,12.6,3.8
20,2019-12-27,27-211,IND,AWAY,MIA,L (-1),1,30:03,.649,.591,0.0,13.9,7.1,4.6,0.0,6.3,7.5,21.4,115,121,11.8,-1.5
21,2019-12-28,27-212,IND,AWAY,NOP,L (-22),1,27:29,.263,.167,0.0,23.3,11.0,11.8,1.7,3.4,7.0,21.6,62,114,2.5,-8.0
22,2019-12-31,27-215,IND,HOME,PHI,W (+18),1,23:05,.611,.500,5.5,8.8,7.3,34.9,2.2,0.0,0.0,21.4,142,103,14.3,11.9
23,2020-01-02,27-217,IND,HOME,DEN,L (-8),1,36:49,.933,.885,3.2,16.3,9.7,8.3,1.4,0.0,0.0,20.6,186,135,28.3,13.2
24,2020-01-04,27-219,IND,AWAY,ATL,L (-5),1,25:28,.475,.350,3.8,18.8,9.5,18.6,1.9,3.8,7.3,22.7,108,116,8.2,-2.5
