,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,20-074,MEM,AWAY,MIA,L (-19),1,25:09,.509,.500,0.0,18.2,8.4,28.8,1.7,2.8,30.4,29.9,75,106,5.3,-6.0
1,2019-10-25,20-076,MEM,HOME,CHI,L (-8),1,28:20,.465,.389,6.6,3.4,5.0,25.0,4.9,0.0,27.1,20.7,89,103,8.3,-1.0
2,2019-10-27,20-078,MEM,HOME,BRK,W (+1),1,32:21,.631,.614,3.3,9.5,6.4,51.4,1.4,2.9,20.2,38.7,108,115,21.8,3.0
3,2019-10-29,20-080,MEM,AWAY,LAL,L (-29),1,25:16,.559,.500,3.3,8.8,5.7,19.4,3.5,0.0,21.8,27.6,90,109,8.8,1.0
4,2019-11-02,20-084,MEM,HOME,PHO,L (-9),1,28:43,.676,.625,0.0,13.6,6.4,43.4,1.6,0.0,18.4,31.8,122,114,18.4,6.2
5,2019-11-04,20-086,MEM,HOME,HOU,L (-7),1,28:23,.648,.656,6.8,9.8,8.3,43.9,1.6,0.0,14.5,29.9,120,109,18.3,8.5
6,2019-11-06,20-088,MEM,HOME,MIN,W (+16),1,25:44,.556,.474,16.5,3.7,8.8,22.5,0.0,0.0,11.4,41.7,115,119,17.3,-5.1
7,2019-11-08,20-090,MEM,AWAY,ORL,L (-32),1,25:51,.279,.231,0.0,8.4,4.0,49.2,0.0,0.0,29.5,34.4,54,121,-1.6,-16.8
8,2019-11-11,20-093,MEM,AWAY,SAS,W (+4),1,24:42,.307,.208,8.8,8.6,8.7,14.5,0.0,0.0,0.0,26.6,87,115,3.5,-13.6
9,2019-11-13,20-095,MEM,AWAY,CHO,W (+2),1,30:03,.705,.700,0.0,3.9,2.0,54.9,1.6,0.0,19.7,28.0,133,119,21.1,6.1
10,2019-11-15,20-097,MEM,HOME,UTA,W (+1),1,30:24,.507,.455,3.5,10.3,6.9,43.9,0.0,0.0,7.5,37.3,109,110,18.0,6.0
11,2019-11-17,20-099,MEM,HOME,DEN,L (-17),1,21:04,.558,.500,0.0,10.8,5.4,45.7,0.0,0.0,25.6,32.2,99,132,7.9,-7.1
12,2019-11-19,20-101,MEM,HOME,GSW,L (-19),1,34:35,.442,.375,0.0,6.8,3.2,31.7,1.4,2.3,11.7,32.8,87,116,11.5,-2.7
