,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,31-135,MIN,AWAY,BRK,W (+1),1,34:34,.717,.625,0.0,9.2,4.6,16.0,1.3,0.0,23.5,14.7,119,111,10.5,-3.7
1,2019-10-25,31-137,MIN,AWAY,CHO,W (+22),1,22:19,.376,.250,0.0,9.0,4.6,26.3,4.1,0.0,15.8,11.4,102,94,5.9,-4.0
2,2019-10-27,31-139,MIN,HOME,MIA,W (+7),1,31:04,.818,.688,0.0,4.0,1.8,39.5,1.5,0.0,7.2,17.6,172,110,22.5,9.9
3,2019-10-30,31-142,MIN,AWAY,PHI,L (-22),1,24:35,.540,.538,0.0,4.4,2.2,48.1,0.0,0.0,17.8,28.8,99,119,7.1,-3.7
4,2019-11-02,31-145,MIN,AWAY,WAS,W (+22),1,27:37,.603,.583,0.0,13.4,8.1,55.7,4.5,0.0,24.3,23.3,119,92,17.9,6.8
5,2019-11-04,31-147,MIN,HOME,MIL,L (-28),1,18:05,.571,.429,0.0,11.8,5.1,27.4,2.4,4.9,18.6,22.4,105,118,6.7,-3.2
6,2019-11-15,31-158,MIN,HOME,WAS,L (-21),1,28:30,.416,.308,3.6,0.0,1.8,52.5,0.0,2.3,20.4,27.2,96,130,10.2,-5.7
7,2019-11-16,31-159,MIN,HOME,HOU,L (-20),1,33:00,.450,.375,3.5,3.1,3.3,51.9,0.0,3.2,36.0,18.0,99,136,7.9,-6.9
8,2019-11-18,31-161,MIN,AWAY,UTA,W (+10),1,35:35,.498,.417,0.0,9.3,5.2,47.0,0.0,0.0,8.7,27.7,112,103,16.9,-0.5
9,2019-11-20,31-163,MIN,HOME,UTA,L (-8),1,33:40,.434,.278,5.7,5.5,5.6,26.6,0.0,0.0,6.7,19.0,110,117,9.3,-2.5
10,2019-11-23,31-166,MIN,HOME,PHO,L (-2),1,33:18,.518,.400,2.7,12.0,7.7,32.8,1.4,2.4,0.0,8.7,143,99,12.6,2.1
11,2019-12-06,31-179,MIN,AWAY,OKC,L (-12),1,40:21,.853,.824,3.3,15.0,8.8,34.5,2.5,0.0,17.6,25.4,149,132,30.3,12.6
12,2019-12-18,31-191,MIN,HOME,NOP,L (-8),1,33:45,.268,.188,0.0,6.8,2.9,37.0,0.0,0.0,17.7,13.8,78,115,3.1,-9.6
13,2020-01-22,31-226,ATL,HOME,LAC,W (+7),1,24:50,.214,.214,3.2,8.1,5.4,45.4,0.0,0.0,12.5,12.2,92,101,2.8,-5.3
14,2020-02-03,31-238,ATL,HOME,BOS,L (-8),1,36:27,.571,.500,0.0,3.6,1.7,24.1,5.2,0.0,11.3,21.2,116,119,17.5,2.5
15,2020-02-07,31-242,ATL,AWAY,BOS,L (-5),1,25:35,.363,.250,0.0,16.7,8.1,22.7,1.9,0.0,0.0,11.6,107,116,5.8,-5.1
16,2020-03-06,31-270,ATL,AWAY,WAS,L (-6),1,28:25,.455,.444,0.0,8.7,4.6,21.5,1.7,0.0,9.2,17.0,104,124,6.8,-7.6
