,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-02-08,23-074,MIN,HOME,LAC,W (+27),1,28:51,.605,.605,7.6,29.6,18.7,17.2,1.6,0.0,5.0,29.0,124,108,17.9,3.8
1,2020-02-10,23-076,MIN,AWAY,TOR,L (-11),1,31:32,.545,.500,0.0,16.5,7.7,9.7,1.4,0.0,22.5,21.7,90,127,6.6,-6.4
2,2020-02-12,23-078,MIN,HOME,CHO,L (-7),1,37:42,.550,.540,4.7,11.1,7.6,15.3,0.0,0.0,7.3,28.9,109,121,17.2,0.5
3,2020-02-21,23-087,MIN,HOME,BOS,L (-10),1,35:45,.699,.667,0.0,10.5,5.3,5.9,0.0,2.0,9.4,25.5,119,129,17.4,0.2
4,2020-02-23,23-089,MIN,AWAY,DEN,L (-12),1,34:06,.576,.538,6.7,24.8,14.8,4.5,1.3,2.3,6.3,18.8,116,121,14.1,0.3
5,2020-02-24,23-090,MIN,AWAY,DAL,L (-16),1,35:22,.503,.525,0.0,11.1,5.7,4.4,0.0,0.0,4.6,24.6,97,130,8.7,-5.6
6,2020-02-26,23-092,MIN,AWAY,MIA,W (+3),1,32:49,.648,.607,0.0,24.4,11.5,19.9,2.7,0.0,5.8,21.3,130,117,18.7,4.1
7,2020-02-28,23-094,MIN,AWAY,ORL,L (-11),1,34:26,.472,.472,0.0,15.1,6.4,3.8,1.3,0.0,0.0,20.8,93,126,9.7,-6.5
8,2020-03-01,23-096,MIN,HOME,DAL,L (-20),1,29:45,.467,.467,0.0,9.9,4.3,5.8,1.5,0.0,6.3,21.8,90,107,6.7,-1.4
9,2020-03-03,23-098,MIN,AWAY,NOP,W (+5),1,35:36,1.009,1.000,0.0,9.0,4.7,13.8,0.0,0.0,6.7,16.5,185,127,24.8,8.6
10,2020-03-04,23-099,MIN,HOME,CHI,W (+7),1,33:59,.761,.714,3.4,6.7,5.1,9.8,0.0,0.0,16.0,24.3,128,117,16.7,2.0
11,2020-03-06,23-101,MIN,HOME,ORL,L (-14),1,28:13,.690,.690,0.0,21.3,8.4,7.7,0.0,0.0,4.5,32.6,124,134,20.8,4.7
12,2020-03-08,23-103,MIN,HOME,NOP,L (-13),1,32:16,.492,.500,5.6,24.2,13.9,0.0,1.3,0.0,4.5,26.6,95,107,12.9,0.8
13,2020-03-10,23-105,MIN,AWAY,HOU,L (-6),1,32:37,.227,.227,0.0,11.6,6.0,4.0,1.5,0.0,15.4,17.2,47,118,-1.7,-13.8
