,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-02-21,20-179,MIN,HOME,BOS,L (-10),1,32:34,.567,.533,11.8,14.5,13.1,5.7,4.3,0.0,0.0,22.0,125,119,16.9,0.8
1,2020-02-23,20-181,MIN,AWAY,DEN,L (-12),1,21:51,.488,.458,5.2,25.8,14.5,7.6,2.1,0.0,13.1,28.6,91,120,5.8,-8.6
2,2020-02-24,20-182,MIN,AWAY,DAL,L (-16),1,26:45,.287,.250,0.0,18.3,9.3,9.3,0.0,9.4,0.0,15.5,71,123,4.0,-5.7
3,2020-02-26,20-184,MIN,AWAY,MIA,W (+3),1,18:47,.541,.571,0.0,21.3,10.1,0.0,2.3,4.9,0.0,18.0,103,115,5.5,-6.8
4,2020-02-28,20-186,MIN,AWAY,ORL,L (-11),1,23:10,.543,.583,0.0,5.6,2.4,10.4,0.0,7.1,0.0,11.1,115,126,5.1,-3.8
5,2020-03-01,20-188,MIN,HOME,DAL,L (-20),1,27:14,.324,.308,13.8,25.2,18.7,12.2,0.0,0.0,0.0,20.6,89,108,7.7,-4.1
6,2020-03-03,20-190,MIN,AWAY,NOP,W (+5),1,27:23,.505,.458,12.8,42.8,28.5,11.6,4.8,5.7,7.2,20.0,119,105,15.9,3.4
7,2020-03-04,20-191,MIN,HOME,CHI,W (+7),1,24:58,.633,.650,23.4,27.5,25.5,19.0,0.0,6.0,0.0,22.3,150,107,17.8,11.0
8,2020-03-06,20-193,MIN,HOME,ORL,L (-14),1,28:04,.481,.393,3.5,10.7,6.3,13.7,1.7,2.7,10.7,27.8,98,128,9.3,-6.1
9,2020-03-08,20-195,MIN,HOME,NOP,L (-13),1,25:11,.336,.286,3.6,17.7,9.9,6.5,5.0,3.5,11.8,25.8,67,98,4.9,-6.3
10,2020-03-10,20-197,MIN,AWAY,HOU,L (-6),1,23:26,.619,.625,0.0,21.6,11.1,20.7,2.0,0.0,25.3,21.9,100,115,6.7,-2.2
