,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,19-131,NYK,AWAY,SAS,L (-9),1,37:07,.711,.731,0.0,14.7,7.2,8.0,2.4,0.0,16.9,19.8,113,112,15.4,0.0
1,2019-10-25,19-133,NYK,AWAY,BRK,L (-4),1,35:40,.462,.500,0.0,9.8,4.7,14.1,7.5,0.0,22.4,25.2,78,96,8.8,-0.7
2,2019-10-26,19-134,NYK,HOME,BOS,L (-23),1,36:34,.540,.524,8.0,10.1,9.1,20.5,0.0,0.0,14.2,30.7,105,121,13.9,2.4
3,2019-10-28,19-136,NYK,HOME,CHI,W (+7),1,40:02,.479,.467,13.1,23.5,17.8,20.2,0.0,2.4,9.2,21.5,115,104,16.8,3.1
4,2019-10-30,19-138,NYK,AWAY,ORL,L (-12),1,30:45,.379,.409,0.0,6.5,3.3,12.6,0.0,0.0,14.4,21.3,69,117,1.3,-10.5
5,2019-11-01,19-140,NYK,AWAY,BOS,L (-2),1,39:07,.382,.324,4.3,16.1,9.0,19.9,1.3,3.1,9.2,23.0,91,108,9.2,-4.1
6,2019-11-03,19-142,NYK,HOME,SAC,L (-21),1,40:44,.459,.425,2.4,9.1,5.4,15.7,1.2,2.6,7.7,28.7,92,119,13.0,-1.6
7,2019-11-06,19-145,NYK,AWAY,DET,L (-20),1,33:42,.445,.375,0.0,25.9,11.7,34.2,3.0,0.0,15.1,27.6,94,124,11.4,-4.6
8,2019-11-08,19-147,NYK,AWAY,DAL,W (+4),1,34:55,.129,.111,0.0,22.4,10.7,15.4,0.0,0.0,7.9,15.2,46,106,-1.9,-13.5
9,2019-11-10,19-149,NYK,HOME,CLE,L (-21),1,24:16,.379,.409,0.0,4.5,2.0,8.6,2.0,0.0,20.2,24.9,64,115,-0.1,-13.4
10,2019-11-12,19-151,NYK,AWAY,CHI,L (-18),1,31:39,.563,.563,9.1,13.4,10.8,57.2,3.0,0.0,9.7,26.2,120,117,19.9,9.3
11,2019-11-14,19-153,NYK,HOME,DAL,W (+3),1,30:12,.368,.300,3.4,19.1,11.5,8.5,1.7,0.0,26.9,20.8,69,106,2.3,-9.6
12,2019-11-16,19-155,NYK,HOME,CHO,L (-1),1,30:44,.604,.563,7.3,10.0,8.7,11.8,0.0,0.0,18.0,32.4,106,119,12.5,-1.1
13,2019-11-18,19-157,NYK,HOME,CLE,W (+18),1,24:13,.493,.423,4.0,5.2,4.5,5.8,4.1,9.9,6.2,26.7,113,104,10.8,2.0
14,2019-11-20,19-159,NYK,AWAY,PHI,L (-5),1,35:48,.333,.333,6.5,14.9,10.9,11.6,4.2,2.4,25.0,20.5,68,107,4.7,-7.0
15,2019-11-23,19-162,NYK,HOME,SAS,L (-7),1,28:56,.509,.545,3.5,18.4,9.9,22.1,1.7,3.2,7.3,20.6,106,112,11.1,-1.2
16,2019-11-27,19-166,NYK,AWAY,TOR,L (-28),1,30:37,.407,.353,0.0,16.7,8.1,24.9,4.9,0.0,16.9,31.8,81,122,7.8,-4.3
17,2019-11-29,19-168,NYK,HOME,PHI,L (-6),1,28:46,.670,.654,0.0,13.9,6.0,16.2,0.0,0.0,13.0,24.2,118,110,10.4,2.7
18,2019-12-01,19-170,NYK,HOME,BOS,L (-9),1,35:08,.427,.308,7.6,14.5,11.5,0.0,1.4,2.6,0.0,24.1,100,118,9.9,-5.4
19,2019-12-02,19-171,NYK,AWAY,MIL,L (-44),1,19:58,.101,.000,0.0,0.0,0.0,8.6,0.0,4.7,0.0,20.6,30,136,-2.9,-16.9
20,2019-12-05,19-174,NYK,HOME,DEN,L (-37),1,21:58,.450,.450,5.0,11.8,8.1,43.3,6.6,4.6,23.1,26.5,83,119,8.3,2.2
21,2019-12-07,19-176,NYK,HOME,IND,L (-1),1,36:22,.440,.409,2.5,25.1,12.6,11.7,1.3,2.3,12.8,17.8,91,106,8.8,-4.5
22,2019-12-10,19-179,NYK,AWAY,POR,L (-28),1,18:52,.232,.111,0.0,21.7,9.7,0.0,0.0,0.0,0.0,24.1,52,117,-0.1,-13.9
23,2019-12-11,19-180,NYK,AWAY,GSW,W (+2),1,46:05,.619,.594,0.0,19.2,11.1,10.2,1.1,1.7,14.5,19.4,112,111,15.4,-1.1
24,2019-12-13,19-182,NYK,AWAY,SAC,W (+2),1,31:22,.286,.286,3.3,10.9,6.9,8.1,0.0,0.0,0.0,19.9,77,118,2.8,-12.1
25,2019-12-15,19-184,NYK,AWAY,DEN,L (-6),1,35:46,.292,.292,3.0,5.4,4.2,3.4,0.0,0.0,14.3,17.2,64,128,-0.6,-14.0
26,2019-12-17,19-186,NYK,HOME,ATL,W (+23),1,28:37,.817,.846,4.2,16.4,11.1,4.6,1.6,0.0,0.0,23.2,169,115,24.2,8.9
27,2019-12-20,19-189,NYK,AWAY,MIA,L (-15),1,20:23,.092,.100,0.0,12.7,5.1,0.0,0.0,0.0,0.0,22.0,21,135,-4.8,-25.1
28,2019-12-21,19-190,NYK,HOME,MIL,L (-21),1,33:21,.479,.438,0.0,15.6,7.3,14.2,0.0,3.4,10.1,23.7,91,116,8.9,-3.1
29,2019-12-23,19-192,NYK,HOME,WAS,L (-6),1,35:32,.600,.600,6.3,11.0,8.8,16.3,1.3,0.0,21.1,22.6,103,122,12.3,-3.7
