,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-08,34-137,NYK,AWAY,DAL,W (+4),1,27:41,.773,.833,12.8,14.2,13.5,6.1,1.7,0.0,11.4,13.2,147,103,11.7,1.5
1,2019-11-10,34-139,NYK,HOME,CLE,L (-21),1,17:09,.333,.333,21.1,6.4,14.4,22.0,5.7,0.0,33.3,21.3,69,107,2.5,-9.4
2,2019-11-12,34-141,NYK,AWAY,CHI,L (-18),1,25:43,.814,.800,7.5,16.5,11.1,17.7,3.6,0.0,0.0,16.3,167,115,17.3,8.8
3,2019-11-14,34-143,NYK,HOME,DAL,W (+3),1,15:01,.500,.500,13.6,25.6,19.8,18.0,0.0,0.0,20.0,14.0,112,107,3.4,-2.6
4,2019-11-16,34-145,NYK,HOME,CHO,L (-1),1,21:20,.605,.571,20.9,14.4,17.5,0.0,0.0,0.0,0.0,15.6,143,117,8.6,-1.1
5,2019-11-18,34-147,NYK,HOME,CLE,W (+18),1,15:45,.451,.333,36.6,16.0,27.7,8.0,0.0,0.0,0.0,19.6,138,114,7.5,-4.3
6,2019-11-20,34-149,NYK,AWAY,PHI,L (-5),1,13:40,.917,.917,0.0,31.2,16.3,15.7,0.0,0.0,14.3,23.5,149,114,8.9,9.9
7,2019-11-23,34-152,NYK,HOME,SAS,L (-7),1,10:28,,,19.1,12.7,16.4,11.5,4.7,0.0,100.0,4.1,106,108,1.6,-7.4
8,2019-11-24,34-153,NYK,HOME,BRK,L (-2),1,20:13,.735,.800,25.7,23.2,24.4,8.6,2.6,0.0,0.0,12.5,168,109,10.2,5.0
9,2019-11-27,34-156,NYK,AWAY,TOR,L (-28),1,14:52,.200,.200,12.9,13.7,13.3,10.8,0.0,0.0,0.0,13.8,76,135,1.2,-11.4
10,2019-11-29,34-158,NYK,HOME,PHI,L (-6),1,17:20,.400,.400,5.9,7.7,6.7,0.0,2.9,6.0,16.7,15.6,75,102,1.8,-4.7
11,2019-12-01,34-160,NYK,HOME,BOS,L (-9),1,19:38,.333,.333,13.6,5.2,8.8,0.0,10.2,0.0,0.0,13.8,90,103,5.9,0.8
12,2019-12-02,34-161,NYK,AWAY,MIL,L (-44),1,20:39,.394,.438,11.4,42.8,23.5,11.1,0.0,9.1,18.4,21.9,77,124,5.3,-4.4
13,2019-12-05,34-164,NYK,HOME,DEN,L (-37),1,18:04,.667,.667,6.0,7.2,6.6,18.5,0.0,5.5,0.0,7.4,150,135,5.4,-1.8
