,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,34-170,OKC,AWAY,UTA,L (-5),1,30:07,.656,.600,3.5,21.5,13.1,22.9,1.6,0.0,5.6,25.8,130,99,17.6,11.9
1,2019-10-25,34-172,OKC,HOME,WAS,L (-12),1,30:02,.291,.333,0.0,6.4,3.3,22.7,0.0,0.0,32.6,22.1,49,101,-2.3,-14.0
2,2019-10-27,34-174,OKC,HOME,GSW,W (+28),1,19:04,.740,.600,0.0,9.3,5.7,12.9,2.5,0.0,0.0,15.4,167,92,9.9,6.7
3,2019-10-28,34-175,OKC,AWAY,HOU,L (-4),1,33:55,.504,.536,0.0,12.6,6.2,17.4,2.8,0.0,28.7,25.1,80,112,5.2,-6.7
4,2019-10-30,34-177,OKC,HOME,POR,L (-3),1,31:26,.708,.550,0.0,15.0,7.3,30.1,3.0,0.0,21.2,24.3,121,97,18.2,8.9
5,2019-11-02,34-180,OKC,HOME,NOP,W (+11),1,29:17,.759,.722,3.5,0.0,1.6,45.0,4.9,0.0,23.3,18.8,137,104,16.9,10.8
6,2019-11-05,34-183,OKC,HOME,ORL,W (+8),1,32:05,.567,.467,0.0,6.4,3.3,32.0,4.9,0.0,0.0,25.4,128,100,18.5,10.6
7,2019-11-07,34-185,OKC,AWAY,SAS,L (-9),1,30:51,.603,.571,0.0,8.0,4.0,25.0,1.6,0.0,6.0,25.2,120,126,15.3,1.1
8,2019-11-09,34-187,OKC,HOME,GSW,W (+6),1,30:34,.587,.455,0.0,19.2,10.3,40.2,4.8,0.0,18.0,25.0,122,104,17.3,2.9
9,2019-11-10,34-188,OKC,HOME,MIL,L (-2),1,31:46,.715,.682,0.0,21.6,9.1,21.0,1.4,0.0,20.2,19.8,116,115,14.3,0.5
10,2019-11-12,34-190,OKC,AWAY,IND,L (-26),1,24:58,.400,.286,0.0,18.3,8.5,61.1,5.9,0.0,25.5,21.0,83,105,8.5,1.1
11,2019-11-15,34-193,OKC,HOME,PHI,W (+8),1,38:28,.739,.577,3.8,22.4,14.0,22.0,0.0,0.0,0.0,23.5,163,122,25.8,7.0
12,2019-11-18,34-196,OKC,AWAY,LAC,L (-2),1,33:20,.741,.600,0.0,11.8,6.1,27.7,6.1,0.0,6.3,21.9,149,90,22.4,16.0
13,2019-11-19,34-197,OKC,AWAY,LAL,L (-5),1,30:11,.254,.143,0.0,17.7,9.4,43.7,6.6,0.0,11.3,13.3,97,104,9.0,1.5
14,2019-11-22,34-200,OKC,HOME,LAL,L (-3),1,31:46,.639,.545,3.8,10.8,7.4,25.5,1.5,0.0,6.6,20.2,138,127,16.8,2.7
15,2019-11-25,34-203,OKC,AWAY,GSW,W (+3),1,34:55,.630,.600,3.4,19.2,11.5,22.6,1.5,0.0,15.9,24.8,114,105,15.5,1.8
16,2019-11-27,34-205,OKC,AWAY,POR,L (-17),1,25:09,.581,.500,0.0,9.5,4.1,34.6,0.0,0.0,0.0,23.7,131,139,14.1,1.1
17,2019-11-29,34-207,OKC,HOME,NOP,W (+5),1,28:57,.389,.389,0.0,23.1,11.6,21.8,3.3,0.0,10.0,15.3,91,100,6.6,-4.9
18,2019-12-01,34-209,OKC,AWAY,NOP,W (+3),1,33:06,.810,.778,0.0,12.9,6.6,39.6,0.0,0.0,16.8,16.7,146,110,16.1,5.6
19,2019-12-04,34-212,OKC,HOME,IND,L (-7),1,33:25,.222,.222,0.0,10.8,5.7,37.7,0.0,0.0,0.0,13.0,98,125,5.6,-6.6
20,2019-12-06,34-214,OKC,HOME,MIN,W (+12),1,37:21,.650,.575,4.1,10.6,7.6,29.7,0.0,4.9,0.0,28.3,150,125,26.7,7.8
21,2019-12-08,34-216,OKC,AWAY,POR,W (+12),1,31:14,.521,.471,0.0,10.4,5.9,12.7,4.9,0.0,0.0,26.8,120,98,15.3,9.1
22,2019-12-09,34-217,OKC,AWAY,UTA,W (+14),1,30:24,.504,.467,0.0,12.4,6.7,38.2,4.7,0.0,5.9,25.8,106,87,15.6,5.7
23,2019-12-11,34-219,OKC,AWAY,SAC,L (-1),1,35:05,.444,.444,0.0,22.8,11.4,54.9,0.0,7.2,10.0,13.4,121,96,13.7,5.8
24,2019-12-14,34-222,OKC,AWAY,DEN,L (-8),1,33:46,.705,.625,0.0,14.2,7.0,46.0,5.8,0.0,22.0,18.3,128,104,19.4,11.5
