,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-01-20,20-276,OKC,AWAY,HOU,W (+5),1,32:13,.383,.350,7.3,0.0,3.3,8.4,0.0,0.0,16.1,16.1,83,111,1.0,-8.6
1,2020-01-22,20-278,OKC,AWAY,ORL,W (+6),1,25:53,.615,.500,0.0,0.0,0.0,8.8,3.7,0.0,17.0,10.8,112,115,4.8,-2.2
2,2020-01-24,20-280,OKC,HOME,ATL,W (+29),1,16:09,.833,.833,0.0,0.0,0.0,13.5,2.9,0.0,25.0,10.3,131,110,4.3,3.2
3,2020-01-25,20-281,OKC,AWAY,MIN,W (+9),1,30:08,.850,.800,0.0,6.8,3.8,4.7,3.2,0.0,0.0,9.2,167,105,10.6,4.4
4,2020-01-27,20-283,OKC,HOME,DAL,L (-10),1,25:37,.417,.417,0.0,3.5,1.8,0.0,0.0,0.0,0.0,11.0,79,119,0.7,-10.1
5,2020-01-29,20-285,OKC,AWAY,SAC,W (+20),1,26:31,.893,.875,4.8,3.9,4.3,0.0,1.9,3.5,13.4,24.5,138,106,17.3,11.1
6,2020-01-31,20-287,OKC,AWAY,PHO,W (+4),1,26:49,.450,.438,4.1,4.8,4.4,0.0,5.6,0.0,0.0,13.4,106,109,5.2,-2.4
7,2020-02-05,20-292,OKC,HOME,CLE,W (+6),1,16:49,.286,.286,7.0,6.5,6.7,0.0,2.8,0.0,22.2,24.2,52,104,-0.1,-14.2
8,2020-02-07,20-294,OKC,HOME,DET,W (+7),1,25:12,.250,.250,17.9,0.0,7.2,0.0,0.0,0.0,0.0,7.6,101,123,0.5,-9.0
9,2020-02-09,20-296,OKC,HOME,BOS,L (-1),1,11:43,.375,.375,0.0,8.9,4.2,0.0,0.0,0.0,0.0,15.1,82,125,-0.7,-11.7
10,2020-02-11,20-298,OKC,HOME,SAS,L (-8),1,21:00,.400,.400,5.1,6.3,5.6,0.0,0.0,0.0,0.0,10.7,91,123,1.9,-6.8
11,2020-02-13,20-300,OKC,AWAY,NOP,W (+5),1,23:26,.595,.500,4.8,9.5,7.1,0.0,2.0,0.0,0.0,11.1,127,117,6.2,-2.1
12,2020-02-21,20-308,OKC,HOME,DEN,W (+12),1,22:09,.557,.500,4.8,0.0,2.6,13.8,6.8,0.0,0.0,19.3,134,101,10.6,9.2
13,2020-02-23,20-310,OKC,HOME,SAS,W (+28),1,24:04,1.090,1.167,0.0,6.4,4.1,10.5,5.8,0.0,12.7,14.3,179,96,15.6,15.3
14,2020-02-25,20-312,OKC,AWAY,CHI,W (+2),1,24:21,.000,.000,0.0,9.2,5.2,4.7,0.0,0.0,0.0,3.9,39,134,-0.9,-11.1
15,2020-02-27,20-314,OKC,HOME,SAC,W (+4),1,23:48,.551,.500,0.0,0.0,0.0,0.0,2.1,0.0,0.0,10.4,117,119,3.5,-2.4
16,2020-02-28,20-315,OKC,AWAY,MIL,L (-47),1,24:41,.429,.429,3.4,8.6,5.7,0.0,0.0,0.0,0.0,12.0,89,131,2.8,-8.2
17,2020-03-03,20-319,OKC,HOME,LAC,L (-15),1,25:10,.486,.200,0.0,23.3,11.4,11.9,0.0,0.0,0.0,13.0,117,119,5.6,-2.6
18,2020-03-04,20-320,OKC,AWAY,DET,W (+7),1,24:43,.510,.500,6.7,19.4,14.1,0.0,0.0,0.0,0.0,11.8,109,119,3.6,-8.8
19,2020-03-06,20-322,OKC,AWAY,NYK,W (+23),1,21:22,.375,.375,5.0,5.5,5.2,5.6,0.0,0.0,0.0,16.2,93,115,2.1,-11.3
20,2020-03-08,20-324,OKC,AWAY,BOS,W (+1),1,31:01,.500,.500,0.0,13.5,7.3,5.1,1.5,2.8,20.0,14.1,80,105,3.6,-2.3
21,2020-08-01,21-104,OKC,HOME,UTA,W (+16),1,30:27,.313,.313,9.3,3.3,5.8,4.2,3.3,0.0,11.1,13.1,83,102,2.4,-4.2
22,2020-08-03,21-106,OKC,HOME,DEN,L (-8),1,36:03,.339,.269,3.3,3.4,3.3,4.5,2.8,2.4,11.9,21.3,70,113,2.5,-7.3
23,2020-08-05,21-108,OKC,AWAY,LAL,W (+19),1,31:46,.513,.364,0.0,10.4,6.2,0.0,1.5,0.0,6.8,20.5,98,89,8.3,-1.0
24,2020-08-07,21-110,OKC,AWAY,MEM,L (-29),1,30:07,.810,.889,5.5,4.4,5.1,13.0,1.6,0.0,9.2,15.3,142,128,12.8,4.9
25,2020-08-09,21-112,OKC,HOME,WAS,W (+18),1,26:26,.409,.409,9.3,30.3,20.9,5.1,0.0,3.2,8.3,20.6,92,101,6.3,-7.9
26,2020-08-10,21-113,OKC,AWAY,PHO,L (-27),1,20:35,.429,.313,4.8,15.9,10.0,7.7,4.4,0.0,9.7,20.4,89,114,5.3,-4.7
27,2020-08-12,21-115,OKC,HOME,MIA,W (+1),1,7:33,.532,.000,13.2,0.0,7.1,0.0,0.0,0.0,0.0,10.2,146,123,1.6,-5.8
