,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,28-364,ORL,HOME,CLE,W (+9),1,34:13,.577,.531,2.8,25.8,14.0,16.3,1.4,0.0,5.2,25.1,113,87,18.1,6.8
1,2019-10-26,29-002,ORL,AWAY,ATL,L (-4),1,31:11,.402,.368,10.3,24.3,15.7,6.4,1.6,2.9,9.1,28.0,88,103,9.3,-3.5
2,2019-10-28,29-004,ORL,AWAY,TOR,L (-9),1,25:00,.180,.115,10.7,38.4,23.3,12.0,0.0,0.0,0.0,23.6,59,101,2.1,-9.1
3,2019-10-30,29-006,ORL,HOME,NYK,W (+12),1,33:51,.560,.529,11.8,26.6,19.2,22.1,1.6,2.8,5.1,27.9,125,90,20.1,10.4
4,2019-11-01,29-008,ORL,HOME,MIL,L (-32),1,25:05,.543,.500,3.4,28.0,13.7,17.0,3.8,4.2,13.4,24.9,98,112,11.8,3.9
5,2019-11-02,29-009,ORL,HOME,DEN,L (-4),1,33:47,.693,.656,6.5,16.1,11.3,12.5,0.0,3.2,10.4,25.9,126,101,18.2,8.0
6,2019-11-05,29-012,ORL,AWAY,OKC,L (-8),1,33:39,.315,.267,9.1,29.2,18.8,10.8,0.0,5.4,5.9,22.0,83,108,7.3,-3.3
7,2019-11-06,29-013,ORL,AWAY,DAL,L (-1),1,33:22,.552,.500,3.5,31.3,18.2,34.8,1.5,2.7,10.4,25.0,116,106,18.4,7.5
8,2019-11-08,29-015,ORL,HOME,MEM,W (+32),1,31:51,.632,.594,10.3,40.0,25.9,29.7,3.0,2.6,5.2,25.4,138,80,26.9,17.2
9,2019-11-10,29-017,ORL,HOME,IND,L (-7),1,34:45,.529,.529,10.4,48.3,29.4,13.8,1.5,3.9,10.5,25.8,105,110,16.5,1.2
10,2019-11-13,29-020,ORL,HOME,PHI,W (+15),1,33:42,.662,.667,5.9,30.3,18.0,12.8,0.0,0.0,5.0,24.8,124,95,20.0,8.1
11,2019-11-15,29-022,ORL,HOME,SAS,W (+2),1,36:46,.296,.281,11.1,28.0,19.1,17.0,0.0,6.2,10.6,22.0,82,111,7.6,-6.5
12,2019-11-17,29-024,ORL,HOME,WAS,W (+4),1,32:52,.926,.893,25.6,29.2,27.6,32.5,0.0,2.6,15.6,24.9,169,119,33.2,18.4
13,2019-11-20,29-027,ORL,AWAY,TOR,L (-16),1,10:50,.214,.214,25.1,24.0,24.6,72.5,0.0,7.4,0.0,27.1,97,119,5.4,12.5
14,2019-12-15,29-052,ORL,AWAY,NOP,W (+11),1,29:26,.630,.600,4.4,31.1,18.6,9.9,1.7,0.0,11.2,26.6,115,117,15.4,-0.2
15,2019-12-17,29-054,ORL,AWAY,UTA,L (-7),1,33:19,.378,.333,2.8,30.7,16.0,15.9,0.0,0.0,0.0,22.3,88,111,8.8,-2.2
16,2019-12-18,29-055,ORL,AWAY,DEN,L (-9),1,32:48,.536,.469,6.4,17.8,11.8,27.3,0.0,2.6,0.0,25.2,123,120,17.5,6.1
17,2019-12-20,29-057,ORL,AWAY,POR,L (-15),1,33:07,.498,.450,9.5,28.3,17.1,5.6,8.5,6.0,0.0,26.2,115,96,24.3,12.4
18,2019-12-23,29-060,ORL,HOME,CHI,W (+8),1,31:02,.547,.588,7.4,15.2,11.6,12.3,0.0,6.1,5.0,30.0,106,103,15.4,2.3
19,2019-12-27,29-064,ORL,HOME,PHI,W (+1),1,32:11,.500,.500,9.3,29.8,19.2,39.3,0.0,0.0,0.0,21.1,121,97,16.1,10.4
20,2019-12-28,29-065,ORL,AWAY,MIL,L (-11),1,31:42,.622,.594,0.0,28.2,13.2,24.8,4.5,6.4,5.6,25.5,118,102,20.8,14.0
21,2019-12-30,29-067,ORL,HOME,ATL,L (-8),1,35:21,.679,.684,2.6,17.0,8.9,6.6,2.8,0.0,0.0,24.9,133,104,21.4,9.4
22,2020-01-01,29-069,ORL,AWAY,WAS,W (+21),1,30:32,.479,.475,6.6,31.4,19.2,9.7,1.5,0.0,4.6,29.7,102,98,13.8,-1.3
23,2020-01-03,29-071,ORL,HOME,MIA,W (+20),1,32:55,.533,.471,9.5,24.8,17.2,44.8,0.0,3.4,9.6,29.2,114,91,18.6,8.8
24,2020-01-04,29-072,ORL,HOME,UTA,L (-13),1,32:38,.541,.553,16.0,23.1,19.7,11.9,0.0,5.6,4.7,31.3,114,117,18.4,5.9
25,2020-01-06,29-074,ORL,HOME,BRK,W (+12),1,30:43,.400,.292,17.4,48.7,35.4,20.6,0.0,0.0,12.7,21.9,99,78,12.2,1.3
26,2020-01-08,29-076,ORL,HOME,WAS,W (+34),1,27:48,.666,.650,8.0,25.2,17.1,15.5,3.3,2.8,4.4,33.3,135,83,25.2,12.7
27,2020-01-10,29-078,ORL,AWAY,PHO,L (-4),1,33:02,.420,.429,14.8,26.4,20.3,20.4,3.1,0.0,12.3,31.3,91,100,11.9,1.1
28,2020-01-13,29-081,ORL,AWAY,SAC,W (+2),1,36:54,.507,.435,10.0,37.7,21.7,9.2,0.0,7.0,10.5,32.9,105,109,19.3,1.5
29,2020-01-15,29-083,ORL,AWAY,LAL,W (+1),1,32:29,.503,.472,0.0,12.3,6.2,9.0,1.4,0.0,5.0,24.5,106,116,10.2,-2.9
30,2020-01-16,29-084,ORL,AWAY,LAC,L (-27),1,29:30,.768,.731,5.9,24.8,14.5,28.3,1.6,0.0,6.5,23.1,145,118,20.8,12.7
31,2020-01-18,29-086,ORL,AWAY,GSW,L (-14),1,33:16,.342,.342,12.5,29.5,20.8,14.3,1.5,0.0,9.5,28.4,80,110,8.7,-6.1
32,2020-01-20,29-088,ORL,AWAY,CHO,W (+23),1,31:03,.571,.571,13.7,22.6,18.0,22.9,1.7,0.0,8.7,33.9,122,93,19.3,7.6
33,2020-01-22,29-090,ORL,HOME,OKC,L (-6),1,35:00,.587,.575,8.8,39.2,20.1,22.6,4.1,2.4,8.9,27.2,121,113,21.7,8.8
34,2020-01-24,29-092,ORL,HOME,BOS,L (-11),1,34:30,.440,.389,2.9,36.4,18.6,20.1,1.5,0.0,13.4,27.6,92,108,10.4,-0.1
35,2020-01-26,29-094,ORL,HOME,LAC,L (-15),1,26:29,.424,.357,6.4,18.1,11.2,36.3,0.0,0.0,16.4,28.9,87,123,5.9,-7.0
36,2020-01-27,29-095,ORL,AWAY,MIA,L (-21),1,32:49,.421,.400,9.0,39.9,21.4,22.8,1.6,2.9,0.0,22.1,105,123,13.0,1.8
37,2020-02-01,29-100,ORL,HOME,MIA,L (-13),1,34:10,.656,.656,3.1,26.8,14.5,29.7,0.0,6.4,5.9,24.0,125,110,18.9,10.5
38,2020-02-03,29-102,ORL,AWAY,CHO,W (+12),1,36:27,.553,.553,10.1,12.0,11.1,22.1,0.0,0.0,4.8,28.5,121,118,17.7,-1.7
39,2020-02-05,29-104,ORL,AWAY,BOS,L (-16),1,32:58,.436,.458,9.9,28.3,18.2,11.8,0.0,2.3,22.5,24.6,79,123,5.5,-11.0
40,2020-02-06,29-105,ORL,AWAY,NYK,L (-2),1,33:36,.822,.808,7.9,20.4,14.7,20.3,1.4,6.0,20.8,25.3,127,102,22.3,10.8
41,2020-02-08,29-107,ORL,HOME,MIL,L (-16),1,34:56,.503,.500,6.6,32.9,17.8,35.4,0.0,5.1,8.7,27.8,101,106,19.2,6.1
42,2020-02-10,29-109,ORL,HOME,ATL,W (+9),1,33:13,.777,.800,7.0,28.9,17.1,36.6,0.0,2.8,0.0,19.5,177,129,27.2,14.9
43,2020-02-12,29-111,ORL,HOME,DET,W (+4),1,40:04,.452,.452,2.8,28.8,15.6,28.9,3.7,2.8,8.7,26.2,96,100,17.4,1.3
44,2020-02-21,29-120,ORL,HOME,DAL,L (-16),1,37:00,.484,.463,8.9,25.9,15.9,5.1,5.2,2.8,0.0,30.3,110,112,23.1,7.5
45,2020-02-24,29-123,ORL,AWAY,BRK,W (+2),1,33:52,.518,.500,0.0,30.2,15.7,20.8,0.0,2.4,0.0,20.6,116,114,13.9,-0.1
46,2020-02-26,29-125,ORL,AWAY,ATL,W (+10),1,31:00,.521,.533,3.4,35.5,19.8,12.7,0.0,2.7,0.0,21.2,119,116,14.5,-1.8
47,2020-02-28,29-127,ORL,HOME,MIN,W (+11),1,34:27,.683,.667,0.0,27.9,16.0,19.2,0.0,2.7,4.8,23.6,138,113,23.8,4.7
48,2020-02-29,29-128,ORL,AWAY,SAS,L (-1),1,35:46,.474,.438,3.6,30.7,16.8,4.2,0.0,0.0,22.9,26.2,78,118,6.0,-13.3
49,2020-03-02,29-130,ORL,HOME,POR,L (-23),1,32:13,.582,.563,5.5,39.4,18.6,15.6,1.5,0.0,3.7,35.7,113,129,22.7,6.6
50,2020-03-04,29-132,ORL,AWAY,MIA,L (-3),1,39:53,.635,.594,0.0,53.5,27.1,25.4,0.0,3.4,5.5,21.6,132,123,23.8,8.1
51,2020-03-06,29-134,ORL,AWAY,MIN,W (+14),1,35:31,.627,.595,12.7,27.6,21.7,15.5,1.3,0.0,11.8,31.8,120,114,22.8,-0.1
52,2020-03-08,29-136,ORL,AWAY,HOU,W (+20),1,32:43,.515,.417,11.0,40.6,27.0,12.0,1.4,2.6,0.0,19.2,133,97,18.2,4.7
53,2020-03-10,29-138,ORL,AWAY,MEM,W (+5),1,35:19,.633,.633,3.1,37.8,18.7,30.9,0.0,0.0,6.3,18.6,135,114,18.1,4.5
54,2020-07-31,29-281,ORL,AWAY,BRK,W (+10),1,27:00,.775,.708,0.0,27.1,15.4,28.0,0.0,0.0,12.3,25.9,141,116,19.6,8.2
55,2020-08-02,29-283,ORL,HOME,SAC,W (+16),1,23:31,.730,.714,9.7,47.5,28.8,16.6,4.0,0.0,0.0,27.9,155,104,23.8,14.7
56,2020-08-04,29-285,ORL,AWAY,IND,L (-11),1,32:52,.676,.625,10.7,30.1,19.5,11.3,1.5,0.0,14.5,27.5,125,123,18.8,4.9
57,2020-08-05,29-286,ORL,HOME,TOR,L (-10),1,33:21,.510,.450,2.9,30.3,14.9,14.8,2.8,0.0,7.8,16.5,105,105,11.2,1.1
58,2020-08-07,29-288,ORL,AWAY,PHI,L (-7),1,34:40,.556,.556,3.0,29.3,17.0,16.9,1.4,0.0,5.0,25.5,114,105,17.3,7.5
59,2020-08-09,29-290,ORL,AWAY,BOS,L (-3),1,37:36,.466,.463,5.3,23.9,14.6,5.5,0.0,0.0,6.7,33.3,92,113,13.1,-2.7
60,2020-08-11,29-292,ORL,HOME,BRK,L (-12),1,20:44,.400,.400,4.5,46.3,24.1,11.3,2.3,0.0,11.8,34.9,78,101,5.8,-4.7
61,2020-08-13,29-294,ORL,HOME,NOP,W (+6),1,25:55,1.045,1.045,0.0,30.9,15.2,18.8,1.8,0.0,0.0,18.7,207,123,24.2,18.1
