,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-19,35-174,POR,AWAY,NOP,L (-11),1,23:37,.357,.357,0.0,15.3,8.0,0.0,0.0,3.6,26.3,33.7,53,115,-3.3,-21.6
1,2019-11-21,35-176,POR,AWAY,MIL,L (-8),1,28:59,.537,.500,6.8,16.6,11.7,16.5,0.0,0.0,15.2,27.9,103,132,11.4,-6.1
2,2019-11-23,35-178,POR,AWAY,CLE,L (-6),1,34:39,.346,.333,2.8,3.4,3.1,4.3,2.8,0.0,0.0,21.1,77,112,4.6,-10.7
3,2019-11-25,35-180,POR,AWAY,CHI,W (+23),1,30:38,.612,.600,3.7,21.9,13.6,10.3,1.6,0.0,8.9,30.9,120,93,17.0,5.3
4,2019-11-27,35-182,POR,HOME,OKC,W (+17),1,28:32,.830,.818,0.0,12.9,7.3,9.9,0.0,0.0,20.8,21.4,128,120,12.5,0.0
5,2019-11-29,35-184,POR,HOME,CHI,W (+4),1,37:05,.603,.531,5.9,22.4,14.8,18.7,1.3,0.0,0.0,22.6,135,103,21.3,6.3
6,2019-12-03,35-188,POR,AWAY,LAC,L (-20),1,28:15,.402,.222,0.0,21.2,10.4,4.8,1.7,0.0,8.2,18.7,86,116,4.8,-6.7
7,2019-12-04,35-189,POR,HOME,SAC,W (+11),1,35:55,.592,.563,7.2,8.0,7.7,0.0,0.0,2.2,5.6,22.7,115,123,13.2,-6.9
8,2019-12-06,35-191,POR,HOME,LAL,L (-23),1,34:31,.466,.346,3.0,8.4,5.3,4.2,3.8,0.0,19.9,24.5,80,121,6.5,-7.3
9,2019-12-08,35-193,POR,HOME,OKC,L (-12),1,35:27,.250,.250,2.3,20.6,10.3,0.0,4.3,0.0,10.0,23.4,54,108,0.6,-11.2
10,2019-12-10,35-195,POR,HOME,NYK,W (+28),1,24:52,.512,.500,0.0,13.3,7.4,0.0,3.9,3.6,16.1,32.0,85,82,7.8,-1.7
11,2019-12-12,35-197,POR,AWAY,DEN,L (-15),1,36:42,.592,.563,0.0,27.4,14.2,4.3,2.9,5.0,10.6,25.0,105,116,16.4,3.4
12,2019-12-16,35-201,POR,AWAY,PHO,W (+1),1,34:48,.648,.625,6.6,19.2,13.0,4.8,2.7,7.4,5.3,22.9,129,101,20.0,8.4
13,2019-12-18,35-203,POR,HOME,GSW,W (+10),1,30:19,.475,.441,3.4,18.5,11.8,0.0,3.1,4.9,5.3,25.1,101,103,12.7,0.1
14,2019-12-20,35-205,POR,HOME,ORL,W (+15),1,9:24,.363,.250,37.4,25.1,30.0,0.0,0.0,19.6,12.7,35.8,94,85,4.5,0.3
15,2019-12-23,35-208,POR,HOME,NOP,L (-8),1,37:09,.613,.559,2.6,19.5,11.3,10.2,1.3,0.0,9.6,24.4,114,103,16.6,4.1
