,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Oct 23, 2019",2019,10,23,10:00p,True,DEN,L,False,100,108,0,1,L 1
1,"Fri, Oct 25, 2019",2019,10,25,10:00p,False,SAC,W,False,122,112,1,1,W 1
2,"Sun, Oct 27, 2019",2019,10,27,7:00p,False,DAL,W,False,121,119,2,1,W 2
3,"Mon, Oct 28, 2019",2019,10,28,8:30p,False,SAS,L,False,110,113,2,2,L 1
4,"Wed, Oct 30, 2019",2019,10,30,8:00p,False,OKC,W,False,102,99,3,2,W 1
5,"Sat, Nov 2, 2019",2019,11,2,10:00p,True,PHI,L,False,128,129,3,3,L 1
6,"Mon, Nov 4, 2019",2019,11,4,10:30p,False,GSW,L,False,118,127,3,4,L 2
7,"Thu, Nov 7, 2019",2019,11,7,10:30p,False,LAC,L,False,101,107,3,5,L 3
8,"Fri, Nov 8, 2019",2019,11,8,10:00p,True,BRK,L,False,115,119,3,6,L 4
9,"Sun, Nov 10, 2019",2019,11,10,9:00p,True,ATL,W,True,124,113,4,6,W 1
10,"Tue, Nov 12, 2019",2019,11,12,10:00p,False,SAC,L,False,99,107,4,7,L 1
11,"Wed, Nov 13, 2019",2019,11,13,10:00p,True,TOR,L,False,106,114,4,8,L 2
12,"Sat, Nov 16, 2019",2019,11,16,8:30p,False,SAS,W,False,121,116,5,8,W 1
13,"Mon, Nov 18, 2019",2019,11,18,8:00p,False,HOU,L,False,108,132,5,9,L 1
14,"Tue, Nov 19, 2019",2019,11,19,8:00p,False,NOP,L,False,104,115,5,10,L 2
15,"Thu, Nov 21, 2019",2019,11,21,8:00p,False,MIL,L,False,129,137,5,11,L 3
16,"Sat, Nov 23, 2019",2019,11,23,8:00p,False,CLE,L,False,104,110,5,12,L 4
17,"Mon, Nov 25, 2019",2019,11,25,8:00p,False,CHI,W,False,117,94,6,12,W 1
18,"Wed, Nov 27, 2019",2019,11,27,10:00p,True,OKC,W,False,136,119,7,12,W 2
19,"Fri, Nov 29, 2019",2019,11,29,10:00p,True,CHI,W,False,107,103,8,12,W 3
21,"Tue, Dec 3, 2019",2019,12,3,10:00p,False,LAC,L,False,97,117,8,13,L 1
22,"Wed, Dec 4, 2019",2019,12,4,10:00p,True,SAC,W,False,127,116,9,13,W 1
23,"Fri, Dec 6, 2019",2019,12,6,10:30p,True,LAL,L,False,113,136,9,14,L 1
24,"Sun, Dec 8, 2019",2019,12,8,9:00p,True,OKC,L,False,96,108,9,15,L 2
25,"Tue, Dec 10, 2019",2019,12,10,10:00p,True,NYK,W,False,115,87,10,15,W 1
26,"Thu, Dec 12, 2019",2019,12,12,10:30p,False,DEN,L,False,99,114,10,16,L 1
27,"Mon, Dec 16, 2019",2019,12,16,9:00p,False,PHO,W,False,111,110,11,16,W 1
28,"Wed, Dec 18, 2019",2019,12,18,10:00p,True,GSW,W,False,122,112,12,16,W 2
29,"Fri, Dec 20, 2019",2019,12,20,10:00p,True,ORL,W,False,118,103,13,16,W 3
