,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-24,26-130,ATL,AWAY,DET,W (+17),1,23:53,.340,.200,10.6,18.7,14.9,4.8,4.2,4.2,14.5,12.8,88,96,5.1,-4.8
1,2019-10-26,26-132,ATL,HOME,ORL,W (+4),1,19:39,.375,.375,0.0,16.3,10.0,6.0,0.0,3.6,33.3,13.5,59,101,-0.4,-9.4
2,2019-10-28,26-134,ATL,HOME,PHI,L (-2),1,18:10,.317,.286,11.7,5.4,8.4,25.8,2.5,0.0,0.0,17.5,94,102,4.1,-1.2
3,2019-10-29,26-135,ATL,AWAY,MIA,L (-15),1,18:00,.333,.333,11.9,14.4,13.0,18.0,0.0,25.4,25.0,18.8,72,108,4.4,-4.7
4,2019-10-31,26-137,ATL,HOME,MIA,L (-9),1,14:10,.500,.500,7.1,23.6,14.9,11.6,0.0,0.0,28.6,20.5,82,112,1.4,-9.2
5,2019-11-05,26-142,ATL,HOME,SAS,W (+8),1,14:27,.205,.000,8.5,33.2,22.4,0.0,0.0,5.7,29.1,9.9,51,94,1.5,-8.3
6,2019-11-06,26-143,ATL,HOME,CHI,L (-20),1,11:09,.615,.500,0.0,41.0,20.5,0.0,0.0,17.6,0.0,18.5,125,96,6.2,7.1
7,2019-11-08,26-145,ATL,HOME,SAC,L (-12),1,21:43,.410,.500,5.8,41.4,22.1,0.0,0.0,14.7,0.0,10.3,95,126,5.0,-6.5
8,2019-11-10,26-147,ATL,AWAY,POR,L (-11),1,15:16,.400,.400,6.2,6.6,6.4,0.0,0.0,10.2,0.0,13.3,91,111,2.1,-8.7
9,2020-08-09,27-054,SAC,HOME,HOU,L (-17),1,14:33,.667,.667,7.3,15.0,11.1,0.0,0.0,9.7,0.0,8.7,137,119,3.9,-3.8
10,2020-08-11,27-056,SAC,HOME,NOP,W (+6),1,12:38,1.000,1.000,0.0,42.2,19.2,10.7,0.0,0.0,0.0,9.9,199,106,5.0,7.4
11,2020-08-13,27-058,SAC,AWAY,LAL,W (+14),1,14:18,.521,.500,0.0,20.1,11.1,0.0,0.0,5.3,0.0,8.5,108,117,2.8,-9.0
