,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-12,28-084,SAC,HOME,POR,W (+8),1,37:58,.250,.250,2.9,9.0,5.9,10.3,1.3,5.4,25.0,9.1,65,101,1.3,-6.4
1,2019-11-15,28-087,SAC,AWAY,LAL,L (-2),1,23:13,.111,.111,5.0,19.2,12.3,30.5,0.0,0.0,10.0,20.1,62,112,-0.3,-12.9
2,2019-11-17,28-089,SAC,HOME,BOS,W (+1),1,26:30,.200,.200,0.0,0.0,0.0,15.0,0.0,3.5,16.7,10.2,62,114,0.3,-8.8
3,2019-11-19,28-091,SAC,HOME,PHO,W (+4),1,39:18,.510,.400,0.0,12.5,7.4,43.2,1.3,4.6,25.4,8.9,138,120,13.4,5.1
4,2019-11-22,28-094,SAC,AWAY,BRK,L (-19),1,22:59,.336,.286,0.0,10.7,5.2,30.0,4.2,0.0,11.8,16.0,82,112,4.4,-4.0
5,2019-11-24,28-096,SAC,AWAY,WAS,W (+7),1,35:45,.500,.500,0.0,6.0,3.2,20.8,2.7,0.0,0.0,12.6,118,110,9.9,-1.0
6,2019-11-25,28-097,SAC,AWAY,BOS,L (-1),1,34:41,.625,.625,4.0,14.2,9.4,24.3,1.5,0.0,20.0,6.9,144,115,8.7,0.0
7,2019-11-27,28-099,SAC,AWAY,PHI,L (-6),1,27:54,.200,.200,3.4,8.4,5.7,23.1,3.5,3.4,28.6,11.0,65,95,4.0,-2.1
8,2019-11-30,28-102,SAC,HOME,DEN,W (+3),1,40:36,.551,.500,0.0,8.5,4.0,11.4,2.6,0.0,26.9,8.1,92,99,5.5,-3.2
9,2019-12-02,28-104,SAC,HOME,CHI,L (-7),1,25:21,.250,.250,0.0,22.3,10.4,34.8,0.0,5.0,33.3,10.3,85,115,2.8,-4.7
10,2019-12-04,28-106,SAC,AWAY,POR,L (-11),1,32:37,.506,.450,0.0,11.9,5.1,27.0,0.0,0.0,8.4,15.2,118,135,9.6,-4.8
11,2019-12-06,28-108,SAC,AWAY,SAS,L (-1),1,38:12,.389,.389,0.0,2.8,1.3,3.9,1.3,0.0,18.2,12.3,71,108,1.1,-8.9
12,2019-12-08,28-110,SAC,AWAY,DAL,W (+4),1,28:34,.300,.300,0.0,0.0,0.0,4.0,5.7,0.0,16.7,10.3,61,115,2.2,-5.2
13,2019-12-09,28-111,SAC,AWAY,HOU,W (+1),1,37:58,.612,.591,2.6,6.5,4.3,22.5,2.6,3.7,0.0,13.6,145,123,16.1,3.8
14,2019-12-11,28-113,SAC,HOME,OKC,W (+1),1,24:18,.438,.438,0.0,9.4,4.7,11.9,0.0,4.3,0.0,14.7,100,101,4.9,1.5
15,2019-12-13,28-115,SAC,HOME,NYK,L (-2),1,28:40,.583,.583,0.0,17.8,9.4,9.9,0.0,0.0,25.0,13.5,95,113,4.1,-6.0
16,2019-12-15,28-117,SAC,AWAY,GSW,W (+21),1,31:25,.444,.357,0.0,7.5,4.9,21.9,1.6,0.0,20.2,15.6,99,89,5.6,-2.6
17,2019-12-17,28-119,SAC,AWAY,CHO,L (-8),1,20:47,.333,.333,5.1,5.9,5.5,32.4,0.0,4.5,40.0,10.8,89,128,3.1,-5.3
18,2019-12-20,28-122,SAC,AWAY,IND,L (-14),1,27:43,1.025,1.000,3.8,4.9,4.3,19.3,0.0,0.0,38.1,12.7,129,134,9.2,0.2
19,2019-12-28,28-130,SAC,HOME,PHO,L (-2),1,32:28,.500,.500,7.4,12.3,9.7,22.0,0.0,0.0,0.0,13.9,128,119,9.6,-0.8
20,2020-02-12,28-176,SAC,AWAY,DAL,L (-19),1,24:11,.750,.750,3.7,12.0,6.8,24.0,2.0,4.4,0.0,10.5,163,125,11.4,5.6
21,2020-02-27,28-191,SAC,AWAY,OKC,L (-4),1,35:27,.429,.429,3.5,3.1,3.3,40.3,4.3,0.0,12.5,9.7,130,116,11.8,5.9
22,2020-08-04,28-350,SAC,HOME,DAL,L (-4),1,42:12,.750,.750,2.4,6.7,4.7,25.6,0.0,0.0,0.0,6.3,172,112,12.4,4.3
23,2020-08-09,28-355,SAC,HOME,HOU,L (-17),1,27:59,.410,.250,3.8,11.7,7.7,8.7,3.2,0.0,45.0,13.3,62,117,1.8,-9.5
24,2020-08-11,28-357,SAC,HOME,NOP,W (+6),1,37:19,.344,.111,3.0,10.7,6.5,18.5,0.0,0.0,20.5,16.4,88,109,4.5,-8.7
25,2020-08-13,28-359,SAC,AWAY,LAL,W (+14),1,19:53,1.083,1.083,0.0,9.7,5.3,11.5,2.3,0.0,25.0,16.9,141,118,11.4,4.6
