,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-01,25-122,SAS,AWAY,GSW,W (+17),1,25:59,.437,.409,7.7,4.3,6.1,5.0,0.0,0.0,8.0,19.6,102,119,3.7,-10.4
1,2019-11-16,25-137,SAS,HOME,POR,L (-5),1,33:54,.579,.500,3.1,6.3,4.7,19.3,2.7,5.2,18.8,13.3,111,114,10.8,-0.3
2,2019-11-23,25-144,SAS,AWAY,NYK,W (+7),1,25:17,.463,.333,5.3,11.9,9.0,26.2,1.9,0.0,41.0,25.4,77,107,3.1,-10.6
3,2019-11-25,25-146,SAS,HOME,LAL,L (-10),1,25:10,.854,.917,0.0,0.0,0.0,24.2,0.0,0.0,0.0,11.4,176,128,10.8,7.0
4,2019-11-27,25-148,SAS,HOME,MIN,L (-12),1,24:10,.418,.278,0.0,4.4,2.0,32.2,0.0,4.4,0.0,19.3,104,117,7.5,0.0
5,2019-11-29,25-150,SAS,HOME,LAC,W (+10),1,28:24,.850,.850,0.0,10.3,5.3,17.0,0.0,0.0,16.7,18.8,127,106,13.0,6.9
6,2019-12-01,25-152,SAS,AWAY,DET,L (-34),1,22:39,.583,.583,0.0,6.1,2.6,21.4,2.2,3.7,14.3,14.0,107,136,6.3,-3.2
7,2019-12-03,25-154,SAS,HOME,HOU,W (+2),1,25:41,.636,.611,4.2,0.0,1.9,17.5,0.0,0.0,9.6,16.8,124,121,8.7,-0.8
8,2019-12-06,25-157,SAS,HOME,SAC,W (+1),1,21:17,.000,.000,0.0,4.5,2.4,6.1,0.0,3.7,22.2,18.8,8,108,-5.2,-21.1
9,2019-12-12,25-163,SAS,HOME,CLE,L (-8),1,31:40,.824,.778,0.0,14.9,7.8,11.1,1.6,0.0,0.0,15.8,166,112,15.9,4.2
10,2020-01-04,25-186,SAS,AWAY,MIL,L (-9),1,23:35,.571,.500,0.0,17.7,8.2,12.8,2.0,0.0,11.3,15.7,110,123,7.5,-1.0
11,2020-03-06,25-248,SAS,AWAY,BRK,L (-19),1,27:18,.669,.583,0.0,7.8,3.9,10.8,1.7,8.8,12.3,25.9,115,124,15.3,4.1
12,2020-03-10,25-252,SAS,HOME,DAL,W (+10),1,35:26,.549,.500,3.3,19.8,11.6,31.1,2.7,11.3,19.0,20.0,114,102,17.3,5.5
13,2020-07-31,26-029,SAS,HOME,SAC,W (+9),1,33:36,.737,.667,6.6,20.9,13.6,19.5,1.3,2.5,22.1,27.7,121,110,20.9,5.7
14,2020-08-02,26-031,SAS,AWAY,MEM,W (+2),1,33:35,.515,.458,3.0,17.9,9.7,33.0,0.0,0.0,0.0,19.0,129,106,13.9,5.1
15,2020-08-03,26-032,SAS,AWAY,PHI,L (-2),1,28:58,.758,.727,4.1,4.2,4.2,13.8,1.6,0.0,18.5,22.4,134,132,14.2,3.4
16,2020-08-05,26-034,SAS,HOME,DEN,L (-6),1,33:07,.621,.533,3.5,7.4,5.4,27.2,3.0,2.6,5.1,25.3,136,134,20.8,7.0
17,2020-08-07,26-036,SAS,HOME,UTA,W (+8),1,33:02,.698,.667,0.0,17.8,9.1,17.4,1.4,2.7,5.5,23.3,134,107,20.4,7.6
18,2020-08-09,26-038,SAS,AWAY,NOP,W (+9),1,20:45,.673,.636,0.0,13.3,7.0,26.6,0.0,3.5,7.8,24.8,136,113,13.0,8.5
19,2020-08-11,26-040,SAS,HOME,HOU,W (+18),1,25:40,.354,.278,0.0,6.9,3.9,26.6,0.0,0.0,23.3,19.5,80,101,2.5,-8.2
