,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-23,34-096,SAS,HOME,NYK,W (+9),1,35:18,.640,.567,12.4,11.8,12.1,4.4,0.0,4.2,18.9,24.1,113,103,16.4,0.2
1,2019-10-26,34-099,SAS,HOME,WAS,W (+2),1,33:06,.672,.647,8.1,21.8,13.9,12.3,1.4,2.4,13.0,26.9,129,118,21.8,5.1
2,2019-10-28,34-101,SAS,HOME,POR,W (+3),1,33:44,.400,.353,6.1,13.7,10.1,13.1,1.3,10.6,5.1,24.0,89,95,12.4,0.1
3,2019-10-31,34-104,SAS,AWAY,LAC,L (-6),1,35:38,.282,.250,3.0,10.6,7.0,12.1,0.0,4.1,25.3,14.4,60,104,0.6,-6.2
4,2019-11-01,34-105,SAS,AWAY,GSW,W (+17),1,26:04,.624,.533,19.2,12.8,16.2,0.0,0.0,3.3,5.4,29.3,138,114,18.4,2.7
5,2019-11-03,34-107,SAS,HOME,LAL,L (-7),1,30:16,.372,.222,3.4,13.8,8.5,10.6,1.5,2.5,15.7,17.9,76,99,4.3,-5.7
6,2019-11-05,34-109,SAS,AWAY,ATL,L (-8),1,33:51,.470,.429,2.8,14.5,8.0,19.2,0.0,9.5,11.8,20.6,97,105,11.7,1.0
7,2019-11-07,34-111,SAS,HOME,OKC,W (+9),1,34:14,.817,.826,10.8,10.8,10.8,23.0,2.9,2.4,11.2,33.7,144,109,34.8,17.6
8,2019-11-09,34-113,SAS,HOME,BOS,L (-20),1,26:22,.307,.250,3.2,12.7,7.3,4.9,0.0,3.2,29.1,9.8,61,131,-0.4,-12.9
9,2019-11-11,34-115,SAS,HOME,MEM,L (-4),1,32:50,.567,.533,0.0,13.3,6.6,14.5,2.9,0.0,5.6,23.5,111,111,14.8,1.7
10,2019-11-13,34-117,SAS,AWAY,MIN,L (-15),1,31:58,.648,.625,6.4,6.4,6.4,10.4,0.0,2.6,0.0,23.4,137,130,18.3,3.0
11,2019-11-15,34-119,SAS,AWAY,ORL,L (-2),1,31:02,.484,.462,0.0,19.7,10.4,8.3,0.0,13.3,0.0,19.9,106,113,11.0,1.2
12,2019-11-16,34-120,SAS,HOME,POR,L (-5),1,34:45,.689,.650,3.0,36.8,19.7,11.3,1.3,2.6,8.4,29.1,124,112,26.2,8.3
13,2019-11-18,34-122,SAS,AWAY,DAL,L (-7),1,34:48,.538,.500,16.9,10.3,13.9,8.0,0.0,3.2,6.3,19.5,128,126,14.0,-0.3
14,2019-11-20,34-124,SAS,AWAY,WAS,L (-6),1,32:15,.400,.400,10.1,29.8,18.8,18.6,0.0,7.2,6.3,20.2,105,128,12.3,-5.1
15,2019-11-22,34-126,SAS,AWAY,PHI,L (-11),1,35:44,.683,.667,3.3,16.0,9.7,8.3,0.0,2.1,7.4,17.5,127,118,13.9,0.7
16,2019-11-23,34-127,SAS,AWAY,NYK,W (+7),1,34:00,.636,.600,7.8,11.8,10.1,14.8,4.3,0.0,14.2,27.2,118,102,19.6,5.3
17,2019-11-25,34-129,SAS,HOME,LAL,L (-10),1,36:02,.609,.568,3.4,12.7,8.2,0.0,1.4,2.4,3.9,31.7,120,120,21.2,5.1
18,2019-11-27,34-131,SAS,HOME,MIN,L (-12),1,32:58,.566,.553,8.1,9.7,8.8,5.5,0.0,3.2,9.3,28.3,103,117,14.3,-0.8
19,2019-11-29,34-133,SAS,HOME,LAC,W (+10),1,31:26,.515,.385,3.2,21.8,12.7,33.0,1.5,10.4,0.0,23.3,126,91,20.2,12.8
20,2019-12-06,34-140,SAS,HOME,SAC,W (+1),1,34:53,.503,.472,9.3,27.6,19.0,5.3,0.0,2.2,5.0,25.3,107,99,13.9,-0.4
21,2019-12-12,34-146,SAS,HOME,CLE,L (-8),1,39:13,.461,.375,3.3,27.0,15.7,12.0,0.0,2.6,13.3,27.9,87,111,10.4,-6.8
22,2019-12-14,34-148,SAS,AWAY,PHO,W (+2),1,37:08,.446,.417,4.5,12.3,8.3,4.2,1.2,6.8,0.0,21.8,97,98,13.3,0.3
