,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-10-22,33-211,TOR,HOME,NOP,W (+8),1,44:59,.531,.367,2.2,8.3,5.4,19.0,2.1,0.0,16.2,21.5,109,110,14.8,0.5
1,2019-10-25,33-214,TOR,AWAY,BOS,L (-6),1,39:42,.786,.778,0.0,7.8,4.7,35.7,1.2,1.7,17.8,25.0,131,113,22.6,11.5
2,2019-10-26,33-215,TOR,AWAY,CHI,W (+24),1,34:25,.500,.500,0.0,16.0,9.4,34.4,1.3,2.2,15.4,16.2,110,83,11.5,3.3
3,2019-10-28,33-217,TOR,HOME,ORL,W (+9),1,38:11,.580,.472,2.8,9.3,6.3,31.2,0.0,0.0,8.2,26.9,117,98,19.1,6.4
4,2019-10-30,33-219,TOR,HOME,DET,W (+12),1,37:47,.658,.615,0.0,15.1,8.4,24.1,2.5,0.0,11.6,20.8,130,110,19.2,2.6
5,2019-11-02,33-222,TOR,AWAY,MIL,L (-10),1,38:02,.820,.750,0.0,11.2,5.4,37.6,0.0,2.5,21.5,32.7,126,120,27.1,12.7
6,2019-11-06,33-226,TOR,HOME,SAC,W (+4),1,39:54,.716,.700,0.0,5.1,3.0,21.6,2.4,0.0,26.4,26.1,106,121,15.1,-2.2
7,2019-11-08,33-228,TOR,AWAY,NOP,W (+18),1,16:12,.600,.600,0.0,10.4,5.6,42.2,2.7,0.0,16.7,14.7,128,96,7.4,8.4
8,2019-12-03,33-253,TOR,HOME,MIA,L (-11),1,40:46,.279,.111,4.8,10.6,7.6,44.1,1.2,2.1,4.4,24.8,85,114,10.0,-3.0
9,2019-12-05,33-255,TOR,HOME,HOU,L (-10),1,41:50,.893,.813,2.5,8.7,5.8,28.5,1.1,0.0,27.3,14.5,139,123,18.7,2.6
10,2019-12-08,33-258,TOR,AWAY,PHI,L (-6),1,37:45,.724,.643,5.4,14.5,9.3,21.8,2.6,0.0,18.2,24.3,130,113,21.1,7.9
11,2019-12-09,33-259,TOR,AWAY,CHI,W (+1),1,38:31,.320,.233,0.0,17.8,8.8,28.8,0.0,2.9,10.4,20.5,80,98,6.2,-5.2
12,2019-12-11,33-261,TOR,HOME,LAC,L (-20),1,35:12,.307,.125,2.6,9.3,5.6,27.6,2.7,0.0,17.0,13.7,81,114,5.8,-4.9
13,2019-12-14,33-264,TOR,HOME,BRK,W (+8),1,38:54,.511,.429,0.0,9.1,4.5,23.3,3.4,0.0,10.7,19.2,105,94,14.4,1.4
14,2019-12-16,33-266,TOR,HOME,CLE,W (+20),1,36:41,.605,.577,0.0,11.9,6.5,32.6,0.0,0.0,5.7,22.2,138,122,18.4,0.6
15,2019-12-18,33-268,TOR,AWAY,DET,W (+13),1,39:24,.487,.382,7.3,19.0,12.8,37.0,2.5,2.3,12.8,25.2,112,98,19.8,5.6
16,2019-12-20,33-270,TOR,HOME,WAS,W (+4),1,40:46,.690,.607,0.0,10.7,5.8,35.6,1.1,0.0,21.0,24.5,121,115,19.7,2.0
17,2019-12-22,33-272,TOR,HOME,DAL,W (+3),1,41:33,.646,.630,0.0,18.1,8.9,49.9,0.0,0.0,3.9,25.3,138,111,26.7,10.3
18,2019-12-23,33-273,TOR,AWAY,IND,L (-5),1,43:47,.635,.595,0.0,14.2,7.6,35.3,1.2,0.0,17.5,28.8,115,119,22.2,5.2
19,2019-12-25,33-275,TOR,HOME,BOS,L (-16),1,37:20,.474,.423,3.3,9.6,6.5,31.3,2.6,2.2,25.3,23.8,90,120,11.0,-1.1
20,2019-12-28,33-278,TOR,AWAY,BOS,W (+16),1,38:39,.764,.735,0.0,11.0,5.9,27.5,2.5,0.0,23.4,28.1,127,100,22.2,9.7
21,2019-12-29,33-279,TOR,HOME,OKC,L (-1),1,38:36,.639,.538,0.0,8.9,4.4,22.6,1.3,2.8,27.7,26.3,100,105,11.4,-2.1
22,2019-12-31,33-281,TOR,HOME,CLE,W (+20),1,35:54,.644,.563,0.0,3.1,1.6,34.9,0.0,2.7,5.1,24.8,140,107,20.4,5.8
23,2020-01-02,33-283,TOR,AWAY,MIA,L (-8),1,40:08,.402,.313,2.2,8.2,4.9,41.2,0.0,2.7,5.1,22.1,97,99,10.3,3.1
24,2020-01-04,33-285,TOR,AWAY,BRK,W (+19),1,42:45,.556,.447,0.0,13.2,5.5,15.1,2.3,3.5,4.1,23.6,129,104,19.1,5.2
25,2020-01-07,33-288,TOR,HOME,POR,L (-2),1,38:03,.460,.391,2.3,8.1,4.9,48.2,0.0,2.4,7.1,30.2,112,110,16.0,5.0
26,2020-01-08,33-289,TOR,AWAY,CHO,W (+2),1,42:33,.454,.385,2.4,2.8,2.6,30.3,2.6,2.5,10.8,20.5,108,114,12.7,-1.9
27,2020-01-12,33-293,TOR,HOME,SAS,L (-1),1,38:52,.504,.467,0.0,8.1,3.9,56.4,2.5,0.0,11.2,19.7,118,105,17.7,7.3
28,2020-01-15,33-296,TOR,AWAY,OKC,W (+9),1,32:46,.576,.538,4.6,12.6,8.7,27.1,1.4,0.0,21.3,25.1,112,119,12.5,-4.7
29,2020-01-17,33-298,TOR,HOME,WAS,W (+29),1,21:39,.583,.556,6.0,9.4,7.9,41.1,4.1,0.0,9.6,19.8,142,101,12.6,5.1
30,2020-01-18,33-299,TOR,AWAY,MIN,W (+10),1,28:16,.746,.735,3.9,21.7,13.1,11.3,1.6,0.0,9.6,31.3,132,108,21.8,8.3
31,2020-01-20,33-301,TOR,AWAY,ATL,W (+5),1,29:09,.392,.273,3.1,11.8,6.9,34.9,1.5,3.3,19.0,20.8,90,108,7.1,-5.7
32,2020-01-22,33-303,TOR,HOME,PHI,W (+12),1,35:11,.501,.417,0.0,7.7,4.2,16.4,0.0,0.0,11.1,22.8,100,105,9.7,-4.4
33,2020-01-24,33-305,TOR,AWAY,NYK,W (+6),1,35:05,.716,.542,0.0,20.5,10.7,12.0,6.0,2.8,0.0,25.3,154,111,26.6,11.8
34,2020-01-26,33-307,TOR,AWAY,SAS,W (+4),1,36:54,.522,.464,0.0,12.1,5.3,15.7,1.3,0.0,11.5,19.8,103,112,10.0,-6.1
35,2020-01-28,33-309,TOR,HOME,ATL,W (+16),1,32:50,.676,.625,0.0,22.5,12.2,38.2,1.3,0.0,36.0,16.8,112,106,12.5,0.3
36,2020-01-30,33-311,TOR,AWAY,CLE,W (+6),1,36:59,.617,.563,5.6,9.1,7.3,21.2,3.9,0.0,13.9,25.7,119,110,18.8,3.0
37,2020-01-31,33-312,TOR,AWAY,DET,W (+13),1,31:18,.339,.278,0.0,6.4,3.5,22.5,1.6,0.0,16.2,18.2,82,103,3.7,-6.1
38,2020-02-02,33-314,TOR,HOME,CHI,W (+27),1,29:31,.726,.643,0.0,12.8,7.5,23.2,0.0,3.9,17.2,17.3,144,109,13.2,4.1
39,2020-02-05,33-317,TOR,HOME,IND,W (+1),1,37:32,.690,.643,9.4,16.8,13.0,46.2,2.6,0.0,11.5,31.4,137,120,30.5,11.8
40,2020-02-07,33-319,TOR,AWAY,IND,W (+9),1,28:05,.699,.682,3.9,0.0,2.0,59.2,1.7,0.0,14.9,20.6,144,111,17.3,11.3
41,2020-02-10,33-322,TOR,HOME,MIN,W (+11),1,40:10,.724,.688,3.2,17.1,10.6,32.7,1.1,5.2,30.0,27.2,118,117,22.0,2.3
42,2020-02-12,33-324,TOR,AWAY,BRK,L (-10),1,36:40,.432,.423,0.0,30.0,14.8,54.6,1.3,0.0,17.8,20.3,95,99,11.8,2.4
43,2020-02-21,33-333,TOR,HOME,PHO,W (+17),1,33:47,.597,.550,0.0,13.9,8.7,39.1,1.4,0.0,35.5,21.5,103,100,9.9,-0.9
44,2020-02-23,33-335,TOR,HOME,IND,W (+46),1,31:41,.595,.577,8.2,12.8,11.0,44.0,7.3,2.4,13.0,20.0,137,68,22.8,18.6
45,2020-02-25,33-337,TOR,HOME,MIL,L (-11),1,41:03,.342,.208,0.0,11.1,4.9,23.7,0.0,2.8,21.5,18.8,72,109,2.1,-7.3
46,2020-02-28,33-340,TOR,HOME,CHO,L (-3),1,38:13,.571,.464,4.1,12.0,7.3,28.2,2.7,5.2,9.8,22.7,119,103,18.6,8.4
