,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-11-10,26-169,TOR,AWAY,LAL,W (+9),1,25:42,.678,.611,4.2,15.2,9.9,11.1,0.0,5.8,8.8,18.9,130,104,13.0,7.2
1,2019-11-11,26-170,TOR,AWAY,LAC,L (-10),1,37:13,.528,.458,0.0,9.7,5.0,9.4,0.0,2.3,12.3,19.6,93,104,8.3,-2.4
2,2019-11-13,26-172,TOR,AWAY,POR,W (+8),1,27:14,.145,.000,3.8,22.5,13.3,0.0,0.0,7.3,0.0,10.9,49,107,1.3,-9.1
3,2019-11-16,26-175,TOR,AWAY,DAL,L (-8),1,32:26,.797,.800,0.0,18.9,9.2,6.2,1.5,0.0,10.9,24.7,129,109,18.6,11.1
4,2019-11-18,26-177,TOR,HOME,CHO,W (+36),1,25:15,.535,.533,4.3,4.1,4.2,31.1,4.0,0.0,5.9,28.2,127,101,15.1,4.9
5,2019-11-20,26-179,TOR,HOME,ORL,W (+16),1,37:32,.625,.625,0.0,2.4,1.4,7.1,0.0,0.0,7.7,15.6,120,112,8.9,-3.1
6,2019-11-23,26-182,TOR,AWAY,ATL,W (+3),1,34:04,.648,.633,3.4,7.4,5.3,4.9,0.0,0.0,16.3,22.4,111,122,11.3,-2.4
7,2019-11-25,26-184,TOR,HOME,PHI,W (+5),1,28:19,.421,.364,0.0,18.4,9.3,5.2,1.8,0.0,14.4,22.7,75,101,4.3,-6.3
8,2019-11-27,26-186,TOR,HOME,NYK,W (+28),1,21:28,.394,.313,9.5,8.9,9.2,10.8,0.0,4.8,10.1,19.5,106,106,4.1,-7.3
9,2019-11-29,26-188,TOR,AWAY,ORL,W (+7),1,38:38,.835,.806,0.0,0.0,0.0,7.7,2.6,2.5,9.2,24.7,142,95,25.0,14.9
10,2019-12-01,26-190,TOR,HOME,UTA,W (+20),1,32:49,.603,.583,3.4,11.5,7.8,11.5,5.6,0.0,0.0,16.1,129,102,16.6,4.1
11,2019-12-09,26-198,TOR,AWAY,CHI,W (+1),1,28:40,.479,.469,3.3,10.3,6.8,22.5,3.4,0.0,5.3,27.0,103,94,11.7,5.0
12,2019-12-11,26-200,TOR,HOME,LAC,L (-20),1,34:02,.806,.727,2.7,6.4,4.4,6.7,1.4,0.0,26.8,22.5,113,118,13.9,2.5
13,2019-12-14,26-203,TOR,HOME,BRK,W (+8),1,32:44,.810,.833,2.6,8.1,5.3,6.3,0.0,5.3,6.1,20.1,142,99,18.4,9.3
14,2019-12-16,26-205,TOR,HOME,CLE,W (+20),1,35:31,.867,.867,0.0,18.4,10.1,18.2,5.6,2.5,0.0,19.6,174,106,29.5,18.3
15,2019-12-18,26-207,TOR,AWAY,DET,W (+13),1,33:05,.514,.357,2.9,6.4,4.6,12.1,0.0,0.0,18.6,13.7,103,108,5.9,-5.8
16,2020-01-12,26-232,TOR,HOME,SAS,L (-1),1,31:17,.714,.714,0.0,10.0,4.8,23.0,1.5,0.0,6.7,20.6,127,107,16.3,9.0
17,2020-02-28,26-279,TOR,HOME,CHO,L (-3),1,36:25,.530,.526,0.0,3.1,1.3,17.6,0.0,0.0,4.6,25.4,105,115,10.9,0.2
18,2020-03-01,26-281,TOR,AWAY,DEN,L (-15),1,40:06,.611,.559,2.9,17.1,9.3,0.0,0.0,2.5,0.0,20.8,126,133,17.4,-1.5
19,2020-03-03,26-283,TOR,AWAY,PHO,W (+9),1,38:29,.686,.600,0.0,5.7,3.0,16.6,2.4,2.7,13.7,23.5,129,108,19.8,5.8
20,2020-03-05,26-285,TOR,AWAY,GSW,W (+8),1,38:04,.768,.714,0.0,7.6,4.2,10.7,3.6,0.0,7.7,30.3,133,108,28.8,8.5
21,2020-03-08,26-288,TOR,AWAY,SAC,W (+5),1,42:47,.681,.667,0.0,5.1,2.6,21.0,2.3,1.9,4.2,25.9,127,116,25.3,7.4
22,2020-03-09,26-289,TOR,AWAY,UTA,W (+9),1,1:35,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0,110,-0.7,-32.3
23,2020-08-10,27-077,TOR,AWAY,MIL,W (+8),1,26:33,.691,.692,0.0,28.9,13.9,6.2,3.5,13.2,0.0,22.6,143,89,20.3,18.6
24,2020-08-12,27-079,TOR,AWAY,PHI,W (+4),1,26:29,.697,.650,3.7,8.1,5.8,5.9,0.0,0.0,14.1,21.5,120,122,10.8,-1.7
25,2020-08-14,27-081,TOR,HOME,DEN,W (+8),1,22:48,.833,.833,4.7,22.4,13.7,13.0,2.1,4.3,25.0,21.9,121,104,12.6,7.0
