,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2019-12-20,30-093,TOR,HOME,WAS,W (+4),1,35:51,.799,.800,3.6,27.4,16.5,4.7,0.0,8.4,12.2,19.2,138,109,21.0,6.9
1,2019-12-22,30-095,TOR,HOME,DAL,W (+3),1,23:55,.273,.273,3.8,15.7,9.6,6.5,0.0,4.6,8.3,20.5,63,110,1.0,-12.0
2,2019-12-23,30-096,TOR,AWAY,IND,L (-5),1,41:41,.548,.548,8.7,15.0,12.0,8.8,0.0,2.4,12.5,25.3,102,120,14.1,-3.7
3,2019-12-25,30-098,TOR,HOME,BOS,L (-16),1,23:07,.667,.667,5.3,36.3,21.0,8.1,2.1,0.0,25.0,23.4,100,115,8.8,-2.3
4,2019-12-28,30-101,TOR,AWAY,BOS,W (+16),1,30:00,.635,.679,16.4,21.3,19.0,0.0,0.0,0.0,11.3,25.0,118,103,13.2,-0.8
5,2019-12-29,30-102,TOR,HOME,OKC,L (-1),1,33:55,.545,.545,6.6,40.4,23.3,10.1,1.5,0.0,15.4,18.0,101,99,10.5,0.7
6,2019-12-31,30-104,TOR,HOME,CLE,W (+20),1,33:28,.842,.818,6.7,26.7,16.7,10.1,1.5,2.9,20.2,20.1,131,98,18.6,5.5
7,2020-01-02,30-106,TOR,AWAY,MIA,L (-8),1,34:54,.434,.429,7.6,21.9,14.0,0.0,0.0,6.3,8.4,30.8,83,93,9.9,-0.2
8,2020-01-04,30-108,TOR,AWAY,BRK,W (+19),1,28:10,.610,.567,18.1,35.1,25.2,0.0,0.0,5.3,0.0,25.2,142,105,18.8,5.7
9,2020-01-07,30-111,TOR,HOME,POR,L (-2),1,32:13,.660,.667,2.7,31.7,16.1,12.1,0.0,0.0,23.7,21.4,101,107,10.9,-0.1
10,2020-01-08,30-112,TOR,AWAY,CHO,W (+2),1,39:16,.542,.553,10.6,21.0,15.5,9.5,0.0,5.5,15.9,30.2,97,112,15.4,-4.5
11,2020-01-12,30-116,TOR,HOME,SAS,L (-1),1,32:21,.656,.656,5.9,38.7,21.6,5.8,0.0,2.7,5.9,22.6,117,101,17.2,5.6
12,2020-01-15,30-119,TOR,AWAY,OKC,W (+9),1,29:28,.631,.636,5.1,23.3,14.6,4.0,1.6,0.0,25.2,23.6,93,118,8.0,-9.4
13,2020-01-17,30-121,TOR,HOME,WAS,W (+29),1,25:40,.759,.722,15.2,19.9,17.8,4.6,0.0,0.0,9.2,17.4,148,107,13.2,-1.4
14,2020-01-30,30-134,TOR,AWAY,CLE,W (+6),1,33:13,.849,.821,3.1,10.1,6.5,5.4,1.5,2.7,6.1,21.6,156,114,22.4,9.7
15,2020-01-31,30-135,TOR,AWAY,DET,W (+13),1,28:40,.750,.750,17.2,7.0,11.5,17.4,0.0,0.0,26.3,30.6,112,106,13.7,4.5
16,2020-02-02,30-137,TOR,HOME,CHI,W (+27),1,24:30,.621,.625,0.0,23.0,13.5,5.9,0.0,14.0,13.4,26.7,110,100,11.8,0.1
17,2020-02-05,30-140,TOR,HOME,IND,W (+1),1,33:50,.686,.667,3.5,22.4,12.6,17.3,1.5,0.0,12.1,33.1,119,122,21.1,2.7
18,2020-02-07,30-142,TOR,AWAY,IND,W (+9),1,40:18,.615,.618,8.1,19.9,13.8,11.4,0.0,0.0,18.3,23.4,106,109,14.4,-1.5
19,2020-02-08,30-143,TOR,HOME,BRK,W (+1),1,31:58,.607,.611,3.3,15.6,9.6,8.0,0.0,3.1,0.0,13.3,138,126,11.2,0.2
20,2020-02-12,30-147,TOR,AWAY,BRK,L (-10),1,34:33,.746,.735,2.8,23.2,12.9,0.0,1.4,5.2,9.6,26.5,123,98,21.2,12.5
21,2020-02-21,30-156,TOR,HOME,PHO,W (+17),1,25:43,.735,.700,12.0,14.6,13.7,0.0,0.0,3.2,21.6,23.2,115,101,9.7,-2.1
22,2020-02-23,30-158,TOR,HOME,IND,W (+46),1,23:48,.625,.625,21.8,37.6,31.5,6.1,0.0,3.3,20.0,25.9,109,73,13.1,1.5
23,2020-02-25,30-160,TOR,HOME,MIL,L (-11),1,28:33,.157,.167,3.1,16.0,8.8,5.9,0.0,0.0,15.9,27.3,34,110,-7.1,-17.9
24,2020-03-05,30-169,TOR,AWAY,GSW,W (+8),1,29:53,.591,.591,3.9,38.5,22.9,15.9,0.0,3.5,0.0,16.3,123,102,13.6,2.4
25,2020-03-08,30-172,TOR,AWAY,SAC,W (+5),1,35:48,.638,.550,6.4,24.4,15.6,20.8,0.0,4.5,14.5,17.9,127,114,15.5,2.1
26,2020-03-09,30-173,TOR,AWAY,UTA,W (+9),1,36:51,.720,.676,12.4,26.1,19.5,16.1,0.0,0.0,17.6,27.2,128,104,21.9,10.0
