,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-01-20,29-308,ATL,HOME,DET,W (+8),1,39:35,.375,.375,2.3,11.4,6.4,9.7,0.0,0.0,11.1,9.3,99,114,3.4,-4.9
1,2021-04-01,30-014,ATL,AWAY,SAS,W (+5),1,25:21,.375,.375,0.0,23.7,13.3,4.8,0.0,3.3,0.0,7.4,92,114,3.4,-1.6
2,2021-04-02,30-015,ATL,AWAY,NOP,W (+23),1,29:52,.509,.417,4.6,11.8,8.5,7.0,0.0,0.0,12.7,11.4,110,107,5.6,-3.7
3,2021-04-04,30-017,ATL,HOME,GSW,W (+6),1,19:01,.425,.500,16.5,10.5,13.4,25.3,0.0,0.0,14.5,15.0,108,112,4.9,0.9
4,2021-04-06,30-019,ATL,HOME,NOP,W (+16),1,30:21,.500,.500,11.0,19.8,15.6,11.6,3.3,0.0,16.7,8.7,128,105,8.9,3.6
5,2021-04-07,30-020,ATL,HOME,MEM,L (-18),1,28:40,.530,.500,3.1,19.9,10.5,4.4,3.3,0.0,0.0,13.8,116,124,9.4,-0.5
6,2021-04-09,30-022,ATL,HOME,CHI,W (+12),1,22:03,.000,.000,6.0,10.1,8.3,4.6,2.3,0.0,0.0,4.2,68,114,1.2,-3.8
7,2021-04-11,30-024,ATL,AWAY,CHO,W (+4),1,37:41,.500,.500,0.0,22.3,11.3,7.5,2.8,3.4,0.0,10.0,108,105,8.6,-0.5
8,2021-04-13,30-026,ATL,AWAY,TOR,W (+5),1,30:05,.444,.357,0.0,4.3,2.0,4.3,1.6,0.0,11.3,13.3,87,108,2.7,-6.2
9,2021-04-15,30-028,ATL,HOME,MIL,L (-11),1,33:45,.818,.818,0.0,15.8,7.9,4.7,0.0,2.7,0.0,14.8,153,128,14.0,7.3
10,2021-04-23,30-036,ATL,HOME,MIA,W (+15),1,35:54,.615,.583,0.0,14.9,7.9,3.4,4.4,0.0,12.0,10.9,115,110,9.1,0.9
11,2021-04-25,30-038,ATL,HOME,MIL,W (+7),1,33:52,.125,.125,3.4,36.3,20.0,3.7,0.0,0.0,0.0,10.6,44,106,0.3,-9.1
12,2021-04-28,30-041,ATL,AWAY,PHI,L (-44),1,30:17,.595,.500,9.1,7.7,8.5,30.7,0.0,0.0,0.0,17.3,146,143,12.5,4.7
13,2021-04-30,30-043,ATL,AWAY,PHI,L (-22),1,35:35,.543,.000,6.1,18.2,12.6,3.7,0.0,1.8,59.2,8.3,65,128,1.6,-8.4
14,2021-05-13,30-056,ATL,HOME,ORL,W (+23),1,20:15,.000,.000,5.0,4.5,4.7,11.6,2.5,0.0,0.0,2.1,122,102,2.3,-1.3
15,2021-05-16,30-059,ATL,HOME,HOU,W (+29),1,35:47,.429,.429,3.1,9.6,6.8,11.6,2.6,0.0,12.5,9.4,103,97,6.8,-1.4
