,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-22,28-274,BRK,HOME,GSW,W (+26),1,25:18,.770,.750,4.0,10.0,7.3,33.0,0.0,0.0,5.6,26.9,152,98,21.0,13.6
1,2020-12-25,28-277,BRK,AWAY,BOS,W (+28),1,33:24,.813,.786,4.0,13.3,9.6,51.5,1.5,0.0,4.2,32.6,169,100,33.7,22.4
2,2020-12-27,28-279,BRK,AWAY,CHO,L (-2),1,36:21,.699,.676,0.0,7.5,4.0,36.4,1.3,0.0,18.3,25.8,117,106,18.8,6.6
3,2020-12-30,28-282,BRK,HOME,ATL,W (+4),1,34:00,.448,.426,0.0,5.9,3.0,21.2,2.7,0.0,3.5,34.5,101,133,14.3,-7.0
4,2021-01-01,28-284,BRK,HOME,ATL,L (-18),1,33:07,.395,.333,9.1,25.8,17.1,22.0,3.0,0.0,4.2,31.0,93,113,14.0,3.2
5,2021-01-03,28-286,BRK,HOME,WAS,L (-1),1,39:03,.638,.550,0.0,10.8,6.1,44.4,2.3,3.5,17.5,30.6,119,112,25.7,6.4
6,2021-01-05,28-288,BRK,HOME,UTA,W (+34),1,29:35,.763,.763,0.0,18.7,10.6,24.9,4.8,0.0,9.5,30.4,137,89,25.6,16.4
7,2021-01-20,28-303,BRK,AWAY,CLE,L (-12),1,48:22,.613,.589,2.4,2.4,2.4,12.0,1.0,5.2,11.7,30.6,112,127,23.6,1.1
8,2021-01-22,28-305,BRK,AWAY,CLE,L (-12),1,30:50,.713,.667,3.6,0.0,2.0,38.5,0.0,2.5,7.0,42.3,135,136,28.5,13.5
9,2021-01-23,28-306,BRK,HOME,MIA,W (+4),1,36:23,.713,.676,3.5,16.5,10.1,30.0,0.0,3.1,9.2,25.9,142,119,23.5,5.2
10,2021-01-25,28-308,BRK,HOME,MIA,W (+13),1,39:46,.437,.382,0.0,18.9,10.3,18.0,1.3,0.0,9.8,24.1,86,92,9.9,-3.6
