,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,30-060,ORL,HOME,MIA,W (+6),1,33:33,.454,.500,6.1,34.8,18.7,12.3,1.4,2.3,10.8,22.4,93,102,11.4,0.0
1,2020-12-26,30-063,ORL,AWAY,WAS,W (+10),1,31:05,.506,.450,9.9,43.2,27.1,13.0,2.8,0.0,12.1,31.7,104,102,18.2,1.6
2,2020-12-27,30-064,ORL,AWAY,WAS,W (+7),1,28:04,.588,.500,0.0,29.1,14.9,24.0,3.5,0.0,0.0,19.5,135,105,15.7,6.8
3,2020-12-29,30-066,ORL,AWAY,OKC,W (+11),1,34:25,.759,.750,8.5,22.2,15.0,21.6,1.4,0.0,5.1,23.8,152,106,27.9,14.1
4,2020-12-31,30-068,ORL,HOME,PHI,L (-24),1,23:47,.633,.633,7.1,35.9,19.8,35.9,0.0,0.0,0.0,26.3,131,112,16.4,14.5
5,2021-01-02,30-070,ORL,HOME,OKC,L (-9),1,34:58,.714,.714,4.5,32.8,16.7,12.4,0.0,0.0,4.5,25.3,137,110,25.2,13.4
6,2021-01-04,30-072,ORL,HOME,CLE,W (+20),1,31:09,.664,.625,7.0,20.5,13.9,12.8,3.4,8.1,0.0,23.7,156,83,24.1,17.4
7,2021-01-06,30-074,ORL,HOME,CLE,W (+11),1,34:08,.434,.417,0.0,20.5,11.2,28.0,0.0,2.4,9.8,27.7,95,101,10.4,-1.5
8,2021-01-08,30-076,ORL,AWAY,HOU,L (-42),1,29:38,.541,.500,9.5,36.4,21.4,23.1,1.7,0.0,0.0,30.5,119,133,19.8,9.6
9,2021-01-09,30-077,ORL,AWAY,DAL,L (-14),1,33:27,.625,.625,9.0,44.2,24.7,16.0,3.0,0.0,0.0,32.0,130,111,26.7,13.9
10,2021-01-11,30-079,ORL,HOME,MIL,L (-22),1,31:52,.563,.542,16.0,30.1,22.5,33.6,0.0,0.0,13.9,37.9,112,123,20.6,8.0
11,2021-01-15,30-083,ORL,AWAY,BOS,L (-27),1,25:58,.540,.500,6.8,20.0,12.2,27.5,3.8,0.0,6.7,24.0,120,121,13.9,7.3
12,2021-01-16,30-084,ORL,AWAY,BRK,L (-7),1,35:42,.773,.773,11.7,24.4,17.0,37.4,6.6,0.0,15.4,30.7,134,111,33.1,18.9
13,2021-01-18,30-086,ORL,AWAY,NYK,L (-7),1,36:27,.711,.688,5.3,29.3,17.7,0.0,0.0,4.4,0.0,21.4,141,94,22.0,10.2
14,2021-01-20,30-088,ORL,AWAY,MIN,W (+1),1,42:54,.487,.463,7.0,13.0,9.8,18.9,1.2,4.5,0.0,28.7,112,102,21.1,6.2
15,2021-01-22,30-090,ORL,AWAY,IND,L (-2),1,41:10,.414,.414,7.9,26.3,16.6,8.5,2.5,0.0,9.4,34.7,86,114,11.7,-6.8
16,2021-01-24,30-092,ORL,HOME,CHO,L (-3),1,34:55,.481,.455,3.1,40.2,20.8,20.7,0.0,0.0,11.6,33.0,96,110,13.1,-3.2
17,2021-01-25,30-093,ORL,HOME,CHO,W (+9),1,36:17,.586,.565,6.6,26.5,17.6,33.7,1.3,0.0,11.2,31.6,119,106,22.4,6.0
18,2021-01-27,30-095,ORL,HOME,SAC,L (-14),1,32:58,.689,.667,5.8,21.7,13.5,12.1,0.0,0.0,5.0,24.5,139,125,21.7,6.4
19,2021-01-29,30-097,ORL,HOME,LAC,L (-26),1,28:32,.385,.385,6.5,14.6,10.3,6.7,0.0,0.0,18.8,23.6,70,121,2.0,-10.4
20,2021-01-31,30-099,ORL,AWAY,TOR,L (-13),1,35:16,.388,.333,0.0,42.3,21.2,20.8,2.8,2.7,13.4,29.1,75,108,10.7,-4.1
21,2021-02-02,30-101,ORL,HOME,TOR,L (-15),1,37:14,.540,.526,9.0,45.0,27.0,17.5,0.0,0.0,9.3,24.9,111,124,17.5,0.1
22,2021-02-05,30-104,ORL,HOME,CHI,W (+4),1,37:18,.680,.655,9.7,42.0,27.5,25.6,0.0,1.9,3.1,37.4,139,113,37.7,14.7
23,2021-02-06,30-105,ORL,HOME,CHI,L (-26),1,24:20,.475,.441,7.7,27.5,16.8,8.5,2.1,6.5,14.4,37.0,91,118,10.8,-0.3
24,2021-02-09,30-108,ORL,AWAY,POR,L (-9),1,41:06,.541,.524,4.2,29.2,16.4,18.4,2.4,5.3,3.9,28.2,112,101,24.4,7.7
25,2021-02-11,30-110,ORL,AWAY,GSW,L (-6),1,37:51,.488,.413,2.5,33.8,17.4,22.8,0.0,0.0,10.5,30.3,103,111,15.7,1.1
26,2021-02-12,30-111,ORL,AWAY,SAC,W (+11),1,34:09,.901,.909,3.2,28.1,15.1,25.4,2.8,0.0,4.1,31.1,170,109,39.5,24.8
27,2021-02-14,30-113,ORL,AWAY,PHO,L (-19),1,27:41,.421,.321,0.0,34.7,16.2,0.0,3.6,3.2,10.7,29.7,78,100,9.1,-0.5
28,2021-02-17,30-116,ORL,HOME,NYK,W (+18),1,37:38,.333,.333,5.5,35.7,21.3,20.1,1.3,0.0,7.7,30.6,80,88,9.7,-7.2
29,2021-02-19,30-118,ORL,HOME,GSW,W (+4),1,38:58,.628,.609,0.0,37.9,20.5,41.1,1.2,2.2,0.0,25.7,141,110,32.2,12.8
30,2021-02-21,30-120,ORL,HOME,DET,W (+9),1,36:11,.615,.556,0.0,28.9,15.9,24.2,1.3,5.2,3.2,39.4,117,92,30.0,12.2
31,2021-02-23,30-122,ORL,HOME,DET,L (-12),1,32:48,.455,.455,2.9,25.5,13.6,29.5,0.0,5.4,4.3,30.7,94,106,14.1,2.3
32,2021-02-25,30-124,ORL,AWAY,BRK,L (-37),1,31:59,.597,.587,6.3,39.5,20.9,17.7,0.0,0.0,14.6,36.9,98,125,18.1,4.2
33,2021-02-27,30-126,ORL,HOME,UTA,L (-15),1,34:38,.643,.635,2.8,24.3,12.5,22.5,1.5,3.5,3.6,37.1,122,126,26.1,11.9
34,2021-03-01,30-128,ORL,HOME,DAL,L (-6),1,35:29,.604,.604,6.0,41.9,23.3,35.2,0.0,0.0,7.7,32.2,125,128,25.5,9.3
35,2021-03-03,30-130,ORL,HOME,ATL,L (-3),1,36:21,.602,.524,8.6,18.9,13.5,17.4,1.4,3.3,7.7,32.5,122,119,23.2,3.6
36,2021-03-11,30-138,ORL,AWAY,MIA,L (-8),1,34:08,.575,.550,8.3,39.4,23.7,16.9,0.0,0.0,8.7,27.6,118,111,19.6,4.5
37,2021-03-12,30-139,ORL,AWAY,SAS,L (-27),1,29:03,.722,.722,10.5,22.5,16.3,54.0,0.0,0.0,18.2,35.2,114,111,19.8,12.6
38,2021-03-14,30-141,ORL,HOME,MIA,L (-5),1,38:15,.671,.667,3.1,24.0,14.3,53.1,2.6,0.0,19.8,41.3,106,100,26.1,11.7
39,2021-03-18,30-145,ORL,AWAY,NYK,L (-1),1,35:56,.425,.425,8.7,37.8,23.2,22.0,1.5,5.1,16.7,32.4,83,97,12.2,-2.0
40,2021-03-19,30-146,ORL,HOME,BRK,W (+8),1,38:30,.413,.375,3.3,36.0,21.0,30.2,2.5,2.3,13.1,34.8,95,105,14.9,-2.3
41,2021-03-21,30-148,ORL,AWAY,BOS,L (-16),1,36:50,.527,.525,8.3,31.0,19.0,19.3,0.0,0.0,0.0,26.4,115,124,18.0,3.7
42,2021-03-23,30-150,ORL,HOME,DEN,L (-11),1,33:59,.360,.360,2.9,20.7,11.1,10.2,0.0,2.3,3.8,34.3,75,120,6.9,-8.4
43,2021-03-24,30-151,ORL,HOME,PHO,W (+1),1,33:52,.664,.658,9.2,31.2,20.7,21.5,1.5,2.5,4.7,27.6,138,107,25.8,14.6
44,2021-03-27,30-154,CHI,AWAY,SAS,L (-16),1,31:46,.639,.625,6.3,25.8,15.3,16.5,0.0,0.0,0.0,21.2,134,120,17.4,5.5
45,2021-03-29,30-156,CHI,AWAY,GSW,L (-14),1,26:33,.733,.692,4.9,35.3,20.9,39.1,0.0,3.3,12.3,27.4,135,117,20.3,11.9
46,2021-03-31,30-158,CHI,AWAY,PHO,L (-5),1,34:24,.581,.500,9.1,27.1,17.0,13.1,3.0,2.5,0.0,24.6,144,123,23.2,9.4
47,2021-04-02,30-160,CHI,AWAY,UTA,L (-7),1,28:54,.481,.393,3.8,29.1,15.8,19.1,0.0,3.9,0.0,27.0,111,120,13.3,3.3
48,2021-04-04,30-162,CHI,HOME,BRK,W (+8),1,32:22,.615,.618,4.0,46.8,25.7,10.5,3.2,4.6,5.3,27.9,116,101,21.0,6.9
49,2021-04-06,30-164,CHI,AWAY,IND,W (+16),1,35:12,.552,.552,16.6,30.6,24.2,27.4,0.0,2.4,12.1,37.5,113,96,22.7,5.6
50,2021-04-08,30-166,CHI,AWAY,TOR,W (+9),1,31:46,.566,.553,8.0,14.5,11.8,18.1,1.5,0.0,9.3,29.2,117,115,16.2,0.8
51,2021-04-09,30-167,CHI,AWAY,ATL,L (-12),1,36:21,.658,.658,9.2,25.7,16.7,10.0,1.4,0.0,13.6,27.6,115,125,19.7,4.2
52,2021-04-11,30-169,CHI,AWAY,MIN,L (-4),1,27:29,.648,.615,8.5,15.9,11.8,25.1,0.0,11.6,12.6,25.0,127,118,16.4,5.0
53,2021-04-12,30-170,CHI,AWAY,MEM,L (-11),1,33:08,.437,.447,3.0,31.0,15.9,5.6,7.2,2.5,0.0,25.5,89,84,15.1,8.6
54,2021-04-14,30-172,CHI,HOME,ORL,L (-9),1,33:34,.694,.675,3.6,31.1,18.3,5.7,1.6,4.6,0.0,29.3,138,118,25.0,10.1
55,2021-04-16,30-174,CHI,HOME,MEM,L (-11),1,32:40,.505,.477,15.0,33.9,23.4,27.7,0.0,0.0,0.0,30.7,124,131,21.0,4.9
56,2021-04-17,30-175,CHI,HOME,CLE,W (+10),1,32:48,.699,.676,4.0,19.5,12.5,27.8,3.3,0.0,5.3,28.8,135,103,23.3,12.6
57,2021-04-19,30-177,CHI,AWAY,BOS,W (+6),1,31:36,.630,.630,13.5,22.3,17.3,14.3,3.2,2.9,8.0,35.4,116,99,24.1,9.9
58,2021-04-21,30-179,CHI,AWAY,CLE,L (-16),1,25:12,.375,.375,4.9,17.7,11.6,12.1,2.0,0.0,29.4,30.6,61,124,0.7,-17.5
