,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,19-119,CHI,HOME,ATL,L (-20),1,33:02,.587,.500,0.0,15.7,7.0,5.1,1.4,3.2,0.0,17.3,123,119,12.7,0.1
1,2020-12-26,19-122,CHI,HOME,IND,L (-19),1,22:04,.580,.417,4.1,5.9,4.8,7.3,0.0,3.2,34.0,21.0,84,122,4.0,-7.5
2,2020-12-27,19-123,CHI,HOME,GSW,L (-1),1,26:21,.510,.400,4.8,9.6,7.7,9.0,0.0,9.6,25.4,11.6,96,110,6.0,-1.5
3,2020-12-29,19-125,CHI,AWAY,WAS,W (+8),1,20:21,.600,.600,5.4,0.0,2.8,18.0,0.0,0.0,9.1,22.5,110,109,6.9,0.6
4,2020-12-31,19-127,CHI,AWAY,WAS,W (+3),1,18:24,.850,.900,0.0,5.9,3.2,0.0,0.0,0.0,25.4,17.4,107,129,4.4,-7.5
5,2021-01-01,19-128,CHI,AWAY,MIL,L (-30),1,25:26,.350,.364,0.0,27.6,13.2,0.0,0.0,4.7,20.8,23.5,54,118,-0.6,-14.8
6,2021-01-03,19-130,CHI,HOME,DAL,W (+10),1,28:24,.375,.375,0.0,17.6,9.5,5.0,5.0,7.2,0.0,11.8,90,96,7.8,2.8
7,2021-01-05,19-132,CHI,AWAY,POR,W (+3),1,24:53,.788,.750,4.1,7.6,5.9,6.4,0.0,0.0,18.4,18.4,125,114,9.6,1.5
8,2021-01-06,19-133,CHI,AWAY,SAC,L (-4),1,22:11,.654,.583,5.8,4.8,5.3,5.1,2.2,0.0,0.0,13.1,150,130,6.7,-2.5
9,2021-01-08,19-135,CHI,AWAY,LAL,L (-2),1,34:15,.300,.300,6.8,20.0,13.5,0.0,5.8,0.0,16.7,15.4,63,111,3.4,-9.8
10,2021-01-10,19-137,CHI,AWAY,LAC,L (-3),1,35:47,.860,.833,5.2,2.9,3.7,6.9,2.7,0.0,16.8,15.0,141,130,15.1,4.1
11,2021-01-15,19-142,CHI,AWAY,OKC,L (-2),1,35:59,.888,.857,6.4,13.6,10.3,8.3,0.0,4.9,27.6,12.7,130,110,12.6,2.2
12,2021-01-17,19-144,CHI,AWAY,DAL,W (+16),1,22:35,.500,.500,0.0,19.7,11.3,5.5,0.0,0.0,16.7,11.3,82,102,1.9,-8.4
13,2021-01-22,19-149,CHI,AWAY,CHO,W (+13),1,16:04,.269,.286,12.2,29.9,20.1,0.0,0.0,0.0,11.8,21.9,67,110,0.3,-18.7
14,2021-01-23,19-150,CHI,HOME,LAL,L (-11),1,30:51,.505,.500,13.2,15.6,14.3,6.2,0.0,2.6,7.2,19.3,106,101,9.8,3.6
15,2021-01-25,19-152,CHI,HOME,BOS,L (-16),1,10:02,.250,.250,0.0,0.0,0.0,13.2,4.8,0.0,33.3,26.0,43,114,-1.5,-19.5
16,2021-01-30,19-157,CHI,HOME,POR,L (-1),1,24:18,.698,.643,0.0,4.8,2.5,5.6,2.1,0.0,11.3,16.5,129,133,8.7,-2.2
17,2021-02-01,19-159,CHI,HOME,NYK,W (+8),1,28:01,.470,.375,0.0,3.9,2.0,9.3,0.0,0.0,0.0,16.8,106,111,6.1,-3.1
18,2021-02-03,19-161,CHI,HOME,NYK,L (-4),1,32:10,.482,.500,0.0,24.3,12.3,4.4,1.5,0.0,13.9,20.7,81,109,7.0,-7.2
19,2021-02-05,19-163,CHI,AWAY,ORL,L (-4),1,33:53,.733,.636,5.8,17.7,11.1,3.9,2.8,2.6,6.8,18.4,145,119,19.2,3.2
20,2021-02-06,19-164,CHI,AWAY,ORL,W (+26),1,33:27,.595,.577,3.3,25.3,15.3,3.9,0.0,2.1,13.0,20.8,108,97,12.1,-4.6
21,2021-02-08,19-166,CHI,HOME,WAS,L (-4),1,35:22,.571,.429,0.0,16.3,8.4,4.1,0.0,0.0,18.6,13.1,98,107,5.2,-4.7
22,2021-02-10,19-168,CHI,HOME,NOP,W (+13),1,34:42,.400,.357,4.2,15.0,9.9,3.1,3.0,6.1,10.2,13.3,90,117,5.5,-7.2
23,2021-02-12,19-170,CHI,HOME,LAC,L (-19),1,34:59,.255,.200,0.0,14.8,7.0,3.6,0.0,2.5,14.5,9.0,55,131,0.3,-10.6
24,2021-02-15,19-173,CHI,AWAY,IND,W (+8),1,26:32,.322,.250,7.7,25.4,16.8,5.0,0.0,3.4,21.6,21.4,66,96,2.7,-7.4
25,2021-02-17,19-175,CHI,HOME,DET,W (+3),1,29:29,.815,.786,3.9,14.8,9.5,9.9,1.7,3.0,0.0,13.8,169,104,15.5,7.6
