,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-03-14,29-135,CHI,HOME,TOR,W (+23),1,25:34,.625,.625,12.5,10.6,11.5,36.0,1.9,8.3,27.3,17.5,117,90,12.1,7.5
1,2021-03-16,29-137,CHI,HOME,OKC,W (+21),1,30:39,.742,.643,0.0,7.3,3.7,26.3,4.8,0.0,18.6,14.9,142,101,15.0,6.3
2,2021-03-17,29-138,CHI,HOME,SAS,L (-7),1,34:08,.438,.438,3.0,2.8,2.9,27.5,1.5,0.0,11.1,11.3,115,116,8.1,-1.4
3,2021-03-19,29-140,CHI,AWAY,DEN,L (-4),1,30:49,.840,.833,4.0,8.2,6.1,19.7,0.0,0.0,45.7,13.0,111,129,5.9,-6.3
4,2021-03-21,29-142,CHI,AWAY,DET,W (+14),1,27:31,.444,.444,0.0,6.8,3.9,52.3,5.5,3.1,25.0,20.1,100,84,10.5,5.5
5,2021-03-22,29-143,CHI,HOME,UTA,L (-25),1,30:18,.781,.714,0.0,7.0,3.3,20.4,1.6,6.0,10.7,12.9,149,122,14.1,6.6
6,2021-03-24,29-145,CHI,HOME,CLE,L (-9),1,25:31,.619,.563,0.0,8.0,4.1,25.5,0.0,0.0,18.4,19.6,112,118,7.6,-4.0
7,2021-03-27,29-148,CHI,AWAY,SAS,L (-16),1,17:15,.538,.500,17.4,0.0,9.4,25.6,5.4,0.0,21.2,22.5,105,110,7.3,3.4
8,2021-03-29,29-150,CHI,AWAY,GSW,L (-14),1,30:02,.612,.591,8.6,0.0,4.1,37.2,1.6,0.0,14.9,19.9,124,124,14.7,3.4
9,2021-03-31,29-152,CHI,AWAY,PHO,L (-5),1,30:21,.379,.318,6.9,4.4,5.8,28.9,3.4,0.0,20.2,20.1,96,126,5.7,-7.4
10,2021-04-02,29-154,CHI,AWAY,UTA,L (-7),1,25:36,1.000,1.000,4.3,23.4,13.4,21.1,2.0,0.0,0.0,9.1,198,119,12.1,7.0
11,2021-04-04,29-156,CHI,HOME,BRK,W (+8),1,30:48,.910,.900,0.0,4.1,2.1,56.1,3.3,0.0,16.1,19.3,161,111,22.8,16.0
12,2021-04-06,29-158,CHI,AWAY,IND,W (+16),1,34:25,.500,.500,3.4,14.2,9.3,10.5,2.7,0.0,30.0,11.6,88,96,6.2,-4.7
13,2021-04-08,29-160,CHI,AWAY,TOR,W (+9),1,29:32,.900,.900,0.0,6.3,3.6,28.1,0.0,0.0,16.7,8.8,165,122,11.6,2.2
14,2021-04-09,29-161,CHI,AWAY,ATL,L (-12),1,33:11,.000,.000,0.0,4.0,1.8,35.3,3.0,0.0,25.0,11.0,67,123,2.3,-7.6
15,2021-04-11,29-163,CHI,AWAY,MIN,L (-4),1,25:53,.601,.571,0.0,0.0,0.0,28.1,0.0,4.1,10.7,15.6,130,126,9.4,-3.8
16,2021-04-12,29-164,CHI,AWAY,MEM,L (-11),1,22:03,.200,.200,0.0,5.2,2.4,12.9,2.2,0.0,37.5,15.8,36,103,-3.0,-16.1
17,2021-04-14,29-166,CHI,HOME,ORL,L (-9),1,30:01,.643,.643,0.0,0.0,0.0,27.7,0.0,2.6,12.5,12.5,135,133,8.8,-3.4
