,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-02-15,29-179,SAC,HOME,BRK,L (-11),1,30:42,.846,.846,7.6,0.0,4.1,22.1,0.0,0.0,7.1,19.1,170,146,19.2,6.0
1,2021-02-20,29-184,SAC,AWAY,CHI,L (-8),1,36:16,.347,.000,8.3,17.1,11.7,3.0,0.0,0.0,0.0,3.3,132,127,3.0,-9.8
2,2021-04-08,29-231,DET,AWAY,SAC,W (+12),1,31:52,.741,.714,0.0,10.8,5.6,36.4,1.5,2.7,15.6,26.6,133,100,21.1,8.2
3,2021-04-10,29-233,DET,AWAY,POR,L (-15),1,30:29,.269,.286,0.0,11.0,5.4,37.2,0.0,2.6,0.0,11.0,99,126,4.7,-8.6
4,2021-04-11,29-234,DET,AWAY,LAC,L (-7),1,31:37,.623,.607,3.6,23.4,11.2,58.3,3.2,0.0,6.5,21.8,150,137,22.2,6.8
5,2021-04-14,29-237,DET,HOME,LAC,L (-2),1,22:55,.202,.143,0.0,8.4,4.5,18.0,2.2,0.0,11.8,16.0,59,106,1.2,-8.3
6,2021-04-17,29-240,DET,AWAY,WAS,L (-21),1,32:52,.405,.389,3.1,6.3,4.7,13.4,4.3,0.0,9.2,14.2,91,115,7.1,-3.5
7,2021-04-21,29-244,DET,AWAY,DAL,L (-10),1,36:00,.716,.700,3.4,11.6,7.8,23.8,0.0,2.7,15.2,24.9,124,132,19.0,2.2
8,2021-04-24,29-247,DET,AWAY,IND,L (-6),1,29:42,.667,.667,0.0,5.8,3.2,20.9,1.6,0.0,10.0,12.9,132,113,10.3,1.1
9,2021-04-26,29-249,DET,HOME,ATL,W (+14),1,22:07,.759,.722,0.0,4.5,2.4,32.2,2.3,3.7,9.2,22.6,144,91,14.1,11.9
10,2021-05-06,29-259,DET,HOME,MEM,W (+14),1,34:50,.533,.500,3.9,9.0,6.8,46.0,2.9,2.7,5.6,24.6,127,102,19.8,6.2
11,2021-05-08,29-261,DET,AWAY,PHI,L (-14),1,19:51,.563,.500,0.0,16.9,8.2,20.1,0.0,0.0,47.4,19.1,72,126,0.8,-15.7
12,2021-05-16,29-269,DET,HOME,MIA,L (-13),1,30:47,.500,.500,3.9,14.6,8.7,25.4,1.6,3.1,12.5,22.3,100,121,10.6,-2.1
