,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-02-06,20-045,DET,AWAY,LAL,L (-6),1,24:23,.254,.143,5.8,13.6,9.4,5.6,2.1,0.0,0.0,14.8,75,120,1.3,-10.7
1,2021-02-24,20-063,DET,AWAY,NOP,L (-10),1,22:42,.300,.300,5.0,0.0,2.5,18.8,0.0,0.0,0.0,9.7,110,134,1.4,-8.8
2,2021-04-16,20-114,DET,HOME,OKC,W (+6),1,23:46,.463,.417,0.0,3.5,1.8,17.8,1.9,0.0,25.8,19.1,81,103,2.6,-8.4
3,2021-04-22,20-120,DET,AWAY,SAS,L (-15),1,14:27,.750,.750,0.0,22.1,11.6,31.5,0.0,0.0,33.3,9.6,124,117,3.6,4.5
4,2021-04-29,20-127,DET,HOME,DAL,L (-10),1,29:16,.554,.550,0.0,7.5,4.4,5.9,0.0,0.0,7.3,21.5,100,123,6.9,-7.7
5,2021-05-01,20-129,DET,AWAY,CHO,L (-13),1,27:09,.431,.400,10.2,7.9,9.1,6.3,0.0,0.0,0.0,17.0,104,121,6.2,-8.6
6,2021-05-03,20-131,DET,HOME,ORL,L (-7),1,30:41,.300,.300,6.1,16.0,10.4,8.0,0.0,0.0,0.0,14.0,86,126,3.0,-13.0
7,2021-05-04,20-132,DET,HOME,CHO,L (-3),1,33:41,.667,.667,9.5,13.7,11.8,10.9,1.5,0.0,6.3,21.3,131,108,17.3,6.6
8,2021-05-06,20-134,DET,HOME,MEM,W (+14),1,28:11,.500,.500,4.9,18.5,12.6,10.6,1.8,3.3,12.5,27.2,94,101,9.9,-3.7
9,2021-05-09,20-137,DET,HOME,CHI,L (-12),1,27:31,.434,.250,0.0,0.0,0.0,10.2,0.0,6.7,14.8,11.6,89,115,2.8,-5.9
10,2021-05-11,20-139,DET,HOME,MIN,L (-19),1,26:17,.570,.429,14.0,17.9,16.2,6.2,1.7,3.7,22.2,21.6,102,108,9.3,-3.0
