,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-27,27-261,GSW,AWAY,CHI,W (+1),1,19:12,.833,.833,0.0,32.9,13.2,6.8,2.2,0.0,25.0,7.7,117,112,5.5,-2.8
1,2020-12-29,27-263,GSW,AWAY,DET,W (+10),1,23:55,.868,1.250,0.0,11.6,7.1,23.6,2.0,0.0,51.0,10.6,97,106,3.7,-1.0
2,2021-02-04,27-300,GSW,AWAY,DAL,W (+31),1,39:37,.875,.875,0.0,19.0,11.1,13.9,0.0,5.8,20.0,11.1,142,115,14.9,2.3
3,2021-02-06,27-302,GSW,AWAY,DAL,L (-2),1,33:38,1.000,1.000,0.0,29.1,16.4,6.4,2.7,0.0,50.0,2.5,125,122,6.3,-2.0
4,2021-02-08,27-304,GSW,AWAY,SAS,L (-5),1,28:58,.667,.667,3.9,31.3,19.2,10.6,0.0,0.0,25.0,11.8,102,101,7.3,-2.6
5,2021-02-09,27-305,GSW,AWAY,SAS,W (+23),1,26:30,.370,.393,19.3,11.3,15.3,16.5,1.8,2.9,6.3,26.3,97,93,8.8,-1.8
6,2021-02-11,27-307,GSW,HOME,ORL,W (+6),1,20:45,.450,.450,10.3,13.9,12.2,14.6,2.3,3.6,16.7,25.2,90,101,5.4,-5.6
7,2021-02-13,27-309,GSW,HOME,BRK,L (-17),1,24:36,.450,.375,4.6,14.6,9.5,5.1,0.0,0.0,18.4,18.6,82,131,3.5,-10.4
8,2021-02-15,27-311,GSW,HOME,CLE,W (+31),1,28:23,.962,.900,4.3,13.8,9.6,8.6,1.6,2.6,22.8,13.3,150,97,12.9,3.1
9,2021-02-17,27-313,GSW,HOME,MIA,W (+8),1,21:20,1.000,1.000,0.0,11.3,5.2,36.8,2.3,4.1,0.0,2.1,230,100,7.0,8.4
10,2021-02-19,27-315,GSW,AWAY,ORL,L (-4),1,24:59,.583,.583,3.7,17.5,10.0,19.1,0.0,0.0,14.3,11.5,121,121,6.5,-3.8
11,2021-02-20,27-316,GSW,AWAY,CHO,L (-2),1,14:41,.750,.750,0.0,19.2,7.9,29.1,0.0,0.0,0.0,6.1,174,111,3.9,1.7
12,2021-03-04,27-328,GSW,AWAY,PHO,L (-22),1,32:44,.666,.600,3.0,17.1,9.6,8.7,2.9,2.2,30.7,12.8,100,113,9.2,-2.4
13,2021-03-25,27-349,GSW,AWAY,SAC,L (-22),1,26:26,1.250,1.250,0.0,30.3,14.3,21.3,3.7,0.0,14.3,12.1,206,137,18.0,13.8
14,2021-04-02,27-357,GSW,AWAY,TOR,L (-53),1,11:17,,,0.0,10.4,4.7,16.4,0.0,0.0,100.0,7.9,21,135,-2.2,-21.9
15,2021-05-14,28-034,GSW,HOME,NOP,W (+3),1,33:26,.571,.500,3.1,23.0,13.3,34.3,0.0,0.0,20.2,12.8,128,118,11.5,-0.8
