,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-01-25,24-354,GSW,HOME,MIN,W (+22),1,18:54,.250,.250,11.0,16.2,13.7,24.5,0.0,3.6,20.0,10.6,103,110,3.6,-3.2
1,2021-01-27,24-356,GSW,HOME,MIN,W (+12),1,11:48,.333,.333,52.2,44.2,47.9,39.8,0.0,0.0,40.0,17.5,116,105,5.7,3.1
2,2021-01-28,24-357,GSW,AWAY,PHO,L (-21),1,15:30,.500,.500,5.2,20.6,11.8,8.9,6.1,0.0,0.0,5.4,129,101,4.9,3.0
3,2021-01-30,24-359,GSW,HOME,DET,W (+27),1,22:31,1.000,1.000,10.9,18.5,15.0,21.0,0.0,10.4,0.0,6.0,218,92,11.5,12.7
4,2021-02-02,24-362,GSW,HOME,BOS,L (-4),1,13:20,.400,.400,24.0,0.0,12.4,35.1,0.0,0.0,0.0,17.3,127,125,5.1,0.3
5,2021-02-23,25-017,GSW,AWAY,NYK,W (+8),1,20:15,1.000,1.000,10.5,18.2,14.7,25.2,0.0,3.5,50.0,4.3,157,109,5.2,1.2
6,2021-02-24,25-018,GSW,AWAY,IND,W (+4),1,17:10,.500,.500,28.0,7.0,17.5,8.4,0.0,5.4,0.0,9.8,139,106,5.7,0.9
7,2021-02-26,25-020,GSW,HOME,CHO,W (+9),1,19:48,1.050,1.000,0.0,5.3,3.2,6.0,2.3,0.0,0.0,10.2,224,115,10.3,5.4
8,2021-02-28,25-022,GSW,AWAY,LAL,L (-26),1,5:53,.000,.000,0.0,17.7,8.6,0.0,0.0,0.0,0.0,14.3,0,113,-1.5,-20.3
9,2021-03-03,25-025,GSW,AWAY,POR,L (-2),1,17:17,.514,.429,29.8,12.3,22.0,0.0,2.9,0.0,18.6,26.2,108,111,7.5,-5.8
10,2021-03-11,25-033,GSW,AWAY,LAC,L (-26),1,12:55,.532,.000,7.4,29.7,18.6,9.8,0.0,0.0,0.0,6.0,143,121,2.7,-3.6
11,2021-03-14,25-036,GSW,HOME,UTA,W (+12),1,10:50,.532,.000,0.0,25.1,14.6,0.0,0.0,0.0,34.7,11.6,73,117,0.8,-10.3
