,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-04-19,22-303,IND,HOME,SAS,L (-15),1,24:41,.770,.813,9.4,11.9,10.5,0.0,1.9,0.0,0.0,13.4,150,107,12.2,8.3
1,2021-04-21,22-305,IND,HOME,OKC,W (+6),1,42:06,.589,.563,8.8,18.2,13.4,3.1,2.2,4.6,4.9,19.4,124,107,22.0,0.4
2,2021-04-24,22-308,IND,HOME,DET,W (+6),1,38:13,.564,.500,11.2,16.7,13.7,6.9,0.0,2.0,0.0,10.6,136,109,13.2,-1.5
3,2021-04-25,22-309,IND,AWAY,ORL,W (+19),1,30:40,.707,.571,0.0,21.6,12.6,3.5,0.0,0.0,0.0,12.9,147,108,11.2,-0.9
4,2021-04-27,22-311,IND,HOME,POR,L (-21),1,39:37,.660,.636,5.5,19.0,12.8,3.6,2.4,8.5,6.8,15.9,126,121,19.7,4.8
5,2021-04-29,22-313,IND,HOME,BRK,L (-17),1,35:58,.595,.500,5.4,24.0,13.6,3.7,2.5,7.4,7.8,14.8,119,117,14.3,0.9
6,2021-05-01,22-315,IND,AWAY,OKC,W (+57),1,40:01,.649,.682,4.0,20.3,15.4,7.2,0.0,6.6,7.5,14.1,125,83,16.9,0.9
7,2021-05-03,22-317,IND,AWAY,WAS,L (-13),1,26:11,.571,.429,7.5,9.2,8.2,0.0,1.6,0.0,0.0,11.9,139,132,8.5,-4.0
8,2021-05-05,22-319,IND,HOME,SAC,L (-11),1,23:51,.450,.438,4.4,8.1,6.3,0.0,2.0,0.0,18.4,19.5,75,108,3.5,-7.9
9,2021-05-06,22-320,IND,HOME,ATL,W (+7),1,23:40,.571,.429,7.2,33.8,23.2,0.0,3.9,0.0,10.2,17.9,111,116,9.3,-4.6
10,2021-05-08,22-322,IND,HOME,WAS,L (-1),1,24:19,.872,.833,0.0,15.6,8.0,0.0,1.8,0.0,12.7,13.2,143,112,10.2,0.3
11,2021-05-10,22-324,IND,AWAY,CLE,W (+9),1,22:44,1.031,1.167,4.7,4.1,4.4,0.0,0.0,7.8,20.5,9.7,143,115,8.1,0.5
12,2021-05-11,22-325,IND,HOME,PHI,W (+9),1,28:49,.145,.000,13.5,7.7,10.4,9.0,5.2,2.7,0.0,11.1,78,91,5.2,-3.4
13,2021-05-13,22-327,IND,HOME,MIL,L (-9),1,27:54,.690,.625,3.2,9.1,5.7,4.2,3.2,0.0,0.0,19.2,144,129,15.0,3.9
14,2021-05-15,22-329,IND,HOME,LAL,L (-7),1,29:39,.317,.286,7.7,12.1,9.9,7.6,1.6,0.0,0.0,11.6,93,125,4.8,-7.3
15,2021-05-16,22-330,IND,AWAY,TOR,W (+12),1,36:06,.777,.781,3.2,22.6,14.0,11.5,0.0,0.0,0.0,22.9,158,111,26.9,10.1
