,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-27,24-186,LAC,HOME,DAL,L (-51),1,29:00,.318,.318,0.0,7.9,3.7,7.9,1.8,0.0,15.4,22.2,55,136,0.0,-11.4
1,2020-12-29,24-188,LAC,HOME,MIN,W (+23),1,28:29,.833,.833,0.0,10.1,5.9,18.3,0.0,0.0,18.2,17.2,134,110,11.6,1.7
2,2021-01-05,24-195,LAC,HOME,SAS,L (-3),1,37:51,.414,.350,3.2,12.9,8.5,12.9,0.0,0.0,21.6,16.8,84,125,4.8,-10.5
3,2021-01-26,24-216,LAC,AWAY,ATL,L (-9),1,28:01,.468,.462,0.0,12.2,5.6,12.5,7.2,0.0,0.0,21.5,103,105,11.8,6.5
4,2021-01-28,24-218,LAC,AWAY,MIA,W (+4),1,27:16,.450,.450,0.0,14.1,7.0,18.2,0.0,0.0,9.1,17.8,97,114,5.5,-6.8
5,2021-02-05,24-226,LAC,HOME,BOS,L (-4),1,25:50,.722,.722,5.3,12.1,9.2,17.0,0.0,0.0,0.0,15.7,160,131,11.2,4.0
6,2021-02-07,24-228,LAC,HOME,SAC,L (-3),1,19:17,.474,.438,0.0,5.2,2.4,7.4,0.0,3.8,0.0,17.8,108,117,4.5,-2.9
7,2021-03-29,24-278,LAC,HOME,MIL,W (+24),1,32:01,.955,.955,0.0,19.7,9.6,7.7,0.0,0.0,15.4,17.5,157,113,16.2,8.5
8,2021-03-30,24-279,LAC,HOME,ORL,L (-7),1,32:38,.504,.469,0.0,8.7,4.5,10.4,0.0,2.0,5.6,24.5,102,114,7.8,-3.7
9,2021-04-09,24-289,LAC,HOME,HOU,W (+17),1,25:27,.500,.500,0.0,24.6,14.3,12.3,3.9,0.0,25.0,7.3,105,107,5.0,-2.2
10,2021-04-11,24-291,LAC,HOME,DET,W (+7),1,23:55,.917,.917,0.0,4.8,3.0,0.0,0.0,0.0,14.3,13.3,139,136,6.9,-5.4
11,2021-04-13,24-293,LAC,AWAY,IND,W (+11),1,24:07,.625,.625,0.0,11.7,6.6,19.9,1.9,0.0,20.0,17.9,107,111,7.5,-1.5
12,2021-04-14,24-294,LAC,AWAY,DET,W (+2),1,38:41,.423,.324,5.0,23.1,13.3,4.0,1.3,0.0,13.0,25.3,89,102,8.8,-3.8
13,2021-04-16,24-296,LAC,AWAY,PHI,L (-3),1,18:25,.500,.500,0.0,0.0,0.0,15.2,0.0,0.0,0.0,7.2,127,119,2.3,-1.2
14,2021-04-21,24-301,LAC,HOME,MEM,W (+12),1,38:25,.808,.813,0.0,19.9,10.3,9.8,0.0,2.3,5.5,20.5,144,110,23.2,10.4
15,2021-05-14,24-324,LAC,AWAY,HOU,L (-7),1,40:39,.578,.553,0.0,0.0,0.0,3.4,0.0,0.0,9.1,22.9,102,129,11.6,-7.0
16,2021-05-16,24-326,LAC,AWAY,OKC,L (-5),1,29:55,.464,.464,0.0,11.5,4.9,4.5,4.9,0.0,0.0,19.4,104,113,9.4,-3.9
