,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-22,32-163,LAC,AWAY,LAL,W (+7),1,22:07,.556,.556,18.1,11.7,15.3,18.4,0.0,0.0,18.2,20.3,115,112,7.2,1.7
1,2020-12-25,32-166,LAC,AWAY,DEN,W (+13),1,21:33,.654,.667,7.2,5.7,6.4,0.0,4.8,0.0,12.7,17.1,114,113,5.6,-1.7
2,2020-12-27,32-168,LAC,HOME,DAL,L (-51),1,21:55,.347,.000,0.0,10.4,4.9,0.0,0.0,0.0,25.8,8.8,54,139,-1.4,-15.4
3,2020-12-29,32-170,LAC,HOME,MIN,W (+23),1,21:57,.857,.857,6.2,8.7,7.7,5.7,2.2,0.0,12.5,16.2,140,106,9.9,5.6
4,2020-12-30,32-171,LAC,HOME,POR,W (+23),1,20:59,.583,.583,9.7,11.2,10.4,0.0,4.5,0.0,0.0,12.0,132,102,6.4,-0.9
5,2021-01-01,32-173,LAC,AWAY,UTA,L (-6),1,27:58,.429,.429,3.8,0.0,1.9,0.0,0.0,7.3,0.0,11.6,100,123,2.8,-4.3
6,2021-01-03,32-175,LAC,AWAY,PHO,W (+5),1,27:31,.902,.833,8.5,33.9,20.4,0.0,0.0,0.0,20.5,8.4,151,117,6.6,-1.3
7,2021-01-05,32-177,LAC,HOME,SAS,L (-3),1,32:37,1.000,1.000,3.7,21.0,13.2,36.0,0.0,5.3,9.1,15.5,180,118,22.6,17.6
8,2021-01-06,32-178,LAC,AWAY,GSW,W (+7),1,30:15,.394,.313,4.1,0.0,1.9,14.5,1.6,2.8,0.0,12.7,113,106,5.5,1.7
9,2021-01-08,32-180,LAC,AWAY,GSW,L (-10),1,27:59,.376,.313,13.2,14.3,13.7,4.7,3.7,0.0,17.7,18.2,85,119,3.9,-7.5
10,2021-01-10,32-182,LAC,HOME,CHI,W (+3),1,25:19,.389,.389,0.0,21.9,7.8,24.1,0.0,12.9,10.0,16.8,100,123,5.8,-3.9
11,2021-01-13,32-185,LAC,HOME,NOP,W (+5),1,36:38,.563,.563,3.4,14.6,9.4,8.4,2.9,4.4,10.1,13.5,107,110,10.0,1.2
12,2021-01-17,32-189,LAC,HOME,IND,W (+33),1,26:23,.628,.571,5.1,14.9,10.7,25.7,0.0,3.6,0.0,14.3,161,94,12.9,10.6
13,2021-01-20,32-192,LAC,HOME,SAC,W (+19),1,24:05,.500,.500,0.0,13.0,6.9,0.0,1.9,3.4,14.3,12.7,80,92,2.6,-5.2
14,2021-01-22,32-194,LAC,HOME,OKC,W (+14),1,29:39,.174,.000,4.8,26.4,16.8,7.5,5.0,0.0,0.0,4.3,96,103,4.8,-0.7
15,2021-01-24,32-196,LAC,HOME,OKC,W (+8),1,13:03,.444,.357,7.8,22.1,15.2,32.8,7.5,0.0,0.0,26.6,114,86,8.2,13.3
16,2021-02-10,32-213,LAC,AWAY,MIN,W (+7),1,18:10,.615,.500,0.0,15.0,8.7,7.4,0.0,4.9,0.0,11.7,142,115,4.7,-3.0
17,2021-02-12,32-215,LAC,AWAY,CHI,W (+19),1,11:43,.615,.625,0.0,0.0,0.0,9.8,0.0,0.0,17.0,23.7,106,122,2.9,-6.6
18,2021-02-14,32-217,LAC,HOME,CLE,W (+17),1,20:06,.901,.875,0.0,31.1,16.5,39.7,4.7,0.0,10.1,20.7,166,99,17.5,20.4
19,2021-02-17,32-220,LAC,HOME,UTA,L (-18),1,23:15,1.031,1.167,0.0,15.0,8.3,13.0,4.1,7.1,20.5,9.2,158,103,10.5,12.2
20,2021-02-19,32-222,LAC,HOME,UTA,W (+4),1,24:45,.970,.929,4.5,4.8,4.7,11.6,0.0,3.7,10.2,17.3,177,118,15.8,15.0
21,2021-02-21,32-224,LAC,HOME,BRK,L (-4),1,28:16,.417,.417,3.6,11.3,7.4,18.6,1.8,0.0,40.0,15.3,75,118,0.6,-8.3
22,2021-02-23,32-226,LAC,HOME,WAS,W (+19),1,20:04,.625,.625,0.0,0.0,0.0,4.9,0.0,0.0,20.0,10.9,105,121,1.9,-6.8
23,2021-02-25,32-228,LAC,AWAY,MEM,L (-28),1,22:28,.357,.357,0.0,16.0,7.2,14.4,0.0,0.0,12.5,16.3,73,130,1.4,-9.1
24,2021-02-26,32-229,LAC,AWAY,MEM,W (+20),1,21:00,.688,.688,0.0,9.0,5.4,19.7,2.3,6.6,11.1,19.6,120,93,10.3,10.4
25,2021-02-28,32-231,LAC,AWAY,MIL,L (-5),1,25:41,.313,.313,10.6,0.0,5.8,10.3,2.0,0.0,11.1,15.6,86,115,2.1,-6.5
26,2021-03-02,32-233,LAC,AWAY,BOS,L (-5),1,27:07,.840,.833,9.1,18.2,13.6,9.0,4.1,6.6,0.0,8.4,190,123,13.3,11.0
27,2021-03-04,32-235,LAC,AWAY,WAS,L (-2),1,25:44,.781,.750,0.0,12.2,6.5,7.0,0.0,5.7,21.6,23.3,114,118,10.4,3.1
28,2021-03-11,32-242,LAC,HOME,GSW,W (+26),1,10:46,.375,.375,0.0,0.0,0.0,0.0,0.0,8.6,0.0,14.9,80,97,0.9,-5.0
29,2021-04-06,32-268,LAC,HOME,POR,W (+17),1,20:08,.508,.429,0.0,17.7,9.9,17.3,2.4,0.0,0.0,17.2,123,114,6.6,1.0
30,2021-04-08,32-270,LAC,HOME,PHO,W (+10),1,16:52,.000,.000,0.0,0.0,0.0,13.6,0.0,6.1,0.0,5.7,69,120,-0.1,-4.9
31,2021-05-11,32-303,LAC,AWAY,TOR,W (+19),1,21:10,.000,.000,13.0,18.5,16.2,5.8,0.0,0.0,20.0,10.8,46,106,-0.9,-12.5
