,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Tue, Dec 22, 2020",2020,12,22,10:00p,False,LAL,W,False,116,109,1,0,W 1
1,"Fri, Dec 25, 2020",2020,12,25,10:30p,False,DEN,W,False,121,108,2,0,W 2
2,"Sun, Dec 27, 2020",2020,12,27,3:30p,True,DAL,L,False,73,124,2,1,L 1
3,"Tue, Dec 29, 2020",2020,12,29,10:00p,True,MIN,W,False,124,101,3,1,W 1
4,"Wed, Dec 30, 2020",2020,12,30,10:00p,True,POR,W,False,128,105,4,1,W 2
5,"Fri, Jan 1, 2021",2021,1,1,9:00p,False,UTA,L,False,100,106,4,2,L 1
6,"Sun, Jan 3, 2021",2021,1,3,8:00p,False,PHO,W,False,112,107,5,2,W 1
7,"Tue, Jan 5, 2021",2021,1,5,10:00p,True,SAS,L,False,113,116,5,3,L 1
8,"Wed, Jan 6, 2021",2021,1,6,10:00p,False,GSW,W,False,108,101,6,3,W 1
9,"Fri, Jan 8, 2021",2021,1,8,10:00p,False,GSW,L,False,105,115,6,4,L 1
10,"Sun, Jan 10, 2021",2021,1,10,4:00p,True,CHI,W,False,130,127,7,4,W 1
11,"Wed, Jan 13, 2021",2021,1,13,10:00p,True,NOP,W,False,111,106,8,4,W 2
12,"Fri, Jan 15, 2021",2021,1,15,10:00p,False,SAC,W,False,138,100,9,4,W 3
13,"Sun, Jan 17, 2021",2021,1,17,10:00p,True,IND,W,False,129,96,10,4,W 4
14,"Wed, Jan 20, 2021",2021,1,20,10:00p,True,SAC,W,False,115,96,11,4,W 5
15,"Fri, Jan 22, 2021",2021,1,22,10:00p,True,OKC,W,False,120,106,12,4,W 6
16,"Sun, Jan 24, 2021",2021,1,24,4:00p,True,OKC,W,False,108,100,13,4,W 7
17,"Tue, Jan 26, 2021",2021,1,26,7:30p,False,ATL,L,False,99,108,13,5,L 1
18,"Thu, Jan 28, 2021",2021,1,28,8:00p,False,MIA,W,False,109,105,14,5,W 1
19,"Fri, Jan 29, 2021",2021,1,29,8:00p,False,ORL,W,False,116,90,15,5,W 2
21,"Sun, Jan 31, 2021",2021,1,31,1:00p,False,NYK,W,False,129,115,16,5,W 3
22,"Tue, Feb 2, 2021",2021,2,2,7:30p,False,BRK,L,False,120,124,16,6,L 1
23,"Wed, Feb 3, 2021",2021,2,3,8:00p,False,CLE,W,False,121,99,17,6,W 1
24,"Fri, Feb 5, 2021",2021,2,5,10:00p,True,BOS,L,False,115,119,17,7,L 1
25,"Sun, Feb 7, 2021",2021,2,7,3:00p,True,SAC,L,False,110,113,17,8,L 2
26,"Wed, Feb 10, 2021",2021,2,10,8:00p,False,MIN,W,False,119,112,18,8,W 1
27,"Fri, Feb 12, 2021",2021,2,12,8:00p,False,CHI,W,False,125,106,19,8,W 2
28,"Sun, Feb 14, 2021",2021,2,14,10:00p,True,CLE,W,False,128,111,20,8,W 3
29,"Mon, Feb 15, 2021",2021,2,15,10:00p,True,MIA,W,False,125,118,21,8,W 4
30,"Wed, Feb 17, 2021",2021,2,17,10:00p,True,UTA,L,False,96,114,21,9,L 1
31,"Fri, Feb 19, 2021",2021,2,19,10:00p,True,UTA,W,False,116,112,22,9,W 1
32,"Sun, Feb 21, 2021",2021,2,21,8:00p,True,BRK,L,False,108,112,22,10,L 1
33,"Tue, Feb 23, 2021",2021,2,23,10:00p,True,WAS,W,False,135,116,23,10,W 1
34,"Thu, Feb 25, 2021",2021,2,25,8:00p,False,MEM,L,False,94,122,23,11,L 1
35,"Fri, Feb 26, 2021",2021,2,26,8:00p,False,MEM,W,False,119,99,24,11,W 1
36,"Sun, Feb 28, 2021",2021,2,28,3:30p,False,MIL,L,False,100,105,24,12,L 1
37,"Tue, Mar 2, 2021",2021,3,2,7:30p,False,BOS,L,False,112,117,24,13,L 2
38,"Thu, Mar 4, 2021",2021,3,4,7:00p,False,WAS,L,False,117,119,24,14,L 3
39,"Thu, Mar 11, 2021",2021,3,11,10:00p,True,GSW,W,False,130,104,25,14,W 1
40,"Sun, Mar 14, 2021",2021,3,14,9:00p,False,NOP,L,False,115,135,25,15,L 1
42,"Mon, Mar 15, 2021",2021,3,15,9:00p,False,DAL,W,False,109,99,26,15,W 1
43,"Wed, Mar 17, 2021",2021,3,17,9:30p,False,DAL,L,False,89,105,26,16,L 1
44,"Sat, Mar 20, 2021",2021,3,20,10:00p,True,CHO,W,False,125,98,27,16,W 1
45,"Mon, Mar 22, 2021",2021,3,22,10:00p,True,ATL,W,False,119,110,28,16,W 2
46,"Wed, Mar 24, 2021",2021,3,24,8:30p,False,SAS,W,False,134,101,29,16,W 3
47,"Thu, Mar 25, 2021",2021,3,25,8:30p,False,SAS,W,False,98,85,30,16,W 4
48,"Sat, Mar 27, 2021",2021,3,27,10:00p,True,PHI,W,False,122,112,31,16,W 5
49,"Mon, Mar 29, 2021",2021,3,29,10:00p,True,MIL,W,False,129,105,32,16,W 6
50,"Tue, Mar 30, 2021",2021,3,30,10:00p,True,ORL,L,False,96,103,32,17,L 1
51,"Thu, Apr 1, 2021",2021,4,1,10:00p,True,DEN,L,False,94,101,32,18,L 2
52,"Sun, Apr 4, 2021",2021,4,4,3:30p,True,LAL,W,False,104,86,33,18,W 1
53,"Tue, Apr 6, 2021",2021,4,6,10:00p,True,POR,W,False,133,116,34,18,W 2
54,"Thu, Apr 8, 2021",2021,4,8,10:00p,True,PHO,W,False,113,103,35,18,W 3
55,"Fri, Apr 9, 2021",2021,4,9,10:00p,True,HOU,W,False,126,109,36,18,W 4
56,"Sun, Apr 11, 2021",2021,4,11,10:00p,True,DET,W,False,131,124,37,18,W 5
57,"Tue, Apr 13, 2021",2021,4,13,7:30p,False,IND,W,False,126,115,38,18,W 6
58,"Wed, Apr 14, 2021",2021,4,14,8:00p,False,DET,W,False,100,98,39,18,W 7
59,"Fri, Apr 16, 2021",2021,4,16,7:00p,False,PHI,L,False,103,106,39,19,L 1
60,"Sun, Apr 18, 2021",2021,4,18,10:00p,True,MIN,W,False,124,105,40,19,W 1
61,"Tue, Apr 20, 2021",2021,4,20,10:00p,False,POR,W,False,113,112,41,19,W 2
63,"Wed, Apr 21, 2021",2021,4,21,10:00p,True,MEM,W,False,117,105,42,19,W 3
64,"Fri, Apr 23, 2021",2021,4,23,8:00p,False,HOU,W,False,109,104,43,19,W 4
65,"Mon, Apr 26, 2021",2021,4,26,8:00p,False,NOP,L,False,103,120,43,20,L 1
66,"Wed, Apr 28, 2021",2021,4,28,10:00p,False,PHO,L,False,101,109,43,21,L 2
67,"Sat, May 1, 2021",2021,5,1,10:00p,True,DEN,L,False,104,110,43,22,L 3
68,"Tue, May 4, 2021",2021,5,4,10:00p,True,TOR,W,False,105,100,44,22,W 1
69,"Thu, May 6, 2021",2021,5,6,10:00p,True,LAL,W,False,118,94,45,22,W 2
70,"Sun, May 9, 2021",2021,5,9,3:30p,True,NYK,L,False,100,106,45,23,L 1
71,"Tue, May 11, 2021",2021,5,11,7:30p,False,TOR,W,False,115,96,46,23,W 1
72,"Thu, May 13, 2021",2021,5,13,7:00p,False,CHO,W,False,113,90,47,23,W 2
73,"Fri, May 14, 2021",2021,5,14,9:00p,False,HOU,L,False,115,122,47,24,L 1
74,"Sun, May 16, 2021",2021,5,16,9:00p,False,OKC,L,False,112,117,47,25,L 2
