,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-22,27-308,LAL,HOME,LAC,L (-7),1,23:03,.781,.625,0.0,8.7,4.9,6.2,4.0,3.9,25.8,14.2,120,104,8.2,6.6
1,2020-12-25,27-311,LAL,HOME,DAL,W (+23),1,24:09,.571,.571,0.0,0.0,0.0,8.8,2.0,7.8,0.0,11.8,145,111,6.5,1.3
2,2020-12-27,27-313,LAL,HOME,MIN,W (+36),1,23:14,.926,1.000,0.0,7.1,4.4,9.4,1.9,0.0,0.0,7.8,194,90,9.3,4.0
3,2020-12-28,27-314,LAL,HOME,POR,L (-8),1,28:33,.778,.778,0.0,4.0,2.0,0.0,0.0,0.0,25.0,18.5,102,123,7.0,-0.6
4,2020-12-30,27-316,LAL,AWAY,SAS,W (+14),1,26:23,.850,.800,0.0,7.7,4.2,9.0,1.8,0.0,0.0,9.9,177,108,9.5,5.7
5,2021-01-01,27-318,LAL,AWAY,SAS,W (+6),1,17:08,.619,.563,10.6,0.0,5.4,9.4,0.0,0.0,0.0,20.6,141,112,8.7,4.1
6,2021-01-10,27-327,LAL,AWAY,HOU,W (+18),1,22:20,.389,.389,5.4,12.4,9.3,16.3,4.1,0.0,18.2,20.1,83,96,5.2,-3.1
7,2021-01-12,27-329,LAL,AWAY,HOU,W (+17),1,20:06,.778,.778,11.1,4.4,7.4,7.9,6.9,0.0,0.0,18.5,159,92,14.7,17.3
8,2021-01-13,27-330,LAL,AWAY,OKC,W (+29),1,19:54,.833,.833,0.0,15.4,7.9,6.5,2.5,0.0,0.0,12.7,168,102,9.2,6.6
9,2021-01-15,27-332,LAL,HOME,NOP,W (+17),1,24:42,.727,.727,0.0,4.7,2.1,7.1,2.0,0.0,8.3,21.1,120,104,11.7,5.8
10,2021-01-18,27-335,LAL,HOME,GSW,L (-2),1,22:54,.581,.500,5.4,9.7,7.7,11.1,0.0,0.0,22.5,8.2,118,119,3.2,-3.2
11,2021-01-21,27-338,LAL,AWAY,MIL,W (+7),1,27:19,1.057,1.050,0.0,14.2,6.3,0.0,0.0,3.0,15.5,21.6,148,111,18.4,14.4
12,2021-01-23,27-340,LAL,AWAY,CHI,W (+11),1,22:54,.625,.625,0.0,17.8,9.6,6.6,2.1,0.0,20.0,9.5,97,88,4.1,1.3
13,2021-01-25,27-342,LAL,AWAY,CLE,W (+7),1,27:52,.425,.350,0.0,4.3,2.1,9.4,0.0,0.0,0.0,18.0,109,123,3.5,-9.7
14,2021-01-27,27-344,LAL,AWAY,PHI,L (-1),1,27:08,.500,.500,0.0,14.0,7.1,9.0,1.8,0.0,25.0,6.6,91,109,3.6,0.5
15,2021-01-28,27-345,LAL,AWAY,DET,L (-15),1,27:55,.429,.429,0.0,9.3,4.2,5.6,0.0,3.4,12.5,13.2,81,118,2.5,-8.3
16,2021-01-30,27-347,LAL,AWAY,BOS,W (+1),1,20:12,.000,.000,0.0,11.6,5.5,0.0,0.0,0.0,33.3,13.4,0,109,-4.6,-18.8
