,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-27,25-156,LAL,HOME,MIN,W (+36),1,29:09,.833,.833,4.6,5.7,5.3,13.4,0.0,7.3,7.7,18.6,148,91,18.9,12.3
1,2021-01-03,25-163,LAL,AWAY,MEM,W (+14),1,30:03,.611,.611,0.0,9.4,4.8,4.6,0.0,5.2,25.0,17.9,88,105,4.7,-3.5
2,2021-01-05,25-165,LAL,AWAY,MEM,W (+2),1,30:15,.425,.400,3.8,16.5,10.6,0.0,0.0,0.0,14.5,10.0,80,100,2.3,-7.6
3,2021-01-07,25-167,LAL,HOME,SAS,L (-9),1,30:23,.406,.406,14.7,21.1,18.0,0.0,0.0,0.0,0.0,23.4,98,123,8.4,-6.0
4,2021-01-28,25-188,LAL,AWAY,DET,L (-15),1,29:56,.631,.618,10.7,30.3,19.6,0.0,0.0,3.1,5.4,28.4,121,115,16.8,6.9
5,2021-02-10,25-201,LAL,HOME,OKC,W (+1),1,38:58,.536,.536,3.0,24.7,13.8,4.2,1.3,0.0,0.0,16.5,110,104,12.8,0.2
6,2021-02-16,25-207,LAL,AWAY,MIN,W (+8),1,26:22,.583,.583,5.5,12.7,9.6,5.0,0.0,3.1,25.0,14.0,96,112,4.2,-5.0
7,2021-02-18,25-209,LAL,HOME,BRK,L (-11),1,34:11,.615,.615,17.1,15.2,16.2,0.0,1.5,3.7,18.8,21.4,108,119,13.1,0.9
8,2021-02-20,25-211,LAL,HOME,MIA,L (-2),1,34:14,.496,.476,3.1,8.9,6.1,0.0,0.0,0.0,0.0,30.8,96,104,11.1,-1.1
9,2021-02-22,25-213,LAL,HOME,WAS,L (-3),1,36:56,.438,.438,10.3,26.4,16.8,6.9,0.0,4.0,20.0,21.8,83,109,6.9,-6.0
10,2021-03-03,25-222,LAL,AWAY,SAC,L (-3),1,34:07,.586,.600,18.0,35.2,25.8,12.1,1.5,0.0,12.3,31.1,121,131,18.2,-1.3
11,2021-03-21,25-240,LAL,AWAY,PHO,L (-17),1,36:12,.385,.375,0.0,18.5,8.6,28.0,1.4,0.0,5.6,21.9,84,112,9.0,1.6
