,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,31-100,MIA,AWAY,ORL,L (-6),1,35:42,.552,.467,3.6,5.7,4.8,28.9,9.0,0.0,25.9,27.5,96,96,18.1,5.6
1,2020-12-25,31-102,MIA,HOME,NOP,W (+13),1,16:13,.286,.286,26.1,21.1,23.4,46.1,3.1,0.0,12.5,23.2,103,98,6.4,0.2
2,2021-01-01,31-109,MIA,AWAY,DAL,L (-10),1,26:49,.137,.000,3.6,8.9,6.0,12.3,3.7,0.0,29.1,17.9,35,94,-1.3,-11.4
3,2021-01-04,31-112,MIA,HOME,OKC,W (+28),1,25:42,.615,.500,0.0,11.4,6.6,32.2,1.9,0.0,0.0,26.6,140,92,17.7,6.8
4,2021-01-06,31-114,MIA,HOME,BOS,L (-2),1,33:08,.566,.474,6.7,16.7,12.2,19.8,0.0,6.8,4.2,34.6,117,113,22.3,7.2
5,2021-01-09,31-117,MIA,AWAY,WAS,W (+4),1,36:01,.630,.556,9.5,16.1,13.3,36.7,2.5,2.3,0.0,22.8,152,110,30.2,10.5
6,2021-01-30,31-138,MIA,HOME,SAC,W (+1),1,33:36,.576,.421,3.8,20.4,12.5,46.5,0.0,0.0,0.0,36.0,138,114,26.8,9.1
7,2021-02-01,31-140,MIA,HOME,CHO,L (-8),1,37:14,.584,.529,10.4,16.7,13.9,23.6,5.5,0.0,12.3,29.7,120,117,23.1,5.0
8,2021-02-03,31-142,MIA,HOME,WAS,L (-3),1,37:09,.600,.455,8.8,13.2,11.1,39.4,1.4,0.0,0.0,19.4,150,111,23.0,8.4
9,2021-02-05,31-144,MIA,HOME,WAS,W (+27),1,25:38,.665,.571,5.1,25.7,17.0,47.5,5.6,3.3,16.0,20.9,143,82,20.3,15.8
10,2021-02-07,31-146,MIA,AWAY,NYK,W (+6),1,34:15,.522,.273,7.0,23.4,15.9,35.2,1.5,0.0,19.7,27.6,111,108,16.8,1.6
11,2021-02-09,31-148,MIA,HOME,NYK,W (+2),1,36:20,.602,.433,0.0,24.6,12.6,73.1,1.4,2.2,8.5,32.1,130,101,25.8,12.7
12,2021-02-11,31-150,MIA,AWAY,HOU,W (+7),1,39:07,.591,.472,2.9,22.5,13.5,50.7,0.0,0.0,11.6,29.4,125,100,24.2,7.1
13,2021-02-13,31-152,MIA,AWAY,UTA,L (-18),1,31:39,.491,.350,9.9,16.9,13.3,24.9,4.5,0.0,16.4,25.1,102,107,13.5,2.9
14,2021-02-15,31-154,MIA,AWAY,LAC,L (-7),1,37:57,.641,.526,9.3,23.9,16.2,37.9,2.6,0.0,4.1,28.4,145,127,32.5,11.6
15,2021-02-17,31-156,MIA,AWAY,GSW,L (-8),1,40:58,.433,.433,5.9,25.4,16.3,39.3,3.6,0.0,25.0,22.1,91,105,14.2,0.0
16,2021-02-18,31-157,MIA,AWAY,SAC,W (+8),1,34:50,.505,.500,10.6,19.3,15.5,44.0,1.4,0.0,18.9,19.3,119,108,17.1,1.9
17,2021-02-20,31-159,MIA,AWAY,LAL,W (+2),1,34:05,.492,.400,12.0,12.5,12.2,28.5,2.9,0.0,17.0,37.9,96,96,16.1,3.3
