,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,26-017,MIL,AWAY,BOS,L (-1),1,36:24,.593,.558,6.9,28.4,19.3,9.1,0.0,4.3,19.2,42.3,104,119,19.7,-1.6
1,2020-12-25,26-019,MIL,HOME,GSW,W (+39),1,26:42,.364,.286,16.3,27.4,22.7,16.8,0.0,0.0,8.8,34.3,95,92,9.1,-9.5
2,2020-12-27,26-021,MIL,AWAY,NYK,L (-20),1,31:59,.652,.633,5.5,47.2,21.7,27.3,4.5,0.0,12.6,30.0,124,119,25.1,13.1
3,2020-12-29,26-023,MIL,AWAY,MIA,W (+47),1,24:14,.402,.333,0.0,31.3,15.8,26.4,5.7,0.0,15.2,22.6,105,87,9.3,-1.2
4,2020-12-30,26-024,MIL,AWAY,MIA,L (-11),1,38:01,.658,.611,4.4,33.9,16.6,46.1,3.7,2.9,16.8,24.9,126,108,27.6,13.3
5,2021-01-01,26-026,MIL,HOME,CHI,W (+30),1,27:46,.539,.500,4.2,42.3,24.1,52.3,3.2,5.7,6.9,43.4,118,81,25.5,11.6
6,2021-01-04,26-029,MIL,HOME,DET,W (+10),1,36:04,.769,.750,8.3,19.4,15.0,20.2,0.0,2.3,9.7,37.1,141,114,34.6,10.7
7,2021-01-06,26-031,MIL,HOME,DET,W (+15),1,28:28,.591,.567,8.2,19.1,14.4,19.0,0.0,3.0,19.1,39.0,105,113,15.4,-3.7
8,2021-01-08,26-033,MIL,HOME,UTA,L (-13),1,32:41,.623,.600,3.0,22.3,12.4,25.1,0.0,3.3,6.6,37.0,123,127,25.8,12.3
9,2021-01-11,26-036,MIL,AWAY,ORL,W (+22),1,27:17,.577,.563,0.0,22.5,12.1,22.0,1.8,5.9,17.3,35.7,104,99,13.8,1.1
10,2021-01-13,26-038,MIL,AWAY,DET,W (+9),1,33:28,.567,.533,6.5,22.5,15.1,46.3,2.9,7.5,20.5,33.3,113,95,21.4,9.7
11,2021-01-15,26-040,MIL,HOME,DAL,W (+3),1,30:12,.610,.714,8.5,18.3,13.2,7.7,0.0,2.6,16.4,41.3,97,109,17.0,3.7
12,2021-01-18,26-043,MIL,AWAY,BRK,L (-2),1,39:48,.576,.538,2.3,35.9,16.1,27.8,2.3,0.0,3.3,30.5,124,117,29.7,13.1
13,2021-01-21,26-046,MIL,HOME,LAL,L (-7),1,35:04,.666,.676,3.7,32.0,19.6,14.2,0.0,2.7,32.4,35.8,86,114,12.1,-4.5
14,2021-01-24,26-049,MIL,HOME,ATL,W (+14),1,36:22,.689,.692,10.4,35.4,23.4,27.7,0.0,3.0,20.3,27.3,126,117,24.2,7.3
15,2021-01-27,26-052,MIL,AWAY,TOR,W (+7),1,37:47,.595,.571,2.5,39.3,21.8,38.3,1.3,3.3,19.9,27.0,111,100,22.6,6.8
16,2021-01-29,26-054,MIL,AWAY,NOP,L (-5),1,38:51,.632,.593,8.2,20.2,14.5,21.0,2.4,5.1,11.7,35.8,122,121,30.9,9.0
17,2021-01-30,26-055,MIL,AWAY,CHO,L (-12),1,39:24,.632,.632,5.8,43.3,25.2,43.2,1.2,2.5,10.0,33.9,131,122,33.1,11.3
18,2021-02-01,26-057,MIL,HOME,POR,W (+28),1,25:46,.731,.727,4.7,9.6,7.6,29.3,0.0,3.0,7.5,21.9,151,110,17.4,5.8
19,2021-02-03,26-059,MIL,HOME,IND,W (+20),1,30:38,.911,.875,6.4,37.6,22.2,42.3,2.9,2.6,25.8,20.2,154,98,28.5,17.0
20,2021-02-05,26-061,MIL,AWAY,CLE,W (+18),1,33:20,.579,.540,6.7,30.6,19.2,18.4,1.4,9.6,9.5,38.6,116,93,26.7,11.0
21,2021-02-06,26-062,MIL,AWAY,CLE,W (+25),1,31:49,.605,.567,0.0,36.9,20.0,21.6,0.0,0.0,13.1,33.1,115,102,17.3,0.4
22,2021-02-08,26-064,MIL,AWAY,DEN,W (+13),1,34:18,.566,.522,6.8,20.8,14.3,0.0,0.0,7.2,7.0,36.7,113,113,20.7,0.4
23,2021-02-10,26-066,MIL,AWAY,PHO,L (-1),1,37:55,.729,.652,5.6,27.8,16.2,26.4,1.3,0.0,5.8,40.4,149,127,41.1,15.9
