,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-26,20-197,OKC,AWAY,CHO,W (+2),1,32:56,.625,.625,3.4,22.6,14.4,4.9,1.4,4.8,7.7,16.5,116,100,14.5,2.6
1,2020-12-28,20-199,OKC,HOME,UTA,L (-1),1,33:21,.507,.500,0.0,41.7,19.8,0.0,0.0,2.9,25.3,15.6,72,110,4.8,-6.3
2,2020-12-29,20-200,OKC,HOME,ORL,L (-11),1,28:31,.214,.214,7.7,13.7,10.9,8.9,0.0,4.5,12.5,23.3,56,115,0.8,-13.0
3,2020-12-31,20-202,OKC,HOME,NOP,L (-33),1,26:44,.478,.333,3.5,11.5,7.3,13.6,0.0,3.3,35.3,19.2,72,119,2.5,-10.1
4,2021-01-02,20-204,OKC,AWAY,ORL,W (+9),1,32:24,.839,.800,0.0,29.1,16.6,10.7,0.0,2.1,0.0,15.9,167,95,20.5,10.3
5,2021-01-04,20-206,OKC,AWAY,MIA,L (-28),1,25:55,.707,.650,0.0,41.2,17.4,18.8,3.8,3.9,15.0,23.3,115,111,15.1,10.4
6,2021-01-06,20-208,OKC,AWAY,NOP,W (+1),1,33:57,.489,.475,3.0,36.2,18.9,14.8,1.4,0.0,12.8,30.7,87,105,12.1,-4.7
7,2021-01-08,20-210,OKC,AWAY,NYK,W (+12),1,23:23,.222,.222,4.2,19.9,12.9,0.0,0.0,3.0,10.0,19.1,50,92,0.3,-11.3
8,2021-01-10,20-212,OKC,AWAY,BRK,W (+13),1,33:19,.417,.417,3.6,15.6,9.4,6.2,0.0,5.6,14.3,9.4,92,114,4.9,-4.4
9,2021-01-12,20-214,OKC,HOME,SAS,L (-10),1,32:43,.403,.357,3.2,14.1,9.0,9.7,0.0,2.4,6.3,21.4,85,112,6.3,-4.3
10,2021-01-13,20-215,OKC,HOME,LAL,L (-29),1,24:35,.255,.200,4.2,17.4,10.6,0.0,2.0,0.0,14.5,12.8,55,130,0.6,-14.2
11,2021-01-15,20-217,OKC,HOME,CHI,W (+2),1,27:33,.338,.292,0.0,20.9,9.6,9.1,3.3,0.0,23.1,26.3,58,104,1.5,-12.0
12,2021-01-19,20-221,OKC,AWAY,DEN,L (-18),1,23:43,.545,.545,4.1,4.0,4.1,0.0,0.0,6.4,8.3,21.1,97,122,7.7,-1.2
13,2021-01-22,20-224,OKC,AWAY,LAC,L (-14),1,33:22,.450,.500,0.0,16.9,7.5,3.9,0.0,0.0,0.0,12.3,89,128,4.7,-5.7
14,2021-01-24,20-226,OKC,AWAY,LAC,L (-8),1,28:59,.643,.643,0.0,38.8,18.8,9.4,0.0,0.0,36.4,16.4,80,109,5.6,-4.6
15,2021-01-25,20-227,OKC,AWAY,POR,W (+3),1,28:47,.696,.682,3.8,20.4,12.6,10.1,0.0,0.0,6.8,22.7,136,127,15.8,1.7
16,2021-01-27,20-229,OKC,AWAY,PHO,W (+5),1,30:08,.360,.346,0.0,21.4,11.5,5.0,0.0,0.0,6.7,22.5,70,101,3.5,-10.0
17,2021-01-29,20-231,OKC,HOME,BRK,L (-22),1,32:35,.709,.667,0.0,18.4,8.6,18.1,1.4,2.7,16.8,15.5,124,136,13.3,0.7
18,2021-02-01,20-234,OKC,HOME,HOU,L (-30),1,30:08,.508,.500,3.3,16.9,10.1,5.4,0.0,0.0,11.9,23.6,93,136,8.0,-10.9
19,2021-02-03,20-236,OKC,HOME,HOU,W (+17),1,34:15,.610,.538,0.0,33.0,18.3,10.2,0.0,7.0,11.9,20.3,109,82,14.9,2.9
20,2021-02-05,20-238,OKC,HOME,MIN,L (-3),1,35:23,.381,.321,0.0,29.5,15.6,4.0,0.0,0.0,6.0,20.8,78,109,6.1,-11.9
21,2021-02-06,20-239,OKC,HOME,MIN,W (+2),1,25:59,.553,.550,0.0,15.4,8.9,5.0,1.8,0.0,14.5,22.3,97,116,7.7,-5.4
22,2021-02-08,20-241,OKC,AWAY,LAL,L (-7),1,41:58,.453,.381,3.9,35.4,17.7,11.1,1.1,0.0,14.7,26.4,88,103,13.0,-1.9
23,2021-02-10,20-243,OKC,AWAY,LAL,L (-1),1,42:51,.300,.300,0.0,19.2,9.7,5.9,0.0,2.3,11.8,17.6,58,109,1.9,-11.4
24,2021-02-12,20-245,OKC,AWAY,DEN,L (-2),1,29:03,.354,.278,3.6,22.0,12.7,10.1,0.0,3.5,16.8,17.9,75,103,4.1,-6.3
25,2021-02-14,20-247,OKC,HOME,MIL,W (+5),1,31:37,.692,.692,0.0,15.5,7.9,13.9,3.0,0.0,0.0,17.2,142,105,17.3,7.3
26,2021-02-16,20-249,OKC,HOME,POR,L (-11),1,36:06,.376,.281,0.0,14.8,8.0,25.2,1.4,2.7,0.0,23.0,93,117,11.7,-1.3
27,2021-02-17,20-250,OKC,AWAY,MEM,L (-9),1,31:54,.643,.643,0.0,26.3,12.7,12.3,0.0,0.0,12.5,22.2,105,123,12.5,0.1
28,2021-02-19,20-252,OKC,AWAY,MIL,L (-13),1,20:33,.429,.429,0.0,23.8,10.9,0.0,2.4,0.0,12.5,17.9,69,98,3.4,-2.5
29,2021-02-21,20-254,OKC,AWAY,CLE,W (+16),1,30:17,.286,.286,4.8,20.7,14.0,4.0,1.7,0.0,0.0,10.7,78,106,3.7,-7.6
30,2021-02-22,20-255,OKC,HOME,MIA,L (-14),1,31:30,.722,.722,0.0,17.7,9.2,6.3,1.6,0.0,30.8,19.9,87,115,7.5,-1.2
31,2021-02-24,20-257,OKC,HOME,SAS,W (+3),1,30:18,.000,.000,9.9,23.1,16.5,0.0,0.0,0.0,20.0,14.3,21,104,-3.4,-18.1
32,2021-02-26,20-259,OKC,HOME,ATL,W (+9),1,28:43,.654,.708,8.4,31.5,21.6,5.1,1.7,2.9,17.9,26.7,104,102,15.0,1.0
33,2021-02-27,20-260,OKC,HOME,DEN,L (-30),1,32:28,.619,.594,0.0,16.4,6.9,0.0,0.0,2.5,0.0,24.2,117,129,15.5,1.8
34,2021-03-03,20-264,OKC,AWAY,DAL,L (-9),1,28:01,.403,.364,3.2,35.0,17.5,0.0,0.0,0.0,6.8,23.3,80,92,5.7,-0.7
35,2021-03-04,20-265,OKC,AWAY,SAS,W (+5),1,30:21,.420,.350,0.0,37.7,17.4,0.0,1.6,2.9,18.7,22.6,70,96,5.7,-7.1
36,2021-04-10,20-302,OKC,HOME,PHI,L (-24),1,35:41,.708,.708,3.4,20.7,13.2,23.5,1.4,0.0,42.9,26.6,83,115,9.2,-1.5
