,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-26,22-167,OKC,AWAY,CHO,W (+2),1,34:22,.492,.425,6.5,12.0,9.7,43.6,0.0,2.3,17.0,35.8,99,107,15.3,-1.9
1,2020-12-28,22-169,OKC,HOME,UTA,L (-1),1,36:25,.505,.452,0.0,10.4,4.9,32.8,1.3,2.6,14.9,32.3,99,113,14.2,-1.6
2,2020-12-29,22-170,OKC,HOME,ORL,L (-11),1,33:20,.943,.950,0.0,20.6,10.8,32.0,0.0,0.0,29.1,21.5,137,117,20.4,7.2
3,2020-12-31,22-172,OKC,HOME,NOP,L (-33),1,28:30,.368,.400,3.3,10.8,6.9,27.0,3.5,0.0,15.5,20.5,75,113,5.0,-4.4
4,2021-01-02,22-174,OKC,AWAY,ORL,W (+9),1,34:46,.417,.353,0.0,9.1,5.2,31.1,0.0,2.0,5.0,26.5,96,105,10.3,-3.8
5,2021-01-04,22-176,OKC,AWAY,MIA,L (-28),1,27:51,.567,.533,0.0,9.6,4.1,40.7,0.0,0.0,11.2,29.1,103,125,10.9,-0.5
6,2021-01-06,22-178,OKC,AWAY,NOP,W (+1),1,36:30,.535,.471,0.0,15.3,7.3,38.4,6.4,0.0,9.2,26.3,113,99,21.5,7.3
7,2021-01-08,22-180,OKC,AWAY,NYK,W (+12),1,34:29,.751,.750,11.4,13.5,12.5,38.3,0.0,2.0,15.3,25.5,142,95,24.4,15.9
8,2021-01-10,22-182,OKC,AWAY,BRK,W (+13),1,36:01,.794,.750,3.3,18.0,10.4,27.2,2.6,2.6,9.3,26.7,153,110,30.4,11.6
9,2021-01-12,22-184,OKC,HOME,SAS,L (-10),1,33:29,.716,.700,6.2,19.3,13.2,11.0,0.0,0.0,12.5,21.0,131,114,16.7,2.2
10,2021-01-13,22-185,OKC,HOME,LAL,L (-29),1,27:16,.564,.458,0.0,7.8,3.8,6.2,0.0,0.0,11.7,28.5,103,137,9.1,-7.1
11,2021-01-15,22-187,OKC,HOME,CHI,W (+2),1,43:31,.795,.763,0.0,13.2,6.1,37.9,1.0,0.0,4.6,20.9,159,111,31.4,10.8
12,2021-01-19,22-191,OKC,AWAY,DEN,L (-18),1,27:13,.513,.500,0.0,17.6,8.9,45.4,0.0,2.8,22.7,27.0,95,117,10.2,-1.3
13,2021-01-22,22-194,OKC,AWAY,LAC,L (-14),1,38:37,.663,.600,0.0,11.0,4.8,36.4,2.6,0.0,11.7,30.7,125,124,25.1,8.0
14,2021-01-24,22-196,OKC,AWAY,LAC,L (-8),1,36:43,.617,.531,2.6,13.9,8.1,29.0,0.0,0.0,9.7,24.3,126,115,18.9,4.8
15,2021-01-25,22-197,OKC,AWAY,POR,W (+3),1,32:24,.732,.792,0.0,27.2,14.3,28.5,1.5,5.2,15.5,26.8,130,118,23.1,8.7
16,2021-01-27,22-199,OKC,AWAY,PHO,W (+5),1,31:20,.478,.389,3.4,17.7,11.1,42.5,3.1,5.9,15.4,37.8,98,91,17.5,7.0
17,2021-01-29,22-201,OKC,HOME,BRK,L (-22),1,31:09,.763,.700,3.3,11.6,7.2,26.4,0.0,2.8,20.3,26.9,132,141,19.6,-0.4
