,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Sat, Dec 26, 2020",2020,12,26,7:00p,False,CHO,W,False,109,107,1,0,W 1
1,"Mon, Dec 28, 2020",2020,12,28,8:00p,True,UTA,L,False,109,110,1,1,L 1
2,"Tue, Dec 29, 2020",2020,12,29,8:00p,True,ORL,L,False,107,118,1,2,L 2
3,"Thu, Dec 31, 2020",2020,12,31,8:00p,True,NOP,L,False,80,113,1,3,L 3
4,"Sat, Jan 2, 2021",2021,1,2,7:00p,False,ORL,W,False,108,99,2,3,W 1
5,"Mon, Jan 4, 2021",2021,1,4,7:30p,False,MIA,L,False,90,118,2,4,L 1
6,"Wed, Jan 6, 2021",2021,1,6,8:00p,False,NOP,W,False,111,110,3,4,W 1
7,"Fri, Jan 8, 2021",2021,1,8,7:30p,False,NYK,W,False,101,89,4,4,W 2
8,"Sun, Jan 10, 2021",2021,1,10,6:00p,False,BRK,W,False,129,116,5,4,W 3
9,"Tue, Jan 12, 2021",2021,1,12,8:00p,True,SAS,L,False,102,112,5,5,L 1
10,"Wed, Jan 13, 2021",2021,1,13,8:00p,True,LAL,L,False,99,128,5,6,L 2
11,"Fri, Jan 15, 2021",2021,1,15,8:00p,True,CHI,W,True,127,125,6,6,W 1
12,"Tue, Jan 19, 2021",2021,1,19,9:00p,False,DEN,L,False,101,119,6,7,L 1
13,"Fri, Jan 22, 2021",2021,1,22,10:00p,False,LAC,L,False,106,120,6,8,L 2
14,"Sun, Jan 24, 2021",2021,1,24,4:00p,False,LAC,L,False,100,108,6,9,L 3
15,"Mon, Jan 25, 2021",2021,1,25,10:00p,False,POR,W,False,125,122,7,9,W 1
16,"Wed, Jan 27, 2021",2021,1,27,9:00p,False,PHO,W,False,102,97,8,9,W 2
17,"Fri, Jan 29, 2021",2021,1,29,8:00p,True,BRK,L,False,125,147,8,10,L 1
18,"Mon, Feb 1, 2021",2021,2,1,8:00p,True,HOU,L,False,106,136,8,11,L 2
19,"Wed, Feb 3, 2021",2021,2,3,8:00p,True,HOU,W,False,104,87,9,11,W 1
21,"Fri, Feb 5, 2021",2021,2,5,8:00p,True,MIN,L,False,103,106,9,12,L 1
22,"Sat, Feb 6, 2021",2021,2,6,8:00p,True,MIN,W,False,120,118,10,12,W 1
23,"Mon, Feb 8, 2021",2021,2,8,10:00p,False,LAL,L,True,112,119,10,13,L 1
24,"Wed, Feb 10, 2021",2021,2,10,10:00p,False,LAL,L,True,113,114,10,14,L 2
25,"Fri, Feb 12, 2021",2021,2,12,9:00p,False,DEN,L,False,95,97,10,15,L 3
26,"Sun, Feb 14, 2021",2021,2,14,8:00p,True,MIL,W,False,114,109,11,15,W 1
27,"Tue, Feb 16, 2021",2021,2,16,8:00p,True,POR,L,False,104,115,11,16,L 1
28,"Wed, Feb 17, 2021",2021,2,17,9:00p,False,MEM,L,False,113,122,11,17,L 2
29,"Fri, Feb 19, 2021",2021,2,19,8:00p,False,MIL,L,False,85,98,11,18,L 3
30,"Sun, Feb 21, 2021",2021,2,21,7:00p,False,CLE,W,False,117,101,12,18,W 1
31,"Mon, Feb 22, 2021",2021,2,22,9:00p,True,MIA,L,False,94,108,12,19,L 1
32,"Wed, Feb 24, 2021",2021,2,24,8:00p,True,SAS,W,False,102,99,13,19,W 1
33,"Fri, Feb 26, 2021",2021,2,26,8:00p,True,ATL,W,False,118,109,14,19,W 2
34,"Sat, Feb 27, 2021",2021,2,27,8:00p,True,DEN,L,False,96,126,14,20,L 1
35,"Wed, Mar 3, 2021",2021,3,3,8:30p,False,DAL,L,False,78,87,14,21,L 2
36,"Thu, Mar 4, 2021",2021,3,4,9:00p,False,SAS,W,False,107,102,15,21,W 1
37,"Thu, Mar 11, 2021",2021,3,11,9:00p,True,DAL,W,False,116,108,16,21,W 2
38,"Sat, Mar 13, 2021",2021,3,13,2:00p,True,NYK,L,False,97,119,16,22,L 1
39,"Sun, Mar 14, 2021",2021,3,14,2:00p,True,MEM,W,False,128,122,17,22,W 1
40,"Tue, Mar 16, 2021",2021,3,16,8:00p,False,CHI,L,False,102,123,17,23,L 1
42,"Thu, Mar 18, 2021",2021,3,18,7:30p,False,ATL,L,False,93,116,17,24,L 2
43,"Sun, Mar 21, 2021",2021,3,21,2:00p,False,HOU,W,False,114,112,18,24,W 1
