,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-01-08,30-191,ORL,AWAY,HOU,L (-42),1,19:54,.381,.286,4.7,12.1,8.0,16.5,2.5,0.0,11.3,19.8,84,134,3.4,-10.1
1,2021-01-09,30-192,ORL,AWAY,DAL,L (-14),1,20:39,.400,.400,0.0,11.9,5.3,7.0,7.3,0.0,16.7,13.0,73,106,4.6,-2.2
2,2021-01-11,30-194,ORL,HOME,MIL,L (-22),1,15:21,.500,.500,0.0,15.6,7.2,8.7,3.2,0.0,25.0,10.9,86,119,2.6,-3.9
3,2021-01-15,30-198,ORL,AWAY,BOS,L (-27),1,14:34,.250,.250,0.0,8.9,3.6,0.0,0.0,0.0,0.0,11.5,58,131,-1.3,-17.7
4,2021-01-16,30-199,ORL,AWAY,BRK,L (-7),1,14:10,.500,.500,7.4,20.5,12.9,0.0,0.0,7.9,50.0,11.9,60,120,-0.2,-15.4
5,2021-01-18,30-201,ORL,AWAY,NYK,L (-7),1,24:17,.417,.417,0.0,7.3,3.8,15.8,2.2,6.6,14.3,13.3,81,97,3.4,-2.1
6,2021-01-20,30-203,ORL,AWAY,MIN,W (+1),1,27:37,.625,.625,3.6,8.1,5.7,16.0,0.0,0.0,0.0,6.2,149,110,6.4,-1.9
7,2021-01-22,30-205,ORL,AWAY,IND,L (-2),1,27:59,.643,.643,7.7,12.9,10.2,10.7,0.0,0.0,12.5,12.8,127,123,7.6,-3.1
8,2021-01-24,30-207,ORL,HOME,CHO,L (-3),1,21:30,.571,.571,14.9,10.9,13.0,13.8,4.7,4.3,12.5,16.6,121,103,9.3,6.7
9,2021-01-25,30-208,ORL,HOME,CHO,W (+9),1,13:54,.000,.000,0.0,27.6,15.3,24.7,3.4,6.8,50.0,6.1,80,96,2.1,-1.7
10,2021-01-27,30-210,ORL,HOME,SAC,L (-14),1,19:15,.820,.875,0.0,5.3,2.6,0.0,2.5,0.0,17.0,12.4,124,124,4.3,-6.4
11,2021-01-29,30-212,ORL,HOME,LAC,L (-26),1,18:23,1.500,1.500,5.0,22.7,13.3,9.8,5.3,0.0,50.0,9.2,112,107,7.6,7.6
12,2021-01-31,30-214,ORL,AWAY,TOR,L (-13),1,19:26,.680,.700,0.0,22.0,11.0,0.0,0.0,0.0,0.0,13.9,126,121,5.3,-5.4
13,2021-02-02,30-216,ORL,HOME,TOR,L (-15),1,19:20,.776,.750,11.5,11.5,11.5,8.0,2.5,0.0,13.4,16.6,141,123,9.7,4.5
14,2021-02-05,30-219,ORL,HOME,CHI,W (+4),1,23:22,.822,.600,0.0,12.6,6.9,0.0,2.0,0.0,0.0,15.6,178,117,12.8,2.9
15,2021-02-06,30-220,ORL,HOME,CHI,L (-26),1,29:19,.387,.167,9.6,15.2,12.2,4.6,0.0,0.0,11.4,12.9,96,131,4.0,-12.7
16,2021-02-09,30-223,ORL,AWAY,POR,L (-9),1,34:51,.714,.722,2.5,13.2,7.7,9.1,1.4,3.1,8.2,15.6,132,111,14.4,3.2
17,2021-02-11,30-225,ORL,AWAY,GSW,L (-6),1,38:49,.708,.708,9.9,16.5,13.0,4.2,2.4,0.0,20.0,15.5,119,109,14.1,0.9
18,2021-02-12,30-226,ORL,AWAY,SAC,W (+11),1,19:05,.694,.600,11.4,6.3,9.0,26.2,5.1,0.0,0.0,16.5,168,107,13.4,11.0
19,2021-02-19,30-233,ORL,HOME,GSW,W (+4),1,15:17,.595,.600,7.1,42.3,26.2,15.8,0.0,0.0,0.0,16.1,137,113,6.9,0.4
20,2021-02-21,30-235,ORL,HOME,DET,W (+9),1,20:48,.387,.333,0.0,8.4,4.6,7.1,0.0,0.0,0.0,8.5,88,105,1.8,-8.8
