,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-01-02,29-084,ORL,HOME,OKC,L (-9),1,31:09,.182,.182,10.1,16.7,13.0,4.2,0.0,0.0,8.3,15.5,58,113,-0.9,-16.4
1,2021-01-04,29-086,ORL,HOME,CLE,W (+20),1,17:43,.000,.000,6.2,0.0,3.0,21.4,0.0,4.8,33.3,14.4,43,98,-2.1,-15.1
2,2021-02-12,29-125,ORL,AWAY,SAC,W (+11),1,27:06,.538,.469,8.1,22.1,14.8,36.9,0.0,0.0,13.3,36.3,115,116,15.4,-3.1
3,2021-02-14,29-127,ORL,AWAY,PHO,L (-19),1,29:39,.421,.357,2.8,3.2,3.0,26.0,0.0,0.0,10.7,27.8,87,121,6.0,-6.1
4,2021-02-17,29-130,ORL,HOME,NYK,W (+18),1,29:30,.322,.250,0.0,6.5,3.4,29.4,1.7,0.0,17.7,17.0,87,97,4.5,-6.5
5,2021-02-19,29-132,ORL,HOME,GSW,W (+4),1,32:59,.288,.231,9.9,2.8,6.1,16.9,1.4,5.3,26.5,24.0,70,114,1.4,-13.5
6,2021-02-21,29-134,ORL,HOME,DET,W (+9),1,27:29,.387,.333,7.8,22.2,15.7,26.3,1.8,3.4,34.0,9.8,97,94,6.4,-2.1
7,2021-02-23,29-136,ORL,HOME,DET,L (-12),1,30:04,.557,.500,6.3,13.9,9.9,30.0,0.0,3.0,16.8,17.3,111,110,10.7,-1.0
8,2021-02-25,29-138,ORL,AWAY,BRK,L (-37),1,23:52,.652,.625,0.0,0.0,0.0,40.3,0.0,0.0,19.2,18.8,114,131,8.5,-0.7
9,2021-02-27,29-140,ORL,HOME,UTA,L (-15),1,25:30,.512,.500,0.0,9.4,4.2,32.7,0.0,0.0,17.0,10.8,122,134,5.1,-6.6
10,2021-03-01,29-142,ORL,HOME,DAL,L (-6),1,29:19,.648,.654,7.3,23.4,15.1,29.0,1.6,0.0,12.6,23.8,130,127,16.9,2.7
11,2021-03-03,29-144,ORL,HOME,ATL,L (-3),1,34:26,.727,.667,0.0,19.9,9.5,37.2,2.9,3.5,12.7,20.7,138,115,19.4,6.6
12,2021-03-11,29-152,ORL,AWAY,MIA,L (-8),1,29:31,.535,.533,6.4,6.5,6.4,43.8,1.7,0.0,27.4,30.5,93,115,10.0,-3.7
13,2021-03-12,29-153,ORL,AWAY,SAS,L (-27),1,20:47,.278,.278,0.0,21.0,10.2,28.4,0.0,0.0,40.0,33.5,42,111,-4.8,-23.3
14,2021-03-14,29-155,ORL,HOME,MIA,L (-5),1,33:47,.441,.375,6.9,3.0,4.8,34.6,0.0,0.0,28.2,18.8,94,114,6.4,-5.4
15,2021-03-21,29-162,ORL,AWAY,BOS,L (-16),1,22:05,.595,.600,0.0,10.4,4.9,34.1,0.0,13.2,25.4,16.6,101,121,6.3,-1.4
16,2021-03-23,29-164,ORL,HOME,DEN,L (-11),1,32:35,.371,.389,3.1,21.6,11.6,12.8,0.0,0.0,17.5,15.7,75,121,2.5,-11.9
17,2021-03-24,29-165,ORL,HOME,PHO,W (+1),1,23:14,.383,.350,4.5,8.3,6.5,17.3,4.2,0.0,8.7,21.6,91,109,4.6,-4.4
18,2021-03-28,29-169,ORL,AWAY,LAL,L (-3),1,13:08,.000,.000,0.0,22.4,10.6,32.2,3.9,0.0,25.0,27.7,21,95,-2.2,-18.5
19,2021-03-30,29-171,ORL,AWAY,LAC,W (+7),1,31:47,.340,.300,3.0,19.3,10.8,40.6,4.9,5.8,0.0,16.0,105,93,14.6,9.0
20,2021-04-07,29-179,ORL,HOME,WAS,L (-15),1,20:37,.752,.833,10.8,14.1,12.3,33.6,9.4,4.8,18.8,21.7,138,112,16.6,18.7
21,2021-04-09,29-181,ORL,HOME,IND,L (-5),1,22:28,.507,.438,0.0,8.7,4.3,20.3,0.0,0.0,18.4,19.6,94,112,4.1,-6.3
22,2021-04-11,29-183,ORL,HOME,MIL,L (-37),1,22:09,.398,.400,4.2,5.2,4.7,9.3,0.0,4.0,15.0,26.6,71,133,2.4,-12.6
23,2021-04-12,29-184,ORL,HOME,SAS,L (-23),1,22:51,.208,.200,4.6,9.3,6.9,12.4,6.5,0.0,21.7,17.7,51,115,1.6,-8.1
24,2021-04-14,29-186,ORL,AWAY,CHI,W (+9),1,27:05,.545,.542,3.9,31.0,16.5,15.9,1.9,3.6,12.7,26.7,106,113,12.4,-2.5
