,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,26-282,PHI,HOME,WAS,W (+6),1,34:50,.692,.618,6.1,39.4,22.2,10.1,0.0,2.4,12.5,28.4,127,104,23.6,6.4
1,2020-12-26,26-285,PHI,AWAY,NYK,W (+20),1,30:39,.585,.550,14.9,19.6,17.4,12.4,1.7,2.9,4.2,34.4,128,93,21.7,11.3
2,2020-12-29,26-288,PHI,HOME,TOR,W (+7),1,37:53,.603,.441,11.0,27.6,20.1,21.9,2.4,5.6,17.2,31.6,112,84,26.3,10.5
3,2020-12-31,26-290,PHI,AWAY,ORL,W (+24),1,26:41,.723,.682,0.0,28.4,15.9,11.5,0.0,5.4,0.0,23.4,150,87,20.0,11.3
4,2021-01-02,26-292,PHI,HOME,CHO,W (+15),1,36:44,.696,.682,11.9,27.6,21.5,13.8,1.3,2.3,26.8,22.0,114,108,17.4,-0.8
5,2021-01-04,26-294,PHI,HOME,CHO,W (+17),1,24:54,.518,.400,3.6,39.3,20.8,20.1,3.8,12.3,6.9,24.3,116,82,17.0,11.3
6,2021-01-06,26-296,PHI,HOME,WAS,W (+5),1,36:36,.739,.625,0.0,24.4,15.0,18.4,3.6,6.9,16.3,36.1,126,115,34.0,8.6
7,2021-01-07,26-297,PHI,AWAY,BRK,L (-13),1,29:52,.617,.571,0.0,35.7,20.3,16.2,0.0,2.7,23.6,29.4,94,108,12.0,-0.8
8,2021-01-11,26-301,PHI,AWAY,ATL,L (-18),1,22:49,.585,.500,7.9,34.4,21.4,10.4,0.0,3.8,12.8,46.4,105,106,16.6,7.1
9,2021-01-12,26-302,PHI,HOME,MIA,W (+3),1,39:20,.783,.696,5.6,37.7,22.0,19.0,6.0,2.8,12.2,33.9,147,102,44.6,17.0
10,2021-01-14,26-304,PHI,HOME,MIA,W (+17),1,23:36,.461,.438,0.0,26.1,13.4,5.4,2.0,0.0,23.5,23.5,73,107,3.6,-11.5
11,2021-01-20,26-310,PHI,HOME,BOS,W (+8),1,32:53,.744,.658,0.0,36.5,17.0,15.8,1.5,2.6,3.4,40.0,150,108,36.2,18.7
12,2021-01-22,26-312,PHI,HOME,BOS,W (+12),1,30:13,.880,.800,14.9,28.2,22.7,17.3,1.6,0.0,18.8,38.2,150,112,32.1,15.7
13,2021-01-23,26-313,PHI,AWAY,DET,W (+4),1,35:05,.600,.525,14.6,27.4,20.8,5.6,1.3,5.2,9.8,36.4,122,105,26.5,7.8
14,2021-01-27,26-317,PHI,HOME,LAL,W (+1),1,37:43,.590,.472,3.3,17.2,10.2,16.5,0.0,4.1,17.4,34.0,106,110,17.6,1.7
15,2021-01-29,26-319,PHI,AWAY,MIN,W (+24),1,26:38,.687,.553,11.8,33.5,22.3,25.8,1.8,0.0,0.0,42.7,154,94,33.3,23.2
16,2021-02-03,26-324,PHI,AWAY,CHO,W (+7),1,33:45,.794,.735,0.0,39.1,20.3,11.2,2.9,2.8,18.9,33.8,128,103,27.3,11.7
17,2021-02-04,26-325,PHI,HOME,POR,L (-16),1,33:32,.741,.667,3.4,11.9,8.0,7.5,1.5,2.1,16.7,39.1,122,123,26.8,7.8
18,2021-02-06,26-327,PHI,HOME,BRK,W (+16),1,31:04,.608,.500,7.9,23.5,16.4,14.2,4.5,0.0,15.5,41.9,116,100,24.3,5.7
19,2021-02-09,26-330,PHI,AWAY,SAC,W (+8),1,34:58,.591,.400,12.8,32.4,23.8,25.1,2.6,4.8,15.9,29.4,122,95,25.6,9.8
20,2021-02-11,26-332,PHI,AWAY,POR,L (-4),1,34:39,.586,.540,9.7,16.6,13.4,17.3,0.0,5.0,9.1,42.2,117,126,24.7,6.2
21,2021-02-13,26-334,PHI,AWAY,PHO,L (-9),1,36:24,.639,.565,11.0,21.3,15.7,11.9,1.4,0.0,6.8,38.6,129,129,26.1,5.9
22,2021-02-17,26-338,PHI,HOME,HOU,W (+5),1,36:53,.590,.500,3.5,26.6,16.6,45.1,2.4,2.9,18.6,36.5,111,103,24.6,5.5
23,2021-02-19,26-340,PHI,HOME,CHI,W (+7),1,35:16,.747,.673,18.1,29.9,24.4,38.1,2.8,8.6,5.6,42.1,156,94,50.8,33.5
24,2021-02-21,26-342,PHI,AWAY,TOR,L (-7),1,36:16,.478,.325,5.9,50.9,26.8,10.6,0.0,5.6,7.1,33.8,102,112,19.3,2.0
25,2021-02-23,26-344,PHI,AWAY,TOR,W (+7),1,35:38,.492,.269,9.6,24.2,17.6,9.3,1.4,2.4,24.7,29.4,91,102,10.0,-7.9
26,2021-02-25,26-346,PHI,HOME,DAL,W (+14),1,27:41,.455,.300,10.8,25.4,17.5,22.9,3.6,3.9,0.0,40.6,110,95,18.8,8.7
27,2021-02-27,26-348,PHI,HOME,CLE,L (-3),1,40:28,.723,.636,8.4,25.7,17.4,37.5,1.2,3.6,9.4,35.7,139,100,38.1,17.9
28,2021-03-01,26-350,PHI,HOME,IND,W (+16),1,26:59,.655,.618,0.0,56.4,31.7,27.6,0.0,2.9,9.8,31.7,128,103,21.8,8.6
29,2021-03-03,26-352,PHI,HOME,UTA,W (+8),1,39:36,.611,.556,11.2,37.2,24.9,13.7,1.2,4.8,5.8,38.9,125,104,34.1,11.7
30,2021-03-12,26-361,PHI,AWAY,WAS,W (+26),1,20:24,.843,.773,13.1,26.1,20.3,23.4,0.0,8.1,18.0,34.4,146,97,21.1,15.6
31,2021-04-03,27-018,PHI,HOME,MIN,W (+9),1,28:35,.559,.429,17.7,16.8,17.2,10.9,0.0,12.0,15.7,39.2,109,115,16.9,-2.9
32,2021-04-06,27-021,PHI,AWAY,BOS,W (+10),1,32:48,.629,.500,11.6,13.7,12.5,7.0,0.0,4.1,12.6,45.1,120,108,23.7,6.2
33,2021-04-09,27-024,PHI,AWAY,NOP,L (-7),1,31:16,.394,.313,3.1,23.2,13.4,6.1,0.0,4.5,14.5,29.4,71,96,5.4,-7.2
34,2021-04-10,27-025,PHI,AWAY,OKC,W (+24),1,27:14,.644,.588,0.0,44.1,19.2,26.7,0.0,12.6,8.7,35.5,126,86,23.7,13.5
35,2021-04-12,27-027,PHI,AWAY,DAL,W (+18),1,25:39,.763,.647,4.6,25.0,15.2,18.4,2.0,0.0,4.1,44.5,150,99,31.2,24.6
36,2021-04-14,27-029,PHI,HOME,BRK,W (+6),1,33:18,.576,.500,8.0,40.7,25.0,11.0,0.0,4.6,5.6,47.8,114,114,29.0,6.4
37,2021-04-16,27-031,PHI,HOME,LAC,W (+3),1,35:35,.645,.500,14.7,28.2,21.2,6.3,1.4,0.0,6.7,37.3,134,109,30.7,8.7
38,2021-04-19,27-034,PHI,HOME,GSW,L (-11),1,32:28,.515,.405,6.0,42.8,22.1,51.0,1.5,3.4,12.8,41.9,105,106,22.1,11.8
39,2021-04-21,27-036,PHI,HOME,PHO,L (-3),1,32:36,.705,.674,35.8,29.4,32.5,28.9,1.6,3.3,22.9,47.9,121,124,31.1,10.2
40,2021-04-22,27-037,PHI,AWAY,MIL,L (-7),1,26:50,.498,.429,0.0,16.8,6.9,17.9,0.0,4.4,4.0,42.0,102,127,14.0,-2.8
41,2021-04-26,27-041,PHI,HOME,OKC,W (+31),1,22:59,.752,.700,0.0,24.9,13.2,6.1,6.1,0.0,12.5,29.3,135,82,17.6,7.4
42,2021-04-28,27-043,PHI,HOME,ATL,W (+44),1,25:09,.504,.469,14.0,14.7,14.4,5.5,2.1,9.2,5.6,32.3,112,90,13.9,-1.1
43,2021-04-30,27-045,PHI,HOME,ATL,W (+22),1,24:49,.556,.464,7.4,17.6,12.1,5.5,2.0,3.6,15.6,30.8,107,104,11.4,-1.4
44,2021-05-02,27-047,PHI,AWAY,SAS,W (+2),1,34:37,.652,.587,9.0,30.0,18.9,6.9,0.0,0.0,13.3,39.4,117,110,23.0,4.7
45,2021-05-03,27-048,PHI,AWAY,CHI,W (+12),1,32:57,.416,.308,4.2,26.8,17.3,12.8,0.0,8.2,20.4,28.5,81,98,7.5,-8.7
46,2021-05-05,27-050,PHI,AWAY,HOU,W (+20),1,24:38,.707,.588,36.9,20.3,27.5,12.8,0.0,4.1,11.1,46.8,145,119,30.4,9.5
47,2021-05-07,27-052,PHI,HOME,NOP,W (+2),1,33:01,.732,.625,3.2,30.6,18.3,19.8,0.0,4.5,10.6,37.5,135,100,31.8,16.3
48,2021-05-08,27-053,PHI,HOME,DET,W (+14),1,22:51,.927,.885,4.9,23.3,14.3,11.7,2.2,0.0,6.0,32.5,173,107,26.8,22.0
49,2021-05-13,27-058,PHI,AWAY,MIA,L (-12),1,25:19,.318,.333,0.0,10.2,4.9,6.3,4.3,0.0,29.8,25.8,47,116,-1.4,-15.8
50,2021-05-14,27-059,PHI,HOME,ORL,W (+25),1,22:35,.558,.389,4.8,46.2,26.0,11.3,2.2,4.0,25.6,30.4,94,90,9.1,-6.4
