,DATE,YEAR,MONTH,DAY,START_ET,HOME,OPPONENT,OUTCOME,OVERTIME,POINTS_SCORED,OPPONENT_POINTS,CUMULATIVE_W,CUMULATIVE_L,STREAK
0,"Wed, Dec 23, 2020",2020,12,23,7:00p,True,WAS,W,False,113,107,1,0,W 1
1,"Sat, Dec 26, 2020",2020,12,26,7:30p,False,NYK,W,False,109,89,2,0,W 2
2,"Sun, Dec 27, 2020",2020,12,27,7:30p,False,CLE,L,False,94,118,2,1,L 1
3,"Tue, Dec 29, 2020",2020,12,29,7:00p,True,TOR,W,False,100,93,3,1,W 1
4,"Thu, Dec 31, 2020",2020,12,31,6:30p,False,ORL,W,False,116,92,4,1,W 2
5,"Sat, Jan 2, 2021",2021,1,2,7:00p,True,CHO,W,False,127,112,5,1,W 3
6,"Mon, Jan 4, 2021",2021,1,4,7:00p,True,CHO,W,False,118,101,6,1,W 4
7,"Wed, Jan 6, 2021",2021,1,6,7:00p,True,WAS,W,False,141,136,7,1,W 5
8,"Thu, Jan 7, 2021",2021,1,7,7:30p,False,BRK,L,False,109,122,7,2,L 1
9,"Sat, Jan 9, 2021",2021,1,9,3:00p,True,DEN,L,False,103,115,7,3,L 2
10,"Mon, Jan 11, 2021",2021,1,11,7:30p,False,ATL,L,False,94,112,7,4,L 3
11,"Tue, Jan 12, 2021",2021,1,12,7:00p,True,MIA,W,True,137,134,8,4,W 1
12,"Thu, Jan 14, 2021",2021,1,14,7:00p,True,MIA,W,False,125,108,9,4,W 2
13,"Sat, Jan 16, 2021",2021,1,16,8:00p,False,MEM,L,False,104,106,9,5,L 1
14,"Wed, Jan 20, 2021",2021,1,20,7:00p,True,BOS,W,False,117,109,10,5,W 1
15,"Fri, Jan 22, 2021",2021,1,22,7:30p,True,BOS,W,False,122,110,11,5,W 2
16,"Sat, Jan 23, 2021",2021,1,23,8:00p,False,DET,W,False,114,110,12,5,W 3
17,"Mon, Jan 25, 2021",2021,1,25,7:00p,False,DET,L,False,104,119,12,6,L 1
18,"Wed, Jan 27, 2021",2021,1,27,7:30p,True,LAL,W,False,107,106,13,6,W 1
19,"Fri, Jan 29, 2021",2021,1,29,8:00p,False,MIN,W,False,118,94,14,6,W 2
21,"Sun, Jan 31, 2021",2021,1,31,7:00p,False,IND,W,False,119,110,15,6,W 3
22,"Wed, Feb 3, 2021",2021,2,3,7:00p,False,CHO,W,False,118,111,16,6,W 4
23,"Thu, Feb 4, 2021",2021,2,4,8:00p,True,POR,L,False,105,121,16,7,L 1
24,"Sat, Feb 6, 2021",2021,2,6,8:00p,True,BRK,W,False,124,108,17,7,W 1
25,"Tue, Feb 9, 2021",2021,2,9,10:00p,False,SAC,W,False,119,111,18,7,W 2
26,"Thu, Feb 11, 2021",2021,2,11,10:00p,False,POR,L,False,114,118,18,8,L 1
27,"Sat, Feb 13, 2021",2021,2,13,3:00p,False,PHO,L,False,111,120,18,9,L 2
28,"Mon, Feb 15, 2021",2021,2,15,9:00p,False,UTA,L,False,123,134,18,10,L 3
29,"Wed, Feb 17, 2021",2021,2,17,7:30p,True,HOU,W,False,118,113,19,10,W 1
30,"Fri, Feb 19, 2021",2021,2,19,7:30p,True,CHI,W,False,112,105,20,10,W 2
31,"Sun, Feb 21, 2021",2021,2,21,7:00p,False,TOR,L,False,103,110,20,11,L 1
32,"Tue, Feb 23, 2021",2021,2,23,7:30p,False,TOR,W,False,109,102,21,11,W 1
33,"Thu, Feb 25, 2021",2021,2,25,7:00p,True,DAL,W,False,111,97,22,11,W 2
34,"Sat, Feb 27, 2021",2021,2,27,7:00p,True,CLE,L,True,109,112,22,12,L 1
35,"Mon, Mar 1, 2021",2021,3,1,7:00p,True,IND,W,False,130,114,23,12,W 1
36,"Wed, Mar 3, 2021",2021,3,3,7:00p,True,UTA,W,True,131,123,24,12,W 2
37,"Thu, Mar 11, 2021",2021,3,11,8:00p,False,CHI,W,False,127,105,25,12,W 3
38,"Fri, Mar 12, 2021",2021,3,12,8:00p,False,WAS,W,False,127,101,26,12,W 4
39,"Sun, Mar 14, 2021",2021,3,14,6:30p,True,SAS,W,False,134,99,27,12,W 5
40,"Tue, Mar 16, 2021",2021,3,16,8:00p,True,NYK,W,False,99,96,28,12,W 6
42,"Wed, Mar 17, 2021",2021,3,17,7:00p,True,MIL,L,True,105,109,28,13,L 1
43,"Sat, Mar 20, 2021",2021,3,20,8:00p,True,SAC,W,False,129,105,29,13,W 1
44,"Sun, Mar 21, 2021",2021,3,21,8:00p,False,NYK,W,True,101,100,30,13,W 2
45,"Tue, Mar 23, 2021",2021,3,23,10:00p,False,GSW,W,False,108,98,31,13,W 3
46,"Thu, Mar 25, 2021",2021,3,25,10:00p,False,LAL,W,False,109,101,32,13,W 4
47,"Sat, Mar 27, 2021",2021,3,27,10:00p,False,LAC,L,False,112,122,32,14,L 1
48,"Tue, Mar 30, 2021",2021,3,30,9:00p,False,DEN,L,False,95,104,32,15,L 2
49,"Thu, Apr 1, 2021",2021,4,1,7:00p,False,CLE,W,False,114,94,33,15,W 1
50,"Sat, Apr 3, 2021",2021,4,3,8:00p,True,MIN,W,False,122,113,34,15,W 2
51,"Sun, Apr 4, 2021",2021,4,4,7:00p,True,MEM,L,False,100,116,34,16,L 1
52,"Tue, Apr 6, 2021",2021,4,6,7:30p,False,BOS,W,False,106,96,35,16,W 1
53,"Fri, Apr 9, 2021",2021,4,9,8:00p,False,NOP,L,False,94,101,35,17,L 1
54,"Sat, Apr 10, 2021",2021,4,10,9:00p,False,OKC,W,False,117,93,36,17,W 1
55,"Mon, Apr 12, 2021",2021,4,12,7:30p,False,DAL,W,False,113,95,37,17,W 2
56,"Wed, Apr 14, 2021",2021,4,14,7:00p,True,BRK,W,False,123,117,38,17,W 3
57,"Fri, Apr 16, 2021",2021,4,16,7:00p,True,LAC,W,False,106,103,39,17,W 4
58,"Mon, Apr 19, 2021",2021,4,19,7:30p,True,GSW,L,False,96,107,39,18,L 1
59,"Wed, Apr 21, 2021",2021,4,21,7:00p,True,PHO,L,False,113,116,39,19,L 2
60,"Thu, Apr 22, 2021",2021,4,22,7:00p,False,MIL,L,False,117,124,39,20,L 3
61,"Sat, Apr 24, 2021",2021,4,24,3:30p,False,MIL,L,False,94,132,39,21,L 4
63,"Mon, Apr 26, 2021",2021,4,26,7:00p,True,OKC,W,False,121,90,40,21,W 1
64,"Wed, Apr 28, 2021",2021,4,28,7:00p,True,ATL,W,False,127,83,41,21,W 2
65,"Fri, Apr 30, 2021",2021,4,30,7:00p,True,ATL,W,False,126,104,42,21,W 3
66,"Sun, May 2, 2021",2021,5,2,8:00p,False,SAS,W,True,113,111,43,21,W 4
67,"Mon, May 3, 2021",2021,5,3,9:00p,False,CHI,W,False,106,94,44,21,W 5
68,"Wed, May 5, 2021",2021,5,5,8:00p,False,HOU,W,False,135,115,45,21,W 6
69,"Fri, May 7, 2021",2021,5,7,7:00p,True,NOP,W,False,109,107,46,21,W 7
70,"Sat, May 8, 2021",2021,5,8,7:00p,True,DET,W,False,118,104,47,21,W 8
71,"Tue, May 11, 2021",2021,5,11,8:00p,False,IND,L,False,94,103,47,22,L 1
72,"Thu, May 13, 2021",2021,5,13,7:30p,False,MIA,L,False,94,106,47,23,L 2
73,"Fri, May 14, 2021",2021,5,14,8:00p,True,ORL,W,False,122,97,48,23,W 1
74,"Sun, May 16, 2021",2021,5,16,7:00p,True,ORL,W,False,128,117,49,23,W 2
