,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-02-05,27-307,PHO,HOME,DET,W (+17),1,21:49,.952,.929,0.0,19.3,11.6,7.1,0.0,0.0,20.2,19.2,139,94,11.5,10.4
1,2021-02-07,27-309,PHO,HOME,BOS,W (+9),1,19:21,.750,.750,6.7,36.7,24.5,16.5,0.0,0.0,0.0,15.3,159,97,10.5,10.4
2,2021-02-08,27-310,PHO,HOME,CLE,W (+6),1,28:54,.477,.500,0.0,23.1,10.4,20.6,0.0,2.7,0.0,14.5,123,121,7.6,-2.5
3,2021-02-10,27-312,PHO,HOME,MIL,W (+1),1,34:45,.554,.500,10.1,15.3,12.8,27.3,0.0,0.0,13.7,18.6,131,133,13.4,2.0
4,2021-02-13,27-315,PHO,HOME,PHI,W (+9),1,10:56,.333,.333,0.0,12.2,6.6,10.1,4.7,0.0,0.0,13.2,85,115,1.9,-2.1
5,2021-02-14,27-316,PHO,HOME,ORL,W (+19),1,19:23,.286,.286,5.0,30.4,18.5,0.0,0.0,0.0,0.0,16.2,70,92,2.7,-8.3
6,2021-02-19,27-321,PHO,AWAY,NOP,W (+18),1,15:46,.957,1.063,0.0,15.6,8.2,9.3,0.0,0.0,10.1,28.3,132,120,12.5,13.7
7,2021-02-20,27-322,PHO,AWAY,MEM,W (+31),1,19:08,.429,.429,0.0,4.7,2.8,6.1,0.0,0.0,0.0,17.3,90,111,2.9,-7.7
8,2021-02-22,27-324,PHO,HOME,POR,W (+32),1,11:32,.375,.375,0.0,9.7,4.7,0.0,8.7,0.0,0.0,14.6,84,91,2.5,-1.8
9,2021-02-24,27-326,PHO,HOME,CHO,L (-3),1,11:38,.510,.500,0.0,28.8,14.2,11.5,0.0,0.0,0.0,21.5,109,124,4.1,-1.9
10,2021-02-28,27-330,PHO,AWAY,MIN,W (+19),1,15:53,.455,.389,7.2,6.2,6.6,0.0,0.0,0.0,0.0,25.8,100,102,4.5,-5.7
11,2021-03-11,27-341,PHO,AWAY,POR,W (+6),1,10:31,.500,.500,0.0,0.0,0.0,10.3,4.7,0.0,0.0,8.7,121,123,2.3,0.4
12,2021-03-13,27-343,PHO,HOME,IND,L (-11),1,12:50,.532,.000,0.0,57.5,26.4,17.4,0.0,0.0,0.0,6.1,150,118,4.1,1.8
