,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,29-095,POR,HOME,UTA,L (-20),1,34:10,.531,.447,2.7,9.2,5.7,15.5,0.0,3.2,0.0,28.8,112,126,15.7,3.1
1,2020-12-26,29-098,POR,HOME,HOU,W (+2),1,43:50,.712,.717,0.0,8.2,4.2,36.6,1.1,0.0,0.0,29.8,153,122,36.5,16.8
2,2020-12-28,29-100,POR,AWAY,LAL,W (+8),1,36:54,.429,.386,3.1,5.9,4.5,42.2,3.9,2.2,7.9,30.6,104,104,17.7,5.0
3,2020-12-30,29-102,POR,AWAY,LAC,L (-23),1,28:25,.699,.676,0.0,14.4,7.7,27.4,1.7,0.0,5.3,29.5,132,126,19.6,14.0
4,2021-01-01,29-104,POR,AWAY,GSW,W (+25),1,33:34,.627,.619,0.0,3.1,1.5,23.6,4.1,0.0,0.0,27.7,130,92,22.6,11.6
5,2021-01-03,29-106,POR,AWAY,GSW,L (-15),1,37:58,.528,.478,2.3,25.9,12.2,22.3,2.4,0.0,3.6,27.9,117,124,21.1,4.8
6,2021-01-05,29-108,POR,HOME,CHI,L (-3),1,35:56,.619,.619,0.0,14.2,6.8,20.8,4.0,0.0,19.2,30.9,99,106,16.4,4.5
7,2021-01-07,29-110,POR,HOME,MIN,W (+18),1,25:32,.635,.571,0.0,10.6,6.1,19.9,0.0,3.6,6.0,27.4,129,115,15.6,3.3
8,2021-01-09,29-112,POR,AWAY,SAC,W (+26),1,29:19,.764,.727,0.0,10.5,5.1,21.6,3.1,0.0,4.0,34.9,143,95,29.6,20.6
9,2021-01-11,29-114,POR,HOME,TOR,W (+1),1,38:59,.693,.658,2.8,15.0,8.7,24.0,1.2,0.0,0.0,24.9,149,117,25.8,10.1
10,2021-01-13,29-116,POR,AWAY,SAC,W (+6),1,42:33,.565,.565,4.9,16.6,9.9,34.5,0.0,0.0,3.9,26.4,135,137,22.8,1.1
11,2021-01-14,29-117,POR,HOME,IND,L (-24),1,34:04,.583,.556,2.8,6.7,4.5,27.2,1.5,0.0,5.0,25.6,125,122,15.5,7.2
12,2021-01-16,29-119,POR,HOME,ATL,W (+6),1,18:42,.727,.727,0.0,0.0,0.0,10.4,0.0,4.5,0.0,23.8,151,109,11.7,14.9
13,2021-03-16,29-178,POR,HOME,NOP,W (+1),1,26:04,.421,.364,0.0,19.4,10.1,11.3,0.0,3.3,25.2,28.2,70,128,2.4,-15.5
14,2021-03-18,29-180,POR,HOME,NOP,W (+8),1,20:32,.326,.281,0.0,10.2,5.0,18.0,2.5,0.0,0.0,35.5,85,103,4.0,-1.8
15,2021-03-19,29-181,POR,HOME,DAL,W (+6),1,27:40,.658,.630,3.7,14.9,8.5,27.9,0.0,0.0,0.0,39.6,149,132,23.9,15.0
16,2021-03-21,29-183,POR,HOME,DAL,L (-40),1,23:58,.421,.400,3.8,6.3,4.7,9.1,2.1,0.0,0.0,29.9,91,143,7.2,-5.7
17,2021-03-23,29-185,POR,HOME,BRK,L (-4),1,38:19,.402,.368,2.5,12.2,6.9,16.9,0.0,0.0,13.1,26.5,85,128,6.4,-9.3
18,2021-03-25,29-187,POR,AWAY,MIA,W (+3),1,37:40,.676,.680,0.0,3.6,1.6,39.0,0.0,2.5,13.4,34.5,126,130,25.3,7.7
19,2021-03-26,29-188,POR,AWAY,ORL,W (+7),1,36:17,.396,.346,3.4,11.3,7.7,31.5,0.0,1.9,9.8,36.9,95,111,10.3,-9.8
20,2021-03-28,29-190,POR,AWAY,TOR,W (+5),1,38:49,.582,.528,0.0,18.8,9.4,17.7,2.5,8.2,4.8,22.2,126,113,21.9,6.6
21,2021-03-31,29-193,POR,AWAY,DET,W (+23),1,35:55,.676,.625,0.0,9.5,5.1,25.6,1.3,4.5,5.3,23.6,137,101,22.1,8.2
22,2021-04-02,29-195,POR,HOME,MIL,L (-18),1,36:11,.507,.531,0.0,7.4,2.8,34.8,3.7,0.0,10.1,21.5,107,117,13.3,2.1
23,2021-04-03,29-196,POR,HOME,OKC,W (+48),1,25:38,.714,.714,3.8,10.6,7.3,20.8,1.8,3.7,6.7,23.6,148,85,18.1,12.8
