,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-26,28-130,ATL,AWAY,MEM,W (+10),1,32:13,.322,.250,3.0,23.8,13.4,8.5,1.4,0.0,8.4,14.7,80,106,5.3,-5.9
1,2021-01-09,28-144,ATL,AWAY,CHO,L (-8),1,10:50,.417,.417,0.0,12.3,5.0,0.0,0.0,0.0,25.0,30.7,60,125,-0.9,-20.0
2,2021-03-26,28-220,ATL,AWAY,GSW,W (+16),1,21:19,.611,.611,6.3,0.0,2.9,32.4,2.4,0.0,10.0,21.5,130,114,9.7,2.7
3,2021-03-28,28-222,ATL,AWAY,DEN,L (-24),1,22:50,.500,.500,5.8,0.0,2.6,7.6,2.3,0.0,0.0,19.7,105,138,6.3,-3.6
4,2021-03-30,28-224,ATL,AWAY,PHO,L (-7),1,37:11,.583,.556,5.9,6.3,6.1,25.3,5.4,0.0,5.0,25.3,121,118,20.6,7.8
5,2021-04-01,28-226,ATL,AWAY,SAS,W (+5),1,45:16,.824,.824,0.0,11.0,6.2,18.5,1.1,3.7,0.0,17.6,168,114,26.3,12.0
6,2021-04-02,28-227,ATL,AWAY,NOP,W (+23),1,32:40,.727,.706,0.0,25.1,13.5,28.8,1.4,2.5,10.1,26.3,139,99,22.8,10.6
7,2021-04-04,28-229,ATL,HOME,GSW,W (+6),1,33:06,.460,.450,0.0,9.1,4.6,23.7,2.8,0.0,15.5,16.1,95,106,7.4,-0.2
8,2021-04-06,28-231,ATL,HOME,NOP,W (+16),1,29:48,.955,.955,0.0,13.4,7.1,20.7,0.0,0.0,15.4,19.3,158,115,17.7,10.1
9,2021-04-07,28-232,ATL,HOME,MEM,L (-18),1,36:18,.575,.550,7.3,9.4,8.3,12.0,2.6,0.0,8.7,26.4,113,128,17.5,2.9
10,2021-04-09,28-234,ATL,HOME,CHI,W (+12),1,34:13,.500,.500,0.0,13.0,7.1,7.0,0.0,2.6,16.7,16.3,88,116,5.5,-7.7
11,2021-04-11,28-236,ATL,AWAY,CHO,W (+4),1,40:32,.638,.591,6.1,3.0,4.5,13.0,2.6,0.0,0.0,29.1,133,111,25.6,10.7
12,2021-04-13,28-238,ATL,AWAY,TOR,W (+5),1,39:38,.639,.639,2.8,16.4,9.0,16.6,1.2,0.0,14.3,23.8,114,107,16.6,3.6
13,2021-04-15,28-240,ATL,HOME,MIL,L (-11),1,38:10,.670,.650,0.0,16.8,8.4,33.3,1.3,0.0,0.0,24.9,142,127,24.9,12.6
14,2021-04-18,28-243,ATL,HOME,IND,W (+12),1,37:19,.639,.639,0.0,8.6,4.2,11.5,2.5,2.1,0.0,19.8,141,114,18.9,7.4
15,2021-04-20,28-245,ATL,HOME,ORL,W (+16),1,31:27,.438,.438,0.0,11.5,5.8,10.2,0.0,0.0,11.1,22.9,90,100,4.6,-7.1
16,2021-04-21,28-246,ATL,AWAY,NYK,L (-10),1,42:09,.526,.526,0.0,20.4,8.4,12.9,3.5,0.0,17.4,23.6,91,125,12.3,-2.7
17,2021-04-23,28-248,ATL,HOME,MIA,W (+15),1,33:03,.756,.731,0.0,12.1,6.4,35.4,1.6,0.0,6.7,21.1,159,117,19.6,10.8
18,2021-04-25,28-250,ATL,HOME,MIL,W (+7),1,36:42,.717,.714,0.0,3.0,1.5,16.1,4.0,0.0,8.2,29.7,125,101,24.3,14.5
19,2021-04-26,28-251,ATL,AWAY,DET,L (-14),1,35:53,.447,.447,0.0,21.3,10.2,28.3,1.4,0.0,20.8,29.6,75,106,7.3,-3.8
20,2021-05-01,28-256,ATL,HOME,CHI,W (+11),1,35:45,.500,.500,3.6,14.6,9.7,23.2,1.4,2.2,6.3,21.6,111,104,12.1,1.0
21,2021-05-03,28-258,ATL,HOME,POR,W (+9),1,32:07,.735,.735,0.0,8.6,5.1,14.7,3.0,0.0,0.0,24.7,138,114,20.9,10.3
22,2021-05-05,28-260,ATL,HOME,PHO,W (+32),1,23:55,.727,.727,0.0,4.3,2.6,29.4,4.4,8.5,15.4,25.4,137,107,16.2,16.6
23,2021-05-06,28-261,ATL,AWAY,IND,L (-7),1,38:57,.778,.778,2.9,4.4,3.5,7.2,1.2,0.0,5.3,20.6,147,132,21.0,4.5
24,2021-05-10,28-265,ATL,HOME,WAS,W (+1),1,35:41,.699,.676,2.9,10.8,6.9,15.3,2.6,0.0,0.0,20.1,154,117,21.8,11.6
25,2021-05-12,28-267,ATL,HOME,WAS,W (+4),1,40:08,.667,.667,0.0,4.5,2.6,10.4,3.4,1.7,6.3,17.0,127,108,16.5,6.2
26,2021-05-13,28-268,ATL,HOME,ORL,W (+23),1,26:22,.951,.917,0.0,10.3,5.5,37.0,3.8,0.0,6.6,24.8,184,96,27.2,27.3
