,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,24-107,UTA,AWAY,POR,W (+20),1,30:47,.563,.500,0.0,8.8,4.7,23.2,1.6,0.0,10.1,27.2,118,102,13.8,4.8
1,2020-12-26,24-110,UTA,HOME,MIN,L (-5),1,37:16,.389,.304,2.7,2.6,2.7,22.8,3.8,3.6,10.0,30.1,96,109,11.6,3.1
2,2020-12-28,24-112,UTA,AWAY,OKC,W (+1),1,34:47,.404,.391,0.0,6.6,3.4,21.6,1.4,0.0,10.8,35.4,85,115,7.2,-9.7
3,2020-12-31,24-115,UTA,HOME,PHO,L (-11),1,36:14,.482,.457,2.9,16.2,9.1,17.2,1.4,0.0,11.2,33.8,94,113,12.4,1.3
4,2021-01-01,24-116,UTA,HOME,LAC,W (+6),1,35:10,.519,.536,3.1,9.1,6.1,20.8,0.0,0.0,25.7,24.5,89,117,6.9,-2.9
5,2021-01-03,24-118,UTA,AWAY,SAS,W (+21),1,28:36,.631,.618,8.4,5.4,6.6,42.5,0.0,0.0,18.7,30.9,125,111,17.2,5.4
6,2021-01-05,24-120,UTA,AWAY,BRK,L (-34),1,29:51,.587,.523,0.0,16.1,7.0,38.0,0.0,0.0,10.2,41.9,110,130,18.6,6.9
7,2021-01-06,24-121,UTA,AWAY,NYK,L (-12),1,36:18,.391,.391,5.6,6.2,5.9,18.0,1.4,0.0,14.8,32.5,80,120,6.9,-6.7
8,2021-01-08,24-123,UTA,AWAY,MIL,W (+13),1,32:26,.601,.583,3.2,12.1,7.8,33.2,0.0,2.6,3.6,36.3,131,116,24.9,7.1
9,2021-01-10,24-125,UTA,AWAY,DET,W (+10),1,37:14,.664,.611,0.0,4.4,2.5,16.5,0.0,2.9,15.9,30.9,122,104,17.6,9.0
10,2021-01-12,24-127,UTA,AWAY,CLE,W (+30),1,30:06,.805,.767,8.4,3.2,5.4,23.1,0.0,0.0,5.6,26.9,164,104,22.8,11.9
11,2021-01-15,24-130,UTA,HOME,ATL,W (+24),1,29:08,.650,.650,0.0,10.1,5.3,24.8,4.8,0.0,13.0,32.3,116,85,19.3,13.4
12,2021-01-17,24-132,UTA,AWAY,DEN,W (+4),1,37:56,.414,.350,3.5,4.9,4.3,29.4,1.4,4.0,15.5,32.2,92,123,9.8,-6.3
13,2021-01-19,24-134,UTA,HOME,NOP,W (+16),1,33:24,.794,.733,0.0,19.0,10.9,19.1,0.0,0.0,22.1,30.6,126,108,19.4,4.2
14,2021-01-21,24-136,UTA,HOME,NOP,W (+11),1,34:09,.799,.737,10.8,13.7,12.3,24.6,0.0,2.3,15.1,32.7,142,119,29.4,13.0
15,2021-01-23,24-138,UTA,HOME,GSW,W (+19),1,27:28,.595,.583,7.8,18.6,13.3,35.8,1.7,0.0,9.4,31.1,128,104,19.3,8.8
16,2021-01-26,24-141,UTA,HOME,NYK,W (+14),1,34:12,.283,.267,5.4,18.7,11.6,12.8,0.0,0.0,11.2,23.3,73,109,1.8,-12.0
17,2021-01-31,24-146,UTA,AWAY,DEN,L (-11),1,31:06,.472,.375,0.0,4.4,2.0,16.9,1.6,0.0,26.7,27.3,79,137,3.0,-12.2
18,2021-02-02,24-148,UTA,HOME,DET,W (+12),1,34:37,.733,.706,3.3,14.4,9.2,5.7,1.4,0.0,4.4,29.4,141,108,25.8,10.1
19,2021-02-04,24-150,UTA,AWAY,ATL,W (+21),1,31:32,.488,.472,0.0,7.9,4.5,22.8,3.2,0.0,5.1,26.7,112,97,12.8,5.9
20,2021-02-05,24-151,UTA,AWAY,CHO,W (+17),1,33:50,.727,.694,0.0,8.2,5.1,21.0,1.4,0.0,16.2,31.5,126,122,20.4,0.5
21,2021-02-07,24-153,UTA,AWAY,IND,W (+8),1,38:28,.515,.458,9.4,9.6,9.5,51.3,1.3,0.0,16.0,33.8,111,98,20.7,10.4
22,2021-02-09,24-155,UTA,HOME,BOS,W (+14),1,35:49,.690,.652,3.9,9.6,7.1,50.4,1.5,4.7,7.1,35.5,146,119,31.4,18.8
23,2021-02-12,24-158,UTA,HOME,MIL,W (+14),1,37:09,.497,.325,0.0,17.2,9.8,29.3,0.0,0.0,7.1,31.9,115,113,17.8,-1.9
24,2021-02-13,24-159,UTA,HOME,MIA,W (+18),1,31:52,.540,.500,0.0,9.8,5.0,11.8,1.5,0.0,7.7,34.8,103,99,13.8,0.0
25,2021-02-15,24-161,UTA,HOME,PHI,W (+11),1,34:48,.458,.417,0.0,10.1,5.3,21.2,0.0,0.0,7.1,35.2,100,128,12.0,-9.4
26,2021-02-17,24-163,UTA,AWAY,LAC,W (+18),1,33:20,.487,.455,7.9,16.0,11.5,34.7,4.3,2.4,10.9,33.2,109,92,19.8,10.4
27,2021-02-19,24-165,UTA,AWAY,LAC,L (-4),1,34:04,.565,.519,0.0,13.1,6.8,29.2,4.4,0.0,3.1,42.8,119,116,25.2,12.2
28,2021-02-22,24-168,UTA,HOME,CHO,W (+22),1,33:12,.613,.559,8.3,6.4,7.2,34.6,1.4,0.0,24.2,31.3,115,110,15.7,-2.1
