,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2021-01-27,33-117,UTA,HOME,DAL,W (+12),1,30:20,.808,.808,0.0,14.7,7.4,40.9,0.0,0.0,7.1,20.3,165,114,19.7,16.2
1,2021-01-29,33-119,UTA,HOME,DAL,W (+19),1,27:32,.714,.714,0.0,14.8,7.3,22.5,1.8,0.0,36.4,16.9,101,105,6.1,-2.2
2,2021-02-07,33-128,UTA,AWAY,IND,W (+8),1,31:31,.350,.350,5.7,20.5,13.1,13.7,0.0,0.0,16.7,15.9,82,98,4.4,-5.1
3,2021-02-09,33-130,UTA,HOME,BOS,W (+14),1,35:59,.732,.625,0.0,9.5,5.3,24.0,0.0,0.0,5.7,21.9,158,126,20.1,6.9
4,2021-02-12,33-133,UTA,HOME,MIL,W (+14),1,29:58,1.058,1.045,0.0,10.7,6.1,26.5,0.0,0.0,13.6,20.7,180,114,24.9,20.2
5,2021-02-13,33-134,UTA,HOME,MIA,W (+18),1,32:51,.508,.500,0.0,9.5,4.8,25.3,1.5,0.0,20.2,12.8,103,100,7.6,-1.3
6,2021-02-15,33-136,UTA,HOME,PHI,W (+11),1,32:33,.776,.750,0.0,10.8,5.7,22.2,1.5,2.1,18.9,21.2,135,123,17.5,5.6
7,2021-02-17,33-138,UTA,AWAY,LAC,W (+18),1,24:08,.941,.929,0.0,13.3,6.0,31.0,2.0,0.0,21.2,15.7,155,99,13.3,11.5
8,2021-02-27,33-148,UTA,AWAY,ORL,W (+15),1,31:04,.654,.654,0.0,6.3,3.5,31.6,1.6,2.5,7.1,20.1,139,113,15.7,6.7
9,2021-03-18,33-167,UTA,AWAY,WAS,L (-9),1,32:58,.928,.941,3.1,13.5,8.1,11.0,2.7,0.0,0.0,21.5,187,120,30.6,21.1
10,2021-03-27,33-176,UTA,HOME,MEM,W (+16),1,28:59,.856,.786,3.8,3.0,3.3,29.4,1.6,0.0,25.5,16.0,149,111,15.2,8.8
11,2021-03-31,33-180,UTA,AWAY,MEM,W (+4),1,34:18,.506,.444,3.0,12.2,7.6,8.3,1.4,0.0,23.3,15.8,90,112,5.4,-6.0
12,2021-04-03,33-183,UTA,HOME,ORL,W (+46),1,21:07,.944,.944,0.0,26.2,15.3,12.2,4.6,0.0,18.2,23.1,137,85,15.1,12.2
13,2021-04-12,33-192,UTA,HOME,WAS,L (-4),1,30:35,.507,.469,7.0,7.5,7.2,29.8,0.0,2.2,14.5,28.9,106,125,11.5,-0.8
14,2021-04-17,33-197,UTA,AWAY,LAL,L (-12),1,39:23,.672,.643,0.0,9.6,4.5,55.5,3.8,0.0,21.2,21.3,126,117,21.1,9.5
15,2021-04-19,33-199,UTA,AWAY,LAL,W (+14),1,31:44,.955,.955,0.0,13.4,8.2,24.5,0.0,0.0,15.4,20.3,151,108,18.4,10.2
16,2021-04-21,33-201,UTA,AWAY,HOU,W (+23),1,29:23,.884,.909,3.5,12.8,8.8,22.1,1.6,3.3,7.8,19.3,158,88,21.0,17.6
17,2021-04-24,33-204,UTA,HOME,MIN,L (-5),1,37:31,.167,.167,0.0,5.4,2.8,28.2,0.0,0.0,25.0,14.1,62,111,-1.2,-11.6
18,2021-04-26,33-206,UTA,AWAY,MIN,L (-1),1,33:32,.336,.321,2.6,14.0,7.4,13.1,0.0,3.7,6.3,19.9,82,113,4.7,-6.6
19,2021-04-28,33-208,UTA,AWAY,SAC,W (+49),1,24:00,.825,.786,0.0,9.5,5.6,29.8,0.0,0.0,27.6,20.1,142,110,12.2,3.2
20,2021-04-30,33-210,UTA,AWAY,PHO,L (-21),1,29:11,.403,.393,7.5,4.6,6.2,24.6,0.0,0.0,16.8,29.1,84,135,4.5,-12.3
21,2021-05-01,33-211,UTA,HOME,TOR,W (+4),1,33:56,.768,.750,0.0,8.3,4.8,40.6,0.0,0.0,29.1,18.4,131,112,12.6,5.5
22,2021-05-03,33-213,UTA,HOME,SAS,W (+11),1,31:21,.568,.545,3.6,3.5,3.5,37.9,3.2,0.0,14.9,18.7,129,105,13.8,6.4
23,2021-05-05,33-215,UTA,HOME,SAS,W (+32),1,25:24,.612,.591,0.0,17.2,10.7,33.4,0.0,0.0,8.0,21.7,138,99,12.9,6.3
24,2021-05-07,33-217,UTA,HOME,DEN,W (+7),1,34:53,.506,.444,0.0,10.9,5.4,31.9,1.4,0.0,9.2,13.7,133,126,11.3,0.0
25,2021-05-08,33-218,UTA,HOME,HOU,W (+8),1,29:57,.700,.700,0.0,18.9,10.8,31.7,1.6,0.0,28.6,20.2,112,114,12.7,0.2
26,2021-05-10,33-220,UTA,AWAY,GSW,L (-3),1,30:50,.357,.357,0.0,10.6,5.2,20.5,1.6,0.0,22.2,12.1,86,122,3.9,-4.1
27,2021-05-12,33-222,UTA,HOME,POR,L (-7),1,31:56,.474,.423,0.0,12.8,6.5,20.7,1.7,0.0,6.3,22.7,113,118,9.7,2.1
28,2021-05-14,33-224,UTA,AWAY,OKC,W (+16),1,26:28,.357,.357,0.0,3.9,1.9,24.9,0.0,0.0,30.0,16.0,76,107,1.3,-10.8
29,2021-05-16,33-226,UTA,AWAY,SAC,W (+22),1,30:15,.563,.500,0.0,17.2,8.9,30.6,1.6,0.0,18.4,15.3,119,100,10.2,1.0
