,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GAME_SCORE,BPM
0,2020-12-23,33-073,UTA,AWAY,POR,W (+20),1,29:35,.551,.533,0.0,9.2,4.9,9.8,0.0,0.0,10.9,26.2,105,106,8.6,-2.6
1,2020-12-26,33-076,UTA,HOME,MIN,L (-5),1,33:33,.605,.538,0.0,17.2,8.8,20.9,1.4,0.0,19.5,22.9,114,113,12.1,0.6
2,2020-12-28,33-078,UTA,AWAY,OKC,W (+1),1,32:22,.630,.600,11.7,24.7,18.5,42.9,1.5,3.1,11.2,24.5,136,109,21.7,10.0
3,2020-12-31,33-081,UTA,HOME,PHO,L (-11),1,34:51,.576,.538,0.0,16.8,7.9,19.6,2.9,0.0,12.6,20.8,112,109,12.4,4.6
4,2021-01-01,33-082,UTA,HOME,LAC,W (+6),1,33:39,.758,.725,3.2,3.2,3.2,39.5,1.6,0.0,8.4,31.3,148,116,28.3,24.2
5,2021-01-03,33-084,UTA,AWAY,SAS,W (+21),1,26:53,.682,.682,0.0,0.0,0.0,18.7,1.7,0.0,26.7,23.0,106,109,8.7,-3.0
6,2021-01-05,33-086,UTA,AWAY,BRK,L (-34),1,26:52,.368,.400,6.9,4.5,5.8,32.3,1.7,0.0,15.5,20.4,84,128,5.2,-3.9
7,2021-01-06,33-087,UTA,AWAY,NYK,L (-12),1,29:04,.286,.214,3.5,11.5,7.3,28.3,1.7,0.0,16.0,28.2,72,118,3.0,-11.3
8,2021-01-08,33-089,UTA,AWAY,MIL,W (+13),1,29:23,.708,.708,0.0,10.0,5.2,41.7,0.0,0.0,14.3,20.3,144,119,16.9,6.5
9,2021-01-10,33-091,UTA,AWAY,DET,W (+10),1,30:13,.745,.692,7.2,8.2,7.8,42.8,3.6,0.0,6.3,23.9,162,96,22.8,21.5
10,2021-01-12,33-093,UTA,AWAY,CLE,W (+30),1,27:00,.551,.550,9.4,14.2,12.1,25.5,3.8,0.0,8.4,20.1,133,91,12.5,4.2
11,2021-01-15,33-096,UTA,HOME,ATL,W (+24),1,27:16,.638,.600,7.8,7.2,7.5,41.2,6.8,0.0,14.5,20.7,138,82,18.4,15.1
12,2021-01-17,33-098,UTA,AWAY,DEN,W (+4),1,30:44,.474,.538,0.0,9.0,5.3,42.2,1.7,0.0,6.3,24.3,112,121,11.4,0.7
13,2021-01-19,33-100,UTA,HOME,NOP,W (+16),1,28:13,.403,.357,4.4,3.2,3.7,43.0,3.6,0.0,21.2,15.1,124,105,9.5,2.7
14,2021-01-21,33-102,UTA,HOME,NOP,W (+11),1,31:04,.672,.643,4.0,3.8,3.9,29.3,4.5,2.6,16.8,24.2,125,111,17.7,6.9
